Representative_ASV	Beta	SE	P	FDR_BH	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7
47962	1.502341982317	0.966344913273369	0.137432416476484	0.565698180181193	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	NA
47704	0.0855258835719053	0.0522751080877036	0.119189321866747	0.565698180181193	k__Nucletmycea	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	NA
48870	-1.25212558530564	1.40958814365581	0.38610048724021	0.772200974480419	k__Nucletmycea	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	NA
49640	-3.13999867577048	1.35899774445238	0.0329188296551968	0.565698180181193	k__Nucletmycea	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	NA
48315	0.0769451072335744	0.0484047085070031	0.129330189152469	0.565698180181193	k__Nucletmycea	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__	g__Encoelia	NA
47970	0.457682509341247	0.506620503901632	0.378243742332382	0.772200974480419	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	NA
47968	0.195579085816344	0.171962523565784	0.270312034269322	0.690797420910489	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Monascus	NA
47965	0.164464972181993	0.133696251376581	0.234480593300854	0.677605217359473	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Hamigera	NA
47963	0.177129972016476	0.149147054079353	0.250419319458936	0.677605217359473	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Chromocleista	NA
47966	0.0498691063182746	0.0522347458793629	0.352370456706127	0.772200974480419	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Leiothecium	NA
47971	0.125442144602953	0.0882251961036756	0.172169011359494	0.565698180181193	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Sclerocleista	NA
47969	0.0126363398447328	0.0852288014411382	0.883782937396324	0.991373595938318	k__Nucletmycea	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicilliopsis	NA
