Key	A4_metagenome	F3_metagenome	C4_metagenome	A5_metagenome	G2_metagenome	E5_metagenome	C5_metagenome	D5_metagenome	E1_metagenome	G1_metagenome	C2_metagenome	E2_metagenome	F2_metagenome	H2_metagenome	D3_metagenome	B4_metagenome	D4_metagenome	E4_metagenome	H4_metagenome	B5_metagenome	E1_16s	G1_16s	C2_16s	E2_16s	F2_16s	G2_16s	H2_16s	D3_16s	F3_16s	A4_16s	B4_16s	C4_16s	D4_16s	E4_16s	H4_16s	A5_16s	B5_16s	C5_16s	D5_16s	E5_16s
[Eubacterium]_brachy_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_hallii_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_nodatum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	24	0	0	0	22	0	0	0	0	0	0
[Eubacterium]_ventriosum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_xylanophilum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Renibacterium]_salmoninarum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ruminococcus]_gauvreauii_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	57	0	0	0	18	0	0	0	0	0	0	0	0	0	0
[Ruminococcus]_gnavus_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ruminococcus]_torques_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	55	0	0	0	23	0	0	0	0	0	0	0	0	0	0
A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
