Species	Sample	HP	16s	metagenome
A4$[Eubacterium]_brachy_group	A4	Hp-negative	0	0
A4$[Eubacterium]_hallii_group	A4	Hp-negative	0	0
A4$[Eubacterium]_nodatum_group	A4	Hp-negative	0.108059433	0
A4$[Eubacterium]_ventriosum_group	A4	Hp-negative	0	0
A4$[Eubacterium]_xylanophilum_group	A4	Hp-negative	0	0
A4$[Renibacterium]_salmoninarum_group	A4	Hp-negative	0	0
A4$[Ruminococcus]_gauvreauii_group	A4	Hp-negative	0.081044575	0
A4$[Ruminococcus]_gnavus_group	A4	Hp-negative	0	0
A4$[Ruminococcus]_torques_group	A4	Hp-negative	0.103556956	0
A4$A2	A4	Hp-negative	0	0
A4$Abditibacterium	A4	Hp-negative	0	0
A4$Abyssicoccus	A4	Hp-negative	0	0
A4$Acaryochloris_marina	A4	Hp-negative	0	0.026111234
A4$Acetitomaculum	A4	Hp-negative	0	0
A4$Acetivibrio	A4	Hp-negative	0	0.052222468
A4$Acetoanaerobium	A4	Hp-negative	0	0
A4$Acetobacter	A4	Hp-negative	0	0.478036435
A4$Acetobacterium	A4	Hp-negative	0	0.026111234
A4$Acetohalobium	A4	Hp-negative	0	0.020085565
A4$Acholeplasma	A4	Hp-negative	0	0
A4$Achromobacter	A4	Hp-negative	0	0.074316589
A4$Acidaminococcus	A4	Hp-negative	0	0
A4$Acidibacter	A4	Hp-negative	0	0
A4$Acidipropionibacterium	A4	Hp-negative	0	0
A4$Acidovorax	A4	Hp-negative	0.225123818	0.112479161
A4$Acinetobacter	A4	Hp-negative	0.243133724	0.614618274
A4$Actinobacillus	A4	Hp-negative	0.378208014	0
A4$Actinomadura	A4	Hp-negative	0	0
A4$Actinomyces	A4	Hp-negative	0.130571814	0.202864201
A4$Actinoplanes	A4	Hp-negative	0	0.076325145
A4$Actinopolymorpha	A4	Hp-negative	0	0.026111234
A4$Actinosynnema	A4	Hp-negative	0	0
A4$Adhaeribacter	A4	Hp-negative	0	0.02811979
A4$Aequorivita	A4	Hp-negative	0	0
A4$Aeribacillus	A4	Hp-negative	0	0
A4$Aerococcus	A4	Hp-negative	0	0
A4$Aeromonas	A4	Hp-negative	0	0.084359371
A4$Agarilytica	A4	Hp-negative	0	0.022094121
A4$Agathobacter	A4	Hp-negative	0.157586673	0
A4$Aggregatibacter	A4	Hp-negative	0.499774876	0.156667403
A4$Agrobacterium	A4	Hp-negative	0	0.072308032
A4$Agromyces	A4	Hp-negative	0	0.022094121
A4$Akkermansia	A4	Hp-negative	0.2476362	0.044188242
A4$Albibacter	A4	Hp-negative	0	0
A4$Alcaligenes	A4	Hp-negative	0	0.040171129
A4$Alcanivorax	A4	Hp-negative	0	0.024102677
A4$Algibacter	A4	Hp-negative	0	0.082350814
A4$Algoriphagus	A4	Hp-negative	0	0.026111234
A4$Aliarcobacter	A4	Hp-negative	0	0.377608613
A4$Alicyclobacillus	A4	Hp-negative	0	0.064273806
A4$Aliivibrio	A4	Hp-negative	0	0.02811979
A4$Alishewanella	A4	Hp-negative	0.157586673	0
A4$Alistipes	A4	Hp-negative	0.706888789	0.094402153
A4$Alkalibacterium	A4	Hp-negative	0	0
A4$Alkalicella	A4	Hp-negative	0	0
A4$Alkalihalobacillus	A4	Hp-negative	0	0
A4$Alkaliphilus	A4	Hp-negative	0	0.108462048
A4$Alkalitalea	A4	Hp-negative	0	0
A4$Alloactinosynnema	A4	Hp-negative	0	0
A4$Allochromatium	A4	Hp-negative	0	0
A4$Allofrancisella	A4	Hp-negative	0	0
A4$Alloiococcus	A4	Hp-negative	0	0
A4$Allokutzneria	A4	Hp-negative	0	0
A4$Alloprevotella	A4	Hp-negative	6.911301216	0
A4$Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	A4	Hp-negative	0	0
A4$Altererythrobacter	A4	Hp-negative	0	0.052222468
A4$Alteromonas	A4	Hp-negative	0	0
A4$Alysiella	A4	Hp-negative	0	0
A4$Amedibacterium	A4	Hp-negative	0	0
A4$Aminipila	A4	Hp-negative	0	0.024102677
A4$Aminobacterium	A4	Hp-negative	0	0
A4$Ammonifex	A4	Hp-negative	0	0
