Key	Actinomyces	Aerococcus	Arthrobacter	Atopobium	Bacillus	Campylobacter	Cutibacterium/Propionibacterium	Enterococcus	Gemella	Gordonia	Helicobacter	Lactobacillus	Mogibacterium	Moraxella	Neisseria	Paenibacillus	Prevotella	Rothia	Staphylococcus	Streptococcus	Veillonella
A4_16s	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1
A4_culture	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
A4_metagenome	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
A5_16s	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1
A5_culture	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
A5_metagenome	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
B4_16s	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
B4_culture	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B4_metagenome	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
B5_16s	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1
B5_culture	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
B5_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0
C2_16s	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1
C2_culture	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C2_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0
C4_16s	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1
C4_culture	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
C4_metagenome	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
C5_16s	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0
C5_culture	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5_metagenome	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1
D3_16s	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1
D3_culture	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
D3_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1
D4_16s	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1
D4_culture	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
D4_metagenome	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0
D5_16s	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1
D5_culture	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
D5_metagenome	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1
