OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	Key	metagenomics_A4	metagenomics_F3	metagenomics_C4	metagenomics_A5	metagenomics_G2	metagenomics_E5	metagenomics_C5	metagenomics_D5	metagenomics_E1	metagenomics_G1	metagenomics_C2	metagenomics_E2	metagenomics_F2	metagenomics_H2	metagenomics_D3	metagenomics_B4	metagenomics_D4	metagenomics_E4	metagenomics_H4	metagenomics_B5
s__Abyssicoccus_albus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Abyssicoccus	NA	NA	Abyssicoccus	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acaryochloris_marina	Bacteria	Cyanobacteria	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris_marina	NA	NA	Acaryochloris_marina	13	0	30	13	21	11	19	18	12	10	10	14	13	23	17	0	12	10	16	0
s__Acetivibrio_saccincola	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	NA	NA	Acetivibrio	26	0	67	62	49	18	51	32	0	0	0	0	0	0	0	0	0	0	0	0
s__Acetoanaerobium_sticklandii	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	NA	NA	Acetoanaerobium	0	0	15	21	23	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acetobacter_pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	NA	NA	Acetobacter	238	73	480	331	306	286	239	299	88	135	129	33	58	28	92	116	43	99	84	38
s__Acetobacterium_woodii	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	NA	NA	Acetobacterium	13	0	12	10	19	14	15	14	0	0	0	0	0	0	0	0	0	11	11	0
s__Acetohalobium_arabaticum	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	NA	NA	Acetohalobium	10	0	11	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acholeplasma_palmae	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	NA	NA	Acholeplasma	0	0	59	29	37	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Achromobacter_xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	NA	NA	Achromobacter	37	0	126	76	78	65	55	59	0	0	35	36	29	0	0	44	0	40	0	0
s__Acidipropionibacterium_acidipropionici	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	NA	NA	Acidipropionibacterium	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acidovorax_avenae	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA	NA	Acidovorax	56	0	101	57	76	40	33	45	0	0	0	17	0	10	26	0	13	33	0	0
s__Acinetobacter_baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	NA	Acinetobacter	306	182	813	584	701	347	400	321	97	76	81	94	153	73	72	204	84	113	82	86
s__Actinobacillus_porcitonsillarum	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	NA	NA	Actinobacillus	0	0	17	0	0	0	0	0	0	0	0	0	14	0	0	0	0	21	0	0
s__Actinomadura_sp._NAK00032	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	NA	NA	Actinomadura	0	0	35	15	0	23	30	31	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_oris	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	NA	NA	Actinomyces	101	30	212	156	182	78	115	132	38	70	62	68	122	83	68	284	64	106	51	79
s__Actinoplanes_sp._N902-109	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Actinoplanes	NA	NA	Actinoplanes	38	0	87	25	41	35	19	23	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinopolymorpha_singaporensis	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha	NA	NA	Actinopolymorpha	13	0	32	26	24	0	0	0	0	19	0	21	12	0	13	0	12	0	0	0
s__Actinosynnema_pretiosum	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	NA	NA	Actinosynnema	0	0	37	18	0	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Adhaeribacter_swui	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter	NA	NA	Adhaeribacter	14	0	48	35	44	0	28	15	0	0	0	0	0	0	0	0	0	0	0	0
s__Aequorivita_sp._KX20305	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	NA	NA	Aequorivita	0	0	39	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Aeribacillus_pallidus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	NA	NA	Aeribacillus	0	0	15	0	16	0	11	0	0	10	0	0	0	0	0	0	0	0	0	0
s__Aerococcus_christensenii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	NA	NA	Aerococcus	0	0	15	0	13	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Aeromonas_caviae	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA	NA	Aeromonas	42	0	151	115	74	48	62	41	20	0	0	0	15	0	0	0	164	23	0	0
