Representative_ASV	Beta	SE	P	FDR_BH
s__Caldisericum_exile	0.0333633486690974	0.256210551781869	0.897922027877329	0.985911850265357
s__Candidatus_Endomicrobium_trichonymphae	0.178174660249952	0.285403596215655	0.540725333020575	0.908070197109259
s__Elusimicrobium_minutum	0.373180785266424	0.220241640132193	0.108425591315702	0.623118070701876
s__Aminobacterium_colombiense	0.116246549811534	0.227503732044332	0.615946933061195	0.914999467934896
s__Thermodesulfovibrio_yellowstonii	0.133181532882348	0.225937451626639	0.563304085735876	0.908070197109259
s__Dissulfurispira_thermophila	-0.00172230958422833	0.443983616563439	0.996949997702319	0.998044935160228
s__Thermodesulfobacterium_geofontis	-0.218501329408232	0.220961156189369	0.336594691139974	0.891392910524647
s__Thermodesulfatator_indicus	-0.083453414970831	0.207424557689998	0.692453839897168	0.928866896312224
s__Candidatus_Chazhemtobacterium_aquaticus	0.261422838970878	0.354203414093604	0.470545491110582	0.908070197109259
s__Candidatus_Babela_massiliensis	0.547108294394634	0.246763210147088	0.0405328958775983	0.623118070701876
s__Candidatus_Saccharimonas_aalborgensis	-0.140959345619121	0.218409417738295	0.527289693915342	0.908070197109259
s__Kiritimatiella_glycovorans	0.373180785266424	0.220241640132193	0.108425591315702	0.623118070701876
s__Fibrobacter_succinogenes	0.391904331927916	0.221718841273312	0.0950756428009513	0.623118070701876
s__Melioribacter_roseus	0.0445179687276496	0.254100218768392	0.862993468681534	0.979283368716634
s__Ignavibacterium_album	0.396368373509122	0.227114338232142	0.0989911391350578	0.623118070701876
s__Atribacter_laminatus	0.0970495644208849	0.373145175780429	0.7979218674749	0.966607077809074
s__Geovibrio_thiophilus	0.395271625764555	0.274516679677849	0.168062437646353	0.700877236463876
s__Calditerrivibrio_nitroreducens	0.0229086805443667	0.258360812655342	0.930380911397681	0.985911850265357
s__Flexistipes_sinusarabici	0.28242995511019	0.24793093594602	0.27043953564411	0.832413494543995
s__Deferribacter_desulfuricans	-0.220247580606266	0.388973416755041	0.578637876107744	0.908070197109259
s__Thermotomaculum_hydrothermale	0.00945710376387971	0.207492851641516	0.964177748280356	0.987981424274289
s__Granulicella_tundricola	0.260501180778098	0.387666038849813	0.510630713487561	0.908070197109259
s__Candidatus_Solibacter_usitatus	-0.324115677725497	0.216593346893139	0.152877704942465	0.700877236463876
s__Dictyoglomus_thermophilum	-0.847464685545004	0.481112992731812	0.0961324285143542	0.623118070701876
s__Persephonella_marina	0.376832541336712	0.238029567321525	0.131816198941714	0.68116739417339
s__Sulfurihydrogenibium_sp._YO3AOP1	-0.701743385808414	0.446543190099527	0.134491357931709	0.683176082927003
s__Hydrogenobacter_thermophilus	0.383110836015488	0.220584319023833	0.100506248487	0.623118070701876
s__Hydrogenobaculum_sp._Y04AAS1	0.0857988610588136	0.265622777717585	0.750626665118229	0.945030172695816
s__Aquifex_aeolicus	-0.589006773924746	0.353691833387951	0.114170312205341	0.623118070701876
s__Chlamydia_gallinacea	0.820480279831001	0.305621494207854	0.0156695183969894	0.623118070701876
s__Candidatus_Protochlamydia_naegleriophila	0.308404268220814	0.224450724465623	0.187276106043092	0.720420662199517
s__Neochlamydia_sp._S13	0.395950761077747	0.222500093355942	0.0930318140624393	0.623118070701876
s__Simkania_negevensis	0.343402958633274	0.339928187044007	0.326552415597246	0.890597497083398
s__Humisphaera_borealis	0.25255627629043	0.248745239951726	0.324186229022474	0.890482984578174
s__Candidatus_Kuenenia_stuttgartiensis	-0.019360604343789	0.21020624253422	0.927692940866152	0.985911850265357
s__Paludisphaera_borealis	0.187473903140506	0.288592936849952	0.524623006439879	0.908070197109259
s__Isosphaera_pallida	0.465140963517409	0.271185994757246	0.104475235910868	0.623118070701876
s__Aquisphaera_giovannonii	0.444728010218412	0.245559833812258	0.0878361237468473	0.623118070701876
s__Crateriforma_conspicua	0.0220992504154817	0.261092690981866	0.93353528322001	0.985911850265357
s__Gimesia_alba	0.39651912430377	0.644443992409341	0.546513353088945	0.908070197109259
s__Pirellulimonas_nuda	0.0333633486690974	0.256210551781869	0.897922027877329	0.985911850265357
s__Botrimarina_mediterranea	-0.398765077727047	0.408668523576769	0.34286184317106	0.891392910524647
s__Stieleria_neptunia	0.387633169664344	0.221070879287462	0.0975382602171836	0.623118070701876
s__Rubripirellula_lacrimiformis	0.387633169664344	0.221070879287462	0.0975382602171836	0.623118070701876
s__Pirellula_sp._SH-Sr6A	0.0828910353261243	0.244592219980065	0.738838999312015	0.944454646257702
s__Lignipirellula_cremea	0.686832539830498	0.400995137980686	0.104922837657582	0.623118070701876
s__Aureliella_helgolandensis	0.413497455968298	0.22772380511633	0.0870826261821661	0.623118070701876
s__Roseimaritima_ulvae	-0.233155873606204	0.344154681387675	0.5072211784407	0.908070197109259
s__Tuwongella_immobilis	0.465140963517409	0.271185994757246	0.104475235910868	0.623118070701876
s__Limnoglobus_roseus	0.322067880047977	0.485053305680729	0.515605388525421	0.908070197109259
s__Gemmata_massiliana	-0.431413671519561	0.487983811348102	0.388988812995321	0.908070197109259
s__Urbifossiella_limnaea	0.327765146864028	0.571665066200628	0.573913656609258	0.908070197109259
s__Ereboglobus_luteus	-0.0254007980167501	0.273230061343967	0.927018283808518	0.985911850265357
s__Luteolibacter_sp._32A	0.0912838514150466	0.228218197701917	0.694148716177779	0.928866896312224
s__Verrucomicrobium_spinosum	0.16451411967581	0.260929856661188	0.536757175936389	0.908070197109259
s__Roseimicrobium_sp._ORNL1	-0.297995221807448	0.414289373126085	0.48173250724618	0.908070197109259
s__Akkermansia_muciniphila	-0.168936343456469	0.387750014295781	0.668547901377196	0.928866896312224
s__Methylacidiphilum_kamchatkense	-0.570972979681934	0.231341229774277	0.0244932368203092	0.623118070701876
s__Leptospira_interrogans	-0.11336458509046	0.608965070898041	0.854523053973399	0.979283368716634
s__Brachyspira_murdochii	-0.155731335406005	0.483350490187809	0.751236072777762	0.945030172695816
s__Sphaerochaeta_pleomorpha	0.148441847259141	0.242872686563121	0.549158622012768	0.908070197109259
s__Thiospirochaeta_perfilievii	-0.463051950566074	0.374484197503139	0.233082071269845	0.819629261608247
s__Spirochaeta_thermophila	-0.316703731651649	0.480358791900569	0.518531071302535	0.908070197109259
s__Treponema_ruminis	-0.438928271907475	0.153754160150252	0.0109638894417499	0.623118070701876
s__Borreliella_burgdorferi	-0.326736308873513	0.252520677069342	0.213003713119574	0.779645587413067
s__Borrelia_crocidurae	-0.249350200781481	0.246272237891311	0.325494661344999	0.890482984578174
s__Sneathia_vaginalis	-0.422913034624838	0.203393362719462	0.053040763808716	0.623118070701876
s__Sebaldella_termitidis	-0.222911641680369	0.320176684296782	0.495704044673275	0.908070197109259
s__Pseudoleptotrichia_goodfellowii	-0.138957156596402	0.272990592603785	0.617282461787402	0.914999467934896
s__Streptobacillus_moniliformis	-0.196513700430949	0.312809507164156	0.538207878753536	0.908070197109259
s__Leptotrichia_buccalis	-0.648939100574949	0.806516466764566	0.432148516444348	0.908070197109259
s__Ilyobacter_polytropus	-0.075917600874423	0.239360372134474	0.754977757768759	0.945030172695816
s__Fusobacterium_ulcerans	-0.90516155302122	0.535084632586658	0.108965681815701	0.623118070701876
s__Defluviitoga_tunisiensis	0.111509589964108	0.264696013162042	0.67883320249018	0.928866896312224
s__Petrotoga_mobilis	-0.200138016525946	0.233750538573171	0.403792821277556	0.908070197109259
s__Tepiditoga_spiralis	-0.65726919237521	0.290604111545213	0.0371090991650415	0.623118070701876
s__Fervidobacterium_nodosum	-0.00798983317879163	0.268425625768944	0.976600698867275	0.990007044258272
s__Thermosipho_melanesiensis	-0.0166656107858692	0.276560642633048	0.952651122122105	0.987981424274289
s__Thermotoga_profunda	-0.250807273838637	0.418239324565331	0.556632561769871	0.908070197109259
s__Gemmatirosa_kalamazoonesis	0.185053119426133	0.513037998679341	0.722766284082724	0.942738631412249
s__Candidatus_Cloacimonas_acidaminovorans	-0.187289376820222	0.383510710643807	0.631537963435594	0.914999467934896
s__Chlorobaculum_limnaeum	0.240508402742205	0.290856339156249	0.419750781295377	0.908070197109259
s__Chlorobium_phaeobacteroides	0.123055881734089	0.383743955634752	0.752367351450988	0.945030172695816
s__Prosthecochloris_sp._HL-130-GSB	0.141513999656027	0.53212860266479	0.793484234041702	0.966607077809074
s__Salinibacter_ruber	0.258697715922614	0.253609816067134	0.321997157203966	0.890482984578174
s__Haliscomenobacter_hydrossis	0.569182148694561	0.42930699840681	0.202441068139464	0.751332655282742
s__Paraflavitalea_soli	0.0456749310702516	0.25626327468024	0.860645590295415	0.979283368716634
s__Niabella_ginsenosidivorans	0.0220992504154817	0.261092690981866	0.93353528322001	0.985911850265357
s__Phnomibacter_ginsenosidimutans	0.0906551489992352	0.376355042858825	0.812531775089377	0.973484722918179
s__Filimonas_lacunae	0.142209500113028	0.226583034657662	0.538588600864655	0.908070197109259
s__Pseudobacter_ginsenosidimutans	0.101547154630018	0.242502313552135	0.680643754707305	0.928866896312224
s__Pseudocnuella_soli	-0.582233468430248	0.611577284795858	0.354427872541325	0.891392910524647
s__Niastella_koreensis	0.0738197099534074	0.365284493798587	0.84224634563438	0.979283368716634
s__Panacibacter_ginsenosidivorans	-0.2556358552876	0.230335720069091	0.282520840960477	0.838462515908161
s__Flavisolibacter_tropicus	0.201005966046239	0.503447383223271	0.694673349394842	0.928866896312224
s__Arachidicoccus_ginsenosidivorans	0.0314052294206097	0.527190660072353	0.953192071537583	0.987981424274289
s__Chitinophaga_sp._KRA15-503	-0.476585744929417	0.257010055605815	0.0811208486191123	0.623118070701876
s__Anseongella_ginsenosidimutans	0.192190476564811	0.661105581341999	0.774789301549637	0.954116577491998
s__Pseudopedobacter_saltans	-0.303743105916081	0.248856678064058	0.238915147826992	0.826673757390392
s__Solitalea_canadensis	0.525434122037197	0.23876000413326	0.0418686919420919	0.623118070701876
s__Pedobacter_heparinus	-0.52682238208214	0.607123234457324	0.397623150763804	0.908070197109259
s__Olivibacter_sp._SDN3	-0.484252896220789	0.284228011428563	0.106637003218775	0.623118070701876
s__Sphingobacterium_sp._G1-14	0.430118863987193	0.701266420905117	0.547767008154592	0.908070197109259
s__Mucilaginibacter_mallensis	-0.336913060061076	0.281167148565319	0.2472524927941	0.829138384870667
s__Candidatus_Amoebophilus_asiaticus	0.512507105159265	0.232813124538635	0.0418120609877049	0.623118070701876
s__Cardinium_endosymbiont_of_Bemisia_tabaci	-0.391205878654014	0.232303265570727	0.110446047464092	0.623118070701876
s__Mangrovivirga_cuniculi	-0.0261482289541711	0.511536904715252	0.9598281212585	0.987981424274289
s__Marivirga_tractuosa	-0.458312731992255	0.273664228980706	0.112283832881144	0.623118070701876
s__Bernardetia_litoralis	-0.224758123630012	0.355041604830736	0.535126633882356	0.908070197109259
s__Aquiflexum_balticum	0.0564730342174203	0.252054514448054	0.825388267753346	0.977031734948473
s__Cyclobacterium_marinum	0.030408360924748	0.319402919494835	0.925266196998756	0.985911850265357
s__Belliella_baltica	-0.563518400387806	0.500469385891326	0.275819174999113	0.832661660374679
s__Algoriphagus_sanaruensis	-0.0279287775623861	0.287704519147361	0.923802508612459	0.985911850265357
s__Echinicola_sp._20G	-0.265566745059614	0.548191207130163	0.63425482537932	0.914999467934896
s__Rufibacter_radiotolerans	0.498556322951923	0.41890422314535	0.250345370522136	0.829138384870667
s__Pontibacter_russatus	0.196610918931021	0.278149373667986	0.489233833572581	0.908070197109259
s__Adhaeribacter_swui	-0.395209719878895	0.350139715127267	0.274693140718237	0.832413494543995
s__Hymenobacter_sp._DG01	-0.0615163207655082	0.327009715972596	0.853011612786525	0.979283368716634
s__Flammeovirga_sp._MY04	-0.452308612011383	0.655871979728187	0.49973355278431	0.908070197109259
s__Aquirufa_nivalisilvae	-0.205357299954584	0.232458564174543	0.389334701915165	0.908070197109259
s__Dyadobacter_fermentans	0.319700549791534	0.438978915512474	0.476353820131501	0.908070197109259
s__Rhodocytophaga_rosea	-0.229867717503352	0.334545690225618	0.501283850842117	0.908070197109259
s__Arcticibacterium_luteifluviistationis	-0.110580470773981	0.327835242432529	0.740015807243407	0.944701030523498
s__Cytophaga_hutchinsonii	0.662470254403139	0.46276525504709	0.170401984951844	0.700877236463876
s__Runella_sp._SP2	-0.214601873581743	0.336992536827349	0.532727703970051	0.908070197109259
s__Spirosoma_sp._KCTC_42546	0.439942986047242	0.417141300668402	0.3063394230463	0.872658297105186
s__Alkalitalea_saponilacus	0.0893391430227919	0.219253298942242	0.688747993748567	0.928866896312224
s__Labilibaculum_antarcticum	-0.495711951655649	0.205184249969263	0.0272334709560684	0.623118070701876
s__Draconibacterium_orientale	0.280713835394968	0.248532591885627	0.274379423701739	0.832413494543995
s__Maribellus_comscasis	0.0216003215852805	0.330888144317562	0.94871273026111	0.987981424274289
s__Tenuifilum_thalassicum	0.437284425159502	0.301843463369104	0.165612498015042	0.700877236463876
s__Paludibacter_propionicigenes	0.103140386240868	0.227918642895359	0.656607661266292	0.925614324252042
s__Dysgonomonas_sp._HDW5A	-0.10323046517805	0.299121974860553	0.734243615489491	0.944454646257702
s__Proteiniphilum_saccharofermentans	0.267713046565667	0.275534309731462	0.344865078634227	0.891392910524647
s__Sodaliphilus_pleomorphus	-0.330659059611025	0.410513844588651	0.431667772223583	0.908070197109259
s__Odoribacter_splanchnicus	-0.225423899633957	0.236879504335763	0.354615072554143	0.891392910524647
s__Butyricimonas_virosa	0.318131713127171	0.281959317263279	0.274869872677548	0.832413494543995
s__Salinivirga_cyanobacteriivorans	-0.594842115285648	0.356976968699305	0.113964392385436	0.623118070701876
s__Barnesiella_viscericola	0.518876677481786	0.232059758673597	0.0390536319215441	0.623118070701876
s__Coprobacter_secundus	-0.0420133165797715	0.263340950202786	0.875123915652221	0.983059496505845
s__Porphyromonas_gingivalis	-0.107193546564217	0.489792282739838	0.829368845481169	0.979283368716634
s__Tannerella_forsythia	0.0343903335743031	0.304372157608102	0.911363784343425	0.985911850265357
s__Parabacteroides_distasonis	-0.234324964923729	0.388742195094631	0.554613584070468	0.908070197109259
s__Alistipes_indistinctus	-0.32440814423216	0.33943514976015	0.352603431744226	0.891392910524647
s__Prevotella_melaninogenica	-0.662688932843004	0.435213239369949	0.14622406916213	0.700877236463876
s__Phocaeicola_salanitronis	-0.0598790425788701	0.458199228999293	0.897559748478673	0.985911850265357
s__Bacteroides_fragilis	-0.546135065479231	0.231363999070162	0.0304597503063762	0.623118070701876
s__Fluviicola_taffensis	-0.202952649378817	0.407535005176778	0.624864434867828	0.914999467934896
s__Ichthyobacterium_seriolicida	-0.026095521699503	0.241330333943297	0.915157018388255	0.985911850265357
s__Candidatus_Sulcia_muelleri	0.210864847771045	0.340584646323927	0.544041788594426	0.908070197109259
s__Blattabacterium_cuenoti	-0.736320333573098	0.247581454636371	0.0085124914850446	0.623118070701876
s__Weeksella_virosa	0.0564730342174203	0.252054514448054	0.825388267753346	0.977031734948473
s__Bergeyella_cardium	-0.125982707033307	0.199770062645982	0.536663418138094	0.908070197109259
s__Epilithonimonas_vandammei	-0.225883019070853	0.234008968710164	0.347938958695461	0.891392910524647
s__Kaistella_jeonii	-0.0281748984497348	0.371715768493105	0.940465551752203	0.987981424274289
s__Ornithobacterium_rhinotracheale	0.295730061173066	0.534383600413281	0.587191917454422	0.909200388316524
s__Apibacter_raozihei	-0.243114436929229	0.423160375452718	0.573140281652215	0.908070197109259
