Representative_ASV	Beta	SE	P	FDR_BH
s__Caldisericum_exile	0.0599143539206052	0.238195130710074	0.804416151285679	0.99125484034098
s__Candidatus_Endomicrobium_trichonymphae	0.559739627868104	0.231911713873407	0.0273632671497809	0.99125484034098
s__Elusimicrobium_minutum	0.0931184331104664	0.220518773663971	0.678120347858108	0.99125484034098
s__Aminobacterium_colombiense	0.0763847027120893	0.21260899922969	0.723814478183537	0.99125484034098
s__Thermodesulfovibrio_yellowstonii	-0.108404209976782	0.210842026733961	0.613766611601437	0.99125484034098
s__Dissulfurispira_thermophila	0.920187589635678	0.347893951631889	0.017015669419753	0.99125484034098
s__Thermodesulfobacterium_geofontis	0.0116994607524185	0.211518048495256	0.956534863299018	0.99125484034098
s__Thermodesulfatator_indicus	0.046319968836427	0.19369339391478	0.813855760879873	0.99125484034098
s__Candidatus_Chazhemtobacterium_aquaticus	-0.325362736171418	0.32555957256734	0.3316170451106	0.99125484034098
s__Candidatus_Babela_massiliensis	0.242492451364081	0.25411413659741	0.353322361763158	0.99125484034098
s__Candidatus_Saccharimonas_aalborgensis	0.102204908550793	0.204305684398728	0.623309518095218	0.99125484034098
s__Kiritimatiella_glycovorans	0.0931184331104664	0.220518773663971	0.678120347858108	0.99125484034098
s__Fibrobacter_succinogenes	0.0687778224505266	0.223956353313151	0.762494496834788	0.99125484034098
s__Melioribacter_roseus	0.0666071259557364	0.236216135541277	0.781366345208116	0.99125484034098
s__Ignavibacterium_album	-0.0836243184496458	0.228695285234483	0.719130295510716	0.99125484034098
s__Atribacter_laminatus	-0.200715088769328	0.344648681814635	0.567957966395859	0.99125484034098
s__Geovibrio_thiophilus	0.371574422273428	0.255254823284499	0.163694769968197	0.99125484034098
s__Calditerrivibrio_nitroreducens	0.0536415530457666	0.240224402110623	0.82596500024314	0.99125484034098
s__Flexistipes_sinusarabici	-0.283736103889804	0.229357061413002	0.232869392291266	0.99125484034098
s__Deferribacter_desulfuricans	0.106841307048511	0.364593576953644	0.773036823256783	0.99125484034098
s__Thermotomaculum_hydrothermale	0.224680308509877	0.185331919651795	0.241972441794944	0.99125484034098
s__Granulicella_tundricola	-0.347370139217704	0.355820932547041	0.342629204129275	0.99125484034098
s__Candidatus_Solibacter_usitatus	-0.309633969822787	0.200931814930318	0.141726677746768	0.99125484034098
s__Dictyoglomus_thermophilum	-0.638833283851314	0.461751736819382	0.184411251544442	0.99125484034098
s__Persephonella_marina	0.267047314833207	0.228359507300449	0.258371703532366	0.99125484034098
s__Sulfurihydrogenibium_sp._YO3AOP1	0.379586966199818	0.435250914869539	0.395298715924916	0.99125484034098
s__Hydrogenobacter_thermophilus	0.0802093671366824	0.221977320549012	0.722296691682162	0.99125484034098
s__Hydrogenobaculum_sp._Y04AAS1	-0.201616667270527	0.243171175414014	0.418529808334147	0.99125484034098
s__Aquifex_aeolicus	-0.106440850136565	0.354172721195719	0.767414362065654	0.99125484034098
s__Chlamydia_gallinacea	0.239515973718448	0.334507645425231	0.483696111763119	0.99125484034098
s__Candidatus_Protochlamydia_naegleriophila	-0.253730438954813	0.211477998617945	0.246673219560218	0.99125484034098
s__Neochlamydia_sp._S13	0.0635174645557452	0.225079284280467	0.781196677182315	0.99125484034098
