Representative_ASV	Beta	SE	P	FDR_BH
s__Caldisericum_exile	0.065522075293395	0.238108259171029	0.786496309825081	0.953323892672471
s__Candidatus_Endomicrobium_trichonymphae	-0.41598512104378	0.249066086388973	0.113191420103977	0.846988012381382
s__Elusimicrobium_minutum	0.028628653971327	0.221563487768603	0.898706377988111	0.953323892672471
s__Aminobacterium_colombiense	-0.253735683203026	0.204349296877929	0.231215218003913	0.940037988345858
s__Thermodesulfovibrio_yellowstonii	0.252542701846048	0.203455123035382	0.231361576545608	0.940037988345858
s__Dissulfurispira_thermophila	0.0400463277212838	0.413212302550925	0.923927575701623	0.962007020253317
s__Thermodesulfobacterium_geofontis	0.152544159569469	0.208276569384846	0.473895294333341	0.953323892672471
s__Thermodesulfatator_indicus	0.117394987123834	0.191918362070508	0.548835208382756	0.953323892672471
s__Candidatus_Chazhemtobacterium_aquaticus	0.493607730951199	0.312863992059701	0.133058545869505	0.888605702074839
s__Candidatus_Babela_massiliensis	0.279857278267632	0.251845003440632	0.281939816852685	0.940037988345858
s__Candidatus_Saccharimonas_aalborgensis	0.0642042870500183	0.20521401574311	0.758188752039609	0.953323892672471
s__Kiritimatiella_glycovorans	0.028628653971327	0.221563487768603	0.898706377988111	0.953323892672471
s__Fibrobacter_succinogenes	0.0556737769268157	0.224170423436417	0.80683525783941	0.953323892672471
s__Melioribacter_roseus	0.0580856619210267	0.236348400713639	0.808808376559565	0.953323892672471
s__Ignavibacterium_album	-0.138707180703319	0.227114821175868	0.549453548056755	0.953323892672471
s__Atribacter_laminatus	-0.438125287670896	0.331453032345246	0.203736387943893	0.940037988345858
s__Geovibrio_thiophilus	-0.246636436008571	0.264004616881514	0.363275113732948	0.953323892672471
s__Calditerrivibrio_nitroreducens	0.0724918540432156	0.239933118694558	0.766215371217501	0.953323892672471
s__Flexistipes_sinusarabici	0.00891366705129408	0.239448627761952	0.970738612895624	0.984064486145511
s__Deferribacter_desulfuricans	0.121135440930709	0.364330600343396	0.74358573935418	0.953323892672471
s__Thermotomaculum_hydrothermale	-0.0482381519350353	0.19282252877298	0.805455112708712	0.953323892672471
s__Granulicella_tundricola	0.0191185531550009	0.365629642832452	0.958907631598538	0.97619440756585
s__Candidatus_Solibacter_usitatus	0.130526018817052	0.212157995503108	0.546551057445041	0.953323892672471
s__Dictyoglomus_thermophilum	-0.427986312309396	0.475863611872835	0.381009089703935	0.953323892672471
s__Persephonella_marina	-0.453048500343914	0.210402754184379	0.0459483407002306	0.575194987934377
s__Sulfurihydrogenibium_sp._YO3AOP1	-0.00265945274677448	0.444880439551953	0.995299941383442	0.998420003895615
s__Hydrogenobacter_thermophilus	0.0429720606088647	0.222584256199167	0.849199905700241	0.953323892672471
s__Hydrogenobaculum_sp._Y04AAS1	0.356112098839098	0.232515806289992	0.14402763462365	0.888605702074839
s__Aquifex_aeolicus	-0.902267057098142	0.279673674518686	0.00496039927331855	0.317465553492387
s__Chlamydia_gallinacea	0.276880800621998	0.332806791355344	0.416967450656926	0.953323892672471
s__Candidatus_Protochlamydia_naegleriophila	0.0316429450046173	0.220115999628848	0.887383664958922	0.953323892672471
s__Neochlamydia_sp._S13	0.0615186190321282	0.225111940706042	0.787930135809796	0.953323892672471
s__Simkania_negevensis	0.342041604178519	0.315078296524086	0.292821142054549	0.940037988345858
s__Humisphaera_borealis	0.0839904243365421	0.237615456653898	0.728080016271557	0.953323892672471
s__Candidatus_Kuenenia_stuttgartiensis	-0.0257796248641248	0.195640294434272	0.896712770637259	0.953323892672471
s__Paludisphaera_borealis	0.264577567184042	0.264301260729654	0.330841617265516	0.953323892672471
s__Isosphaera_pallida	0.161460022556083	0.270615398119096	0.558610186586772	0.953323892672471
s__Aquisphaera_giovannonii	-0.153149461069115	0.246906955139619	0.543304952148771	0.953323892672471
s__Crateriforma_conspicua	-0.257880881503031	0.234932168595258	0.287648166526934	0.940037988345858
s__Gimesia_alba	-0.438417310462176	0.597195706262257	0.472876339688758	0.953323892672471
s__Pirellulimonas_nuda	0.065522075293395	0.238108259171029	0.786496309825081	0.953323892672471
s__Botrimarina_mediterranea	-0.0803617997737227	0.390472353412349	0.839386404391108	0.953323892672471
s__Stieleria_neptunia	0.049504320323879	0.223320737775798	0.827208917103728	0.953323892672471
s__Rubripirellula_lacrimiformis	0.049504320323879	0.223320737775798	0.827208917103728	0.953323892672471
s__Pirellula_sp._SH-Sr6A	0.145896835950879	0.225714003996252	0.526664669350544	0.953323892672471
