Representative_ASV	Beta	SE	P	FDR_BH
s__Caldisericum_exile	-0.119066092978509	0.158352975228049	0.462393383937768	0.778461883237766
s__Candidatus_Endomicrobium_trichonymphae	0.071037168737762	0.251721871853731	0.781193217427622	0.950501253143875
s__Elusimicrobium_minutum	0.211629343841382	0.0967368587760007	0.0429521275472821	0.376353902926443
s__Aminobacterium_colombiense	0.160595518605891	0.21832697250063	0.47201788603235	0.778461883237766
s__Thermodesulfovibrio_yellowstonii	0.026993454942814	0.180923396359353	0.883152852767224	0.984736966324506
s__Dissulfurispira_thermophila	0.0151324760914893	0.443420271662511	0.973173608999869	0.997038848250986
s__Thermodesulfobacterium_geofontis	-0.274978924909965	0.204256177643555	0.195901355560708	0.608625570674045
s__Thermodesulfatator_indicus	-0.14123814763043	0.191158463033137	0.470074889545894	0.778461883237766
s__Candidatus_Chazhemtobacterium_aquaticus	0.120835280658525	0.307839622371155	0.699547015637403	0.910307951143208
s__Candidatus_Babela_massiliensis	0.447673820515383	0.223101841581644	0.0609694298295834	0.378807681297818
s__Candidatus_Saccharimonas_aalborgensis	-0.192082496749887	0.205485358770051	0.362993589222198	0.778461883237766
s__Kiritimatiella_glycovorans	0.211629343841382	0.0967368587760007	0.0429521275472821	0.376353902926443
s__Fibrobacter_succinogenes	0.237039871453407	0.117504260236198	0.0597390933389233	0.376353902926443
s__Melioribacter_roseus	-0.109750146555983	0.152345907941357	0.481067304589804	0.778461883237766
s__Ignavibacterium_album	0.367761117076015	0.226858889736633	0.123395010798972	0.495645231661143
s__Atribacter_laminatus	0.130857620590527	0.369900277918461	0.727864694660783	0.927954989208966
s__Geovibrio_thiophilus	0.241609770231703	0.201668606702189	0.247333091802234	0.664800244122149
s__Calditerrivibrio_nitroreducens	-0.127797464159603	0.164059615604454	0.446706156925483	0.778461883237766
s__Flexistipes_sinusarabici	0.224409979894014	0.239652371663909	0.362181300482408	0.778461883237766
s__Deferribacter_desulfuricans	0.0576208078345545	0.147312106203787	0.700546908474959	0.910307951143208
s__Thermotomaculum_hydrothermale	-0.0168592757278012	0.204586226831653	0.935285824076751	0.996989410340191
s__Granulicella_tundricola	0.11715913123285	0.343909350113716	0.737526759943761	0.931054321883675
s__Candidatus_Solibacter_usitatus	-0.2841108667974	0.213547667128901	0.200948155124349	0.617849467780624
s__Dictyoglomus_thermophilum	-0.711424055158635	0.460698441654756	0.140943413671305	0.516562672561164
s__Persephonella_marina	0.358506627489992	0.238485836397575	0.151121112524481	0.53141490118499
s__Sulfurihydrogenibium_sp._YO3AOP1	-0.46325474062592	0.343973269550697	0.195733939237154	0.608625570674045
s__Hydrogenobacter_thermophilus	0.225105841286541	0.107451806339359	0.0514604955984753	0.376353902926443
s__Hydrogenobaculum_sp._Y04AAS1	0.00521860105712199	0.244672131076094	0.983231594212665	0.997038848250986
s__Aquifex_aeolicus	-0.750684443509855	0.259963709050883	0.0102266356178158	0.376353902926443
s__Chlamydia_gallinacea	0.752756095988264	0.303010564343917	0.0236985769342719	0.376353902926443
s__Candidatus_Protochlamydia_naegleriophila	0.242140978462058	0.21213873484688	0.269516170698559	0.680882957554254
s__Neochlamydia_sp._S13	0.242531453871036	0.122270415442073	0.0636951304640564	0.378807681297818
s__Simkania_negevensis	0.410901992842077	0.323653852029232	0.221342078193628	0.638793592010004
s__Humisphaera_borealis	0.189845982070037	0.238264277617656	0.436561700981414	0.778461883237766
s__Candidatus_Kuenenia_stuttgartiensis	-0.0401573674789083	0.208261848423747	0.849383555448693	0.976747282316023
s__Paludisphaera_borealis	0.0842614787186091	0.258240290895961	0.748186726326507	0.936133493065658
s__Isosphaera_pallida	0.284431151623412	0.159912220049236	0.093181089289311	0.428622234792467
s__Aquisphaera_giovannonii	0.433392052610052	0.246302783643054	0.0964592307185319	0.434745828590566
s__Crateriforma_conspicua	-0.128473471739771	0.168496775556464	0.456230372177271	0.778461883237766
s__Gimesia_alba	0.239395505812558	0.615545887036281	0.702166617551114	0.910307951143208
s__Pirellulimonas_nuda	-0.119066092978509	0.158352975228049	0.462393383937768	0.778461883237766
s__Botrimarina_mediterranea	-0.309959058569312	0.396488497183585	0.445107590753019	0.778461883237766
s__Stieleria_neptunia	0.231243294095703	0.112564948080733	0.0556525863311797	0.376353902926443
s__Rubripirellula_lacrimiformis	0.231243294095703	0.112564948080733	0.0556525863311797	0.376353902926443
s__Pirellula_sp._SH-Sr6A	0.120324217834104	0.238699888489751	0.620674208163873	0.866057034647264
s__Lignipirellula_cremea	0.6127956548196	0.396317683747916	0.140463039090722	0.516562672561164
s__Aureliella_helgolandensis	0.266344825508212	0.143704628361741	0.0812599951626831	0.401261117414716
s__Roseimaritima_ulvae	-0.435903980367479	0.200123649588148	0.0437608514158358	0.376353902926443
s__Tuwongella_immobilis	0.284431151623412	0.159912220049236	0.093181089289311	0.428622234792467
s__Limnoglobus_roseus	0.555918355337182	0.359896139933752	0.140838756108963	0.516562672561164
s__Gemmata_massiliana	-0.286563391086197	0.456405023961239	0.538432265714962	0.817871796022727
s__Urbifossiella_limnaea	0.662302354603443	0.340020131101474	0.0681429956677258	0.381669065816914
s__Ereboglobus_luteus	-0.168143841858997	0.195262325599703	0.401156086461193	0.778461883237766
s__Luteolibacter_sp._32A	-0.0238010624520754	0.17278099021123	0.892054249162816	0.98937940250123
s__Verrucomicrobium_spinosum	0.0805096911654876	0.23918062720363	0.740533266575996	0.931054321883675
s__Roseimicrobium_sp._ORNL1	-0.496714308557609	0.307738906405329	0.124917492194383	0.496797389814515
s__Akkermansia_muciniphila	0.0634211987026161	0.243537518890898	0.797670563788955	0.957269966265505
s__Methylacidiphilum_kamchatkense	-0.617831693001302	0.215594011246759	0.0107124318305839	0.376353902926443
s__Leptospira_interrogans	0.276366451595795	0.326990008022022	0.409746761515558	0.778461883237766
s__Brachyspira_murdochii	0.0688188518929424	0.38523297049015	0.860330341901591	0.980833082052495
s__Sphaerochaeta_pleomorpha	0.0537705033363381	0.211567312313669	0.802425825029635	0.957269966265505
s__Thiospirochaeta_perfilievii	-0.250995552995924	0.268547911783913	0.36306113014339	0.778461883237766
s__Spirochaeta_thermophila	-0.346300124260664	0.477587539807588	0.478251929306141	0.778461883237766
s__Treponema_ruminis	-0.395291566483644	0.150066498226988	0.0174056214715211	0.376353902926443
s__Borreliella_burgdorferi	-0.441011438708711	0.190359858297896	0.0332566237310903	0.376353902926443
s__Borrelia_crocidurae	-0.329057745015973	0.216922173626559	0.147657236507504	0.528921444205985
s__Sneathia_vaginalis	-0.445696393002954	0.198281607401087	0.0381493724635674	0.376353902926443
s__Sebaldella_termitidis	0.0146477854518996	0.0935652648244896	0.87744244385953	0.984036518288727
s__Pseudoleptotrichia_goodfellowii	0.0620341568317112	0.078960564135574	0.442894444378365	0.778461883237766
s__Streptobacillus_moniliformis	0.0314329962464637	0.105163634536434	0.76864232293626	0.950336912925607
s__Leptotrichia_buccalis	-0.136621048341278	0.473864354385866	0.776593187794521	0.950501253143875
s__Ilyobacter_polytropus	0.0876625054514214	0.10651160126224	0.421885271416055	0.778461883237766
s__Fusobacterium_ulcerans	-0.594167883425798	0.384802905322749	0.140978562719818	0.516562672561164
s__Defluviitoga_tunisiensis	0.179482372899123	0.246953794524882	0.477246997942995	0.778461883237766
s__Petrotoga_mobilis	-0.112120087983795	0.207329728729325	0.59567362088741	0.851910507396954
s__Tepiditoga_spiralis	-0.694460965697127	0.281290085031021	0.0244561008070556	0.376353902926443
s__Fervidobacterium_nodosum	-0.153602816280043	0.185333393147126	0.418707180128848	0.778461883237766
s__Thermosipho_melanesiensis	0.0682696160708073	0.252726770249156	0.790310570900229	0.952721881659914
s__Thermotoga_profunda	-0.506151239405157	0.227749309962368	0.0401138860656955	0.376353902926443
s__Gemmatirosa_kalamazoonesis	0.241818970739669	0.506224134392296	0.638954086530098	0.876238407920867
s__Candidatus_Cloacimonas_acidaminovorans	0.0983324607862246	0.0939872257757253	0.310102598115766	0.72786917895143
s__Chlorobaculum_limnaeum	0.117234656618827	0.247307459218755	0.641499817059272	0.876238407920867
s__Chlorobium_phaeobacteroides	0.108616041396352	0.383534930005781	0.780445299198191	0.950501253143875
s__Prosthecochloris_sp._HL-130-GSB	0.111853373552464	0.531127052556087	0.835705919517152	0.971217331582523
s__Salinibacter_ruber	0.198180792999431	0.244276569944705	0.428408646174144	0.778461883237766
s__Haliscomenobacter_hydrossis	0.599645977209518	0.424994452241957	0.176297541543859	0.577630170246091
s__Paraflavitalea_soli	-0.108783892291831	0.155662864694277	0.494100941301732	0.778461883237766
s__Niabella_ginsenosidivorans	-0.128473471739771	0.168496775556464	0.456230372177271	0.778461883237766
s__Phnomibacter_ginsenosidimutans	-0.0231919624050269	0.34625597310785	0.947379668260589	0.996989410340191
s__Filimonas_lacunae	0.0345332957068986	0.180552538525504	0.850584091683537	0.976747282316023
s__Pseudobacter_ginsenosidimutans	0.00414266530447252	0.207752690991102	0.984323115353515	0.997038848250986
s__Pseudocnuella_soli	-0.898449279497826	0.418573210621923	0.0465610697882413	0.376353902926443
s__Niastella_koreensis	0.12074632460573	0.359337728905791	0.740964064499092	0.931054321883675
s__Panacibacter_ginsenosidivorans	-0.169641634534293	0.206248861460017	0.42217464251238	0.778461883237766
s__Flavisolibacter_tropicus	0.0292451155400813	0.453046131533955	0.949283564789961	0.996989410340191
s__Arachidicoccus_ginsenosidivorans	0.353822234637058	0.3042350697675	0.260899360229297	0.669688197380014
s__Chitinophaga_sp._KRA15-503	-0.556209253330709	0.22440353992138	0.0239733972222048	0.376353902926443
s__Anseongella_ginsenosidimutans	-0.0611682386720133	0.573636196187949	0.916328816591593	0.996989410340191
s__Pseudopedobacter_saltans	-0.400605549555142	0.20456057885204	0.0668031201957437	0.381669065816914
s__Solitalea_canadensis	0.565402876249414	0.227387870057829	0.0235895848281262	0.376353902926443
s__Pedobacter_heparinus	-0.474827515998624	0.605831091312434	0.443963250983016	0.778461883237766
s__Olivibacter_sp._SDN3	-0.407215591108088	0.273238860972058	0.154458375277246	0.539200146422386
s__Sphingobacterium_sp._G1-14	0.787627426007923	0.497222703519321	0.131606470845608	0.503907242490567
