Representative_ASV	Beta	SE	P	FDR_BH
s__Caldisericum_exile	0.00707214748276816	0.149840035386277	0.962905476730935	0.994946230890958
s__Candidatus_Endomicrobium_trichonymphae	0.522598630810544	0.197755878102503	0.0170999176410587	0.611075087294641
s__Elusimicrobium_minutum	0.037113933416452	0.101550556411318	0.719266421143529	0.973900936950335
s__Aminobacterium_colombiense	0.0917590118941332	0.205257558083958	0.660486976505348	0.971371298573622
s__Thermodesulfovibrio_yellowstonii	-0.14521607699582	0.164819694985464	0.390571960240723	0.858985399388973
s__Dissulfurispira_thermophila	0.926030582003261	0.346372501850545	0.0160367585302548	0.611075087294641
s__Thermodesulfobacterium_geofontis	-0.00787943902151543	0.200022474862875	0.969036172794839	0.994946230890958
s__Thermodesulfatator_indicus	0.0262879281810995	0.180681121713055	0.886032425430423	0.994946230890958
s__Candidatus_Chazhemtobacterium_aquaticus	-0.374099756386367	0.273206610355575	0.188727351114671	0.686281276780622
s__Candidatus_Babela_massiliensis	0.208021833752607	0.225409494068972	0.368992650481283	0.853573360149475
s__Candidatus_Saccharimonas_aalborgensis	0.0844822161587944	0.195078070438785	0.670409430219931	0.971371298573622
s__Kiritimatiella_glycovorans	0.037113933416452	0.101550556411318	0.719266421143529	0.973900936950335
s__Fibrobacter_succinogenes	0.015091476152697	0.121726613136568	0.902786447268987	0.994946230890958
s__Melioribacter_roseus	0.0131275126574106	0.143939682072524	0.928398528263753	0.994946230890958
s__Ignavibacterium_album	-0.0935415006797895	0.22579473732729	0.683851670185255	0.973900936950335
s__Atribacter_laminatus	-0.188994962630519	0.342570533909577	0.588335752055998	0.936089543263765
s__Geovibrio_thiophilus	0.318304979022039	0.179620819683137	0.0942998423728898	0.644246513640031
s__Calditerrivibrio_nitroreducens	0.00139675621505719	0.155432696883835	0.992934724727504	0.996047372767402
s__Flexistipes_sinusarabici	-0.303849695298078	0.216591769627561	0.178655712593047	0.684091494496262
s__Deferribacter_desulfuricans	0.203169015041329	0.128641264893332	0.132682366491368	0.651712601071651
s__Thermotomaculum_hydrothermale	0.215557296952761	0.183183093700469	0.255517131307023	0.760818919474357
s__Granulicella_tundricola	-0.397062049726723	0.306479324821938	0.212443922781688	0.705705236967088
s__Candidatus_Solibacter_usitatus	-0.295765635367714	0.196192813227623	0.150034163695266	0.663745608974448
s__Dictyoglomus_thermophilum	-0.59167253198404	0.434917993669315	0.191462767515166	0.689899999646644
s__Persephonella_marina	0.260694331366344	0.227698736458854	0.268110614187135	0.770617334190567
s__Sulfurihydrogenibium_sp._YO3AOP1	0.462263029863082	0.317667662238265	0.16383734718896	0.672166421642476
s__Hydrogenobacter_thermophilus	0.0254343022973143	0.112034354021741	0.823113949488066	0.993948920136532
s__Hydrogenobaculum_sp._Y04AAS1	-0.229551157404447	0.220871641037036	0.313223651931525	0.79262404485646
s__Aquifex_aeolicus	-0.162489108926069	0.292824258449839	0.586188663214708	0.935378546790327
