Representative_ASV	Beta	SE	P	FDR_BH
s__Caldisericum_exile	0.180013522575375	0.143348559654956	0.226183488385337	0.582873087475196
s__Candidatus_Endomicrobium_trichonymphae	-0.335512960752401	0.220342776627393	0.146221570838165	0.530176878064811
s__Elusimicrobium_minutum	0.149971736641691	0.0952392300191647	0.133754844318599	0.530176878064811
s__Aminobacterium_colombiense	-0.287046686430788	0.194368543756277	0.158009765195548	0.538130430279882
s__Thermodesulfovibrio_yellowstonii	0.332301747053964	0.148021719284638	0.0383647828993531	0.340032268115565
s__Dissulfurispira_thermophila	0.0273865109248558	0.41276250745108	0.947873777540005	0.98908568091131
s__Thermodesulfobacterium_geofontis	0.194965109079659	0.194362234508818	0.329877015113997	0.6905218735058
s__Thermodesulfatator_indicus	0.160797741877044	0.176537197049332	0.375112742817742	0.699562490782594
s__Candidatus_Chazhemtobacterium_aquaticus	0.599204608083588	0.248503278282725	0.02749300649385	0.314205788501143
s__Candidatus_Babela_massiliensis	0.354543616425825	0.214384534622309	0.116518651823566	0.530176878064811
s__Candidatus_Saccharimonas_aalborgensis	0.102603453899349	0.194566257687536	0.604769026436237	0.827890230030501
s__Kiritimatiella_glycovorans	0.149971736641691	0.0952392300191647	0.133754844318599	0.530176878064811
s__Fibrobacter_succinogenes	0.171994193905447	0.114414368645206	0.151122333113168	0.531419193364985
s__Melioribacter_roseus	0.173958157400733	0.137654220751016	0.223381161428913	0.582873087475196
s__Ignavibacterium_album	-0.117219952538008	0.225143741399906	0.609329181219343	0.832085368379188
s__Atribacter_laminatus	-0.463518894304983	0.326829424162672	0.174195468150535	0.555573586127952
s__Geovibrio_thiophilus	-0.131219308963896	0.192900677476805	0.505509985210766	0.769881395319123
s__Calditerrivibrio_nitroreducens	0.185688913843086	0.148765522894171	0.228876768889534	0.582873087475196
s__Flexistipes_sinusarabici	0.0524931151025549	0.228431096522798	0.820990620184142	0.940514314292096
s__Deferribacter_desulfuricans	-0.087574593053729	0.136108545543923	0.528538173513284	0.789108315043161
s__Thermotomaculum_hydrothermale	-0.0284716268946173	0.190372250454368	0.882873594708998	0.959329535032963
s__Granulicella_tundricola	0.126784359257875	0.319778121498701	0.696686419992301	0.896284264324237
s__Candidatus_Solibacter_usitatus	0.100477960831059	0.207469208177216	0.63435130047778	0.854105537810195
s__Dictyoglomus_thermophilum	-0.530167941355158	0.439559310042018	0.244283883674278	0.601314175198223
s__Persephonella_marina	-0.439283702832378	0.210934267817742	0.0527066106082371	0.38921804756852
s__Sulfurihydrogenibium_sp._YO3AOP1	-0.181790924017181	0.333973916775291	0.593285292169952	0.818266210310615
s__Hydrogenobacter_thermophilus	0.161651367760829	0.105131452508857	0.142547509556142	0.530176878064811
s__Hydrogenobaculum_sp._Y04AAS1	0.416636827462591	0.20413955415674	0.0570980489479343	0.406030570296421
s__Aquifex_aeolicus	-0.780829163054216	0.226792379315832	0.00310533258262481	0.174713559395876
s__Chlamydia_gallinacea	0.32774918759721	0.31959688785968	0.319495434788901	0.681536316952276
s__Candidatus_Protochlamydia_naegleriophila	0.0814140382011938	0.203964855434557	0.694747046992924	0.896284264324237
s__Neochlamydia_sp._S13	0.176753565334058	0.118817940803159	0.155170099343608	0.535839191977928
s__Simkania_negevensis	0.291342329595018	0.307245012062102	0.356292658384993	0.695562213492824
s__Humisphaera_borealis	0.131092823106526	0.223667294227078	0.565505432242523	0.806059753052648
s__Candidatus_Kuenenia_stuttgartiensis	-0.0101589449981908	0.194077489791146	0.958864143241846	0.9939722482811
s__Paludisphaera_borealis	0.342101565972045	0.22643751083477	0.149204002371555	0.531419193364985
s__Isosphaera_pallida	0.297193170156463	0.145228032176617	0.0565048689770333	0.404811001626507
s__Aquisphaera_giovannonii	-0.144634897354391	0.246822651702745	0.565583730688242	0.806059753052648
s__Crateriforma_conspicua	-0.144784036861975	0.155608627636422	0.365170162083733	0.695562213492824
s__Gimesia_alba	-0.320400014795444	0.570315940970451	0.581588296852002	0.81327476743184
s__Pirellulimonas_nuda	0.180013522575375	0.143348559654956	0.226183488385337	0.582873087475196
s__Botrimarina_mediterranea	-0.147064987496643	0.373989827647154	0.699035399663389	0.896284264324237
s__Stieleria_neptunia	0.166970493528769	0.109852477436785	0.146903176630458	0.530176878064811
s__Rubripirellula_lacrimiformis	0.166970493528769	0.109852477436785	0.146903176630458	0.530176878064811
s__Pirellula_sp._SH-Sr6A	0.117780356644885	0.222042103983522	0.602666667640801	0.826514287050241
s__Lignipirellula_cremea	-0.103104897705589	0.393248135585784	0.796327202996934	0.932204065302914
s__Aureliella_helgolandensis	0.197391820752944	0.1386438074454	0.172619313773222	0.55238180407431
s__Roseimaritima_ulvae	-0.414011569561835	0.185239748707886	0.0391276612992621	0.341477771339014
s__Tuwongella_immobilis	0.297193170156463	0.145228032176617	0.0565048689770333	0.404811001626507
s__Limnoglobus_roseus	0.000402730745157635	0.357785462986268	0.999114988236009	0.999820906912696
s__Gemmata_massiliana	-0.0506715167284267	0.429612470638079	0.907492020045904	0.974374660715857
s__Urbifossiella_limnaea	0.125623731429605	0.348758486460188	0.723131872270202	0.909102924504193
s__Ereboglobus_luteus	-0.179165024298638	0.180545893711798	0.334941604132151	0.691492344014764
s__Luteolibacter_sp._32A	-0.0540679488126388	0.160404965804366	0.74018868553435	0.91459902988076
s__Verrucomicrobium_spinosum	0.0363347043225829	0.223231961313097	0.872621358528577	0.957390290499924
s__Roseimicrobium_sp._ORNL1	-0.70115566482778	0.256389349977426	0.0141122979773834	0.254626210999971
