Representative_ASV	Beta	SE	P	FDR_BH
s__Giardia_intestinalis	0.0383416613727165	0.313524579336389	0.9041015243904	0.999364673971431
s__Spironucleus_salmonicida	-0.644601544269647	0.473762425200378	0.191407678770666	0.836920126953706
s__Trichomonas_vaginalis	-0.468876549940585	0.196582705262691	0.0289841321311609	0.800684374673322
s__Entamoeba_nuttalli	0.0424928782772351	0.249057941574494	0.866541088787281	0.999364673971431
s__Entamoeba_dispar	-0.103104291297545	0.60602817029294	0.866915245681432	0.999364673971431
s__Entamoeba_invadens	0.0803478992269782	0.528713326991278	0.881000551609434	0.999364673971431
s__Entamoeba_moshkovskii	-0.161367775309133	0.235911109476965	0.503181326527992	0.999364673971431
s__Entamoeba_histolytica	0.993407735603929	0.703228148204447	0.175807874202592	0.836920126953706
s__Acanthamoeba_culbertsoni	-0.468254181823642	0.332393716618252	0.176941767207764	0.836920126953706
s__Acanthamoeba_quina	-0.0701174497013297	0.371743234616421	0.852625612534115	0.999364673971431
s__Acanthamoeba_lugdunensis	-0.0700626811841015	0.323847367753205	0.831293800242988	0.999364673971431
s__Acanthamoeba_rhysodes	-0.24545392037761	0.319353775595254	0.452679395832276	0.999364673971431
s__Acanthamoeba_astronyxis	-0.0465619676721018	0.251283234252472	0.855189058478553	0.999364673971431
s__Acanthamoeba_triangularis	-0.0382943773840989	0.307837096606725	0.902459108199874	0.999364673971431
s__Acanthamoeba_sp._ATCC_50496	0.0184028398883365	0.278576464299806	0.948100503390968	0.999364673971431
s__Acanthamoeba_castellanii	-0.187883518141125	0.232932884872735	0.431037576721724	0.999364673971431
s__Acanthamoeba_palestinensis	-0.185297906469306	0.295541161898549	0.539003312600632	0.999364673971431
s__Acanthamoeba_lenticulata	-0.11149573151926	0.365168774832487	0.763824254324621	0.999364673971431
s__Acanthamoeba_mauritaniensis	-0.197723886575961	0.215142761968674	0.370933637607868	0.986800633694251
s__Naegleria_fowleri	-0.352944493278616	0.361461724742004	0.342539305312543	0.980729901287285
s__Trypanosoma_cruzi	0.00915168709358655	0.28431674333387	0.97469674606895	0.999364673971431
s__Endotrypanum_monterogeii	-0.0605099312033944	0.355920898177464	0.867009473721584	0.999364673971431
s__Leptomonas_seymouri	-0.0208520280751676	0.330527010404398	0.95043290453225	0.999364673971431
s__Leishmania_major	-0.0378934672032019	0.327508766282089	0.909244345991903	0.999364673971431
s__Albugo_laibachii	-0.894408884959555	0.471452802654905	0.0749309169392148	0.800684374673322
s__Albugo_candida	-0.49779904910136	0.44754615324342	0.281497868927033	0.914402074083406
s__Saprolegnia_diclina	0.539972617278128	0.528680527501924	0.321400072393242	0.956708929667456
s__Saprolegnia_parasitica	-0.0501167427871019	0.415624390607205	0.90543597719376	0.999364673971431
s__Aphanomyces_invadans	0.456418806941751	0.441413237601991	0.315624883122562	0.951205672994548
s__Aphanomyces_astaci	0.505002081156586	0.356314968021837	0.174465080449539	0.836920126953706
s__Hyaloperonospora_arabidopsidis	-0.267957431440746	0.340655917954761	0.442348263591175	0.999364673971431
s__Phytophthora_ramorum	0.172071570792859	0.401887398075047	0.673910840711544	0.999364673971431
s__Phytophthora_capsici	-0.442771378443017	0.430541288454539	0.318169774523825	0.952092844271293
s__Phytophthora_sojae	0.875017375903457	0.482479848305947	0.0874343652133908	0.800684374673322
s__Phytophthora_cinnamomi	-0.0689814387826676	0.483354504020994	0.888193932251449	0.999364673971431
s__Phytophthora_infestans	-0.0114700958157628	0.447689956137033	0.979858285502653	0.999364673971431
s__Phytophthora_parasitica	-0.0539528522051174	0.368267364082317	0.885246389721299	0.999364673971431
s__Phytopythium_vexans	0.605099251363718	0.444393799888669	0.191089188724757	0.836920126953706
s__Pythium_aphanidermatum	0.550003654164439	0.45482036006795	0.243106393785313	0.884159253705353
s__Pythium_arrhenomanes	0.0628516424056392	0.334978017498703	0.853388636324335	0.999364673971431
s__Globisporangium_iwayamae	-0.0144408548525576	0.342634939648211	0.966872994113933	0.999364673971431
s__Globisporangium_ultimum	-0.0600915038219146	0.278284406496669	0.831607669609557	0.999364673971431
s__Globisporangium_irregulare	0.0733786213842574	0.353329752946077	0.837948357135115	0.999364673971431
s__Babesia_microti	-0.374531338856798	0.339468744535611	0.285276213350453	0.91879151002789
s__Cytauxzoon_felis	-0.190811471257874	0.405011172497568	0.643539606317127	0.999364673971431
s__Theileria_annulata	-0.187434302883166	0.56633537344008	0.744719184144848	0.999364673971431
s__Plasmodium_coatneyi	-0.105334005912348	0.240712482941848	0.667190326605265	0.999364673971431
s__Gregarina_niphandrodes	0.514942660905405	0.240336999595018	0.0469138512090952	0.800684374673322
s__Cryptosporidium_baileyi	-0.574075063989621	0.522930576027779	0.28759667625898	0.921244637772667
s__Cyclospora_cayetanensis	-0.0254538187592215	0.265603455691937	0.924773134215778	0.999364673971431
s__Eimeria_falciformis	-0.0676886586803222	0.277710957419558	0.810350958528887	0.999364673971431
s__Neospora_caninum	-0.132290052633543	0.277574904573499	0.639720836294462	0.999364673971431
s__Hammondia_hammondi	-0.0645389130142765	0.28742661489567	0.825013412933837	0.999364673971431
s__Toxoplasma_gondii	-0.00688793726207198	0.323106133511824	0.983240301616772	0.999364673971431
s__Sarcocystis_neurona	-0.0770005056100974	0.238576276632086	0.750820239176905	0.999364673971431
s__Vitrella_brassicaformis	-0.088695583265734	0.266452025631186	0.743297481088023	0.999364673971431
s__Chromera_velia	-0.0485711916195597	0.339645302818243	0.887967074562314	0.999364673971431
s__Allomyces_macrogynus	0.429390925909602	0.454087248896893	0.357593532179102	0.986800633694251
s__Trachipleistophora_hominis	-0.10142568743858	0.24822903412891	0.687936171779461	0.999364673971431
s__Vavraia_culicis	-0.0590254730319886	0.214136447645031	0.786143896491647	0.999364673971431
s__Spraguea_lophii	-0.144876125848325	0.246291342716949	0.564111302898768	0.999364673971431
s__Encephalitozoon_intestinalis	0.362559375538256	0.215394890608558	0.110603002738631	0.800684374673322
s__Encephalitozoon_romaleae	0.629078404770309	0.344847729666549	0.0857464104211165	0.800684374673322
s__Nosema_ceranae	0.0494274167650208	0.240951569857899	0.839903398473324	0.999364673971431
s__Nosema_bombycis	-0.306586389399684	0.419276051287973	0.474599171225626	0.999364673971431
s__Hamiltosporidium_tvaerminnensis	-0.227084957020126	0.411644126763179	0.588364511710423	0.999364673971431
s__Anncaliia_algerae	-0.557534726273937	0.58494271071928	0.353874086435623	0.986800633694251
s__Mitosporidium_daphniae	0.440555993423514	0.503408193540126	0.393691036437117	0.990091074614196
s__Nematocida_sp._1	0.204049421253123	0.437086457468192	0.646541619175862	0.999364673971431
s__Edhazardia_aedis	-0.408181246052418	0.511875182222229	0.436202310535424	0.999364673971431
s__Mucor_lusitanicus	-0.149179671453106	0.245787687533718	0.55190803110938	0.999364673971431
s__Rhizopus_delemar	-0.395577136945561	0.126410254324986	0.00610830698010531	0.800684374673322
s__Phycomyces_blakesleeanus	-0.171761419175346	0.21379840143443	0.432845039184276	0.999364673971431
s__Spizellomyces_punctatus	0.623447078620076	0.436089044253286	0.170943131102261	0.836920126953706
s__Batrachochytrium_dendrobatidis	0.122484573967866	0.268225948316928	0.653705359791502	0.999364673971431
s__Melampsora_larici-populina	-0.17064553920845	0.224363987428856	0.457331399644297	0.999364673971431
s__Puccinia_graminis	-0.248989216175949	0.262205993647478	0.355624189734834	0.986800633694251
s__Coprinopsis_cinerea	-0.210390876465546	0.49451565348793	0.675846879225204	0.999364673971431
s__Phanerodontia_chrysosporium	0.158906916963461	0.314442169202725	0.619794073745622	0.999364673971431
s__Tremella_mesenterica	-0.194526203251587	0.314624154469792	0.544585447686206	0.999364673971431
s__Cryptococcus_neoformans	-0.225210973820338	0.221748224739616	0.324049875100984	0.957061363640652
s__Malassezia_restricta	-0.441431901424306	0.84112402663758	0.606490934766664	0.999364673971431
s__Ustilago_maydis	-0.0232067065921701	0.254365569694436	0.928373327075243	0.999364673971431
s__Sporisorium_graminicola	-0.00997081802427757	0.257042863948732	0.969509329180591	0.999364673971431
s__Pneumocystis_jirovecii	-0.677877945860234	0.601095644566294	0.275096601751201	0.914402074083406
s__Schizosaccharomyces_pombe	-0.430360020879163	0.210603486157515	0.0568230216926897	0.800684374673322
s__Komagataella_phaffii	0.105301868341919	0.385525719959247	0.788037276559213	0.999364673971431
s__Yarrowia_lipolytica	-0.0248558921825726	0.29124681413778	0.932985717291586	0.999364673971431
s__Sugiyamaella_lignohabitans	-0.0336955797283299	0.273416343203832	0.903363083321828	0.999364673971431
s__Ogataea_parapolymorpha	0.131570003670227	0.293780929779888	0.659915617014306	0.999364673971431
s__Brettanomyces_bruxellensis	-0.156692746068873	0.206434522669058	0.458222785675885	0.999364673971431
s__Pichia_kudriavzevii	-0.103319613252037	0.344877806214082	0.768126979211326	0.999364673971431
s__Scheffersomyces_stipitis	-0.107679618625486	0.265743953325612	0.690383618989801	0.999364673971431
s__Debaryomyces_hansenii	1.04591622512771	0.707971378310476	0.157870273172165	0.836920126953706
s__Candida_dubliniensis	-0.0680368219687344	0.309940224167046	0.828862300737831	0.999364673971431
s__Lachancea_thermotolerans	-0.239083948040224	0.454974140705323	0.606030288843949	0.999364673971431
s__Zygotorulaspora_mrakii	0.614736203383576	0.383936087623673	0.127763102547489	0.800684374673322
s__[Candida]_glabrata	0.0325073309508339	0.25340622092137	0.89943156002896	0.999364673971431
s__Zygosaccharomyces_rouxii	-0.172006454202629	0.225566963654221	0.456182043695104	0.999364673971431
s__Torulaspora_delbrueckii	-0.55104082515032	0.439124950842677	0.226507012820662	0.870561427370481
s__Eremothecium_cymbalariae	-0.0442726269330797	0.227025847732146	0.847695687549152	0.999364673971431
s__Kazachstania_naganishii	-0.213246558211724	0.217892578215736	0.341462362665965	0.980729901287285
s__Saccharomyces_cerevisiae	-0.105407415711644	0.227360223065293	0.648804940488591	0.999364673971431
s__Tetrapisispora_phaffii	-0.191380871194624	0.192899247171734	0.33504725849353	0.977841628492229
s__Kluyveromyces_marxianus	-0.150534980866724	0.270590830694298	0.585241532862673	0.999364673971431
s__Naumovozyma_castellii	-0.177661228813026	0.282122449726775	0.537243139481297	0.999364673971431
s__Cercospora_beticola	-0.0486054177258517	0.193314541885814	0.804494460323132	0.999364673971431
s__Zymoseptoria_tritici	-0.210425242749798	0.167555351993991	0.226155110508402	0.870561427370481
s__Sclerotinia_sclerotiorum	-0.0031448687497284	0.204649689670862	0.987918235042372	0.999364673971431
s__Botrytis_cinerea	-0.1339773171987	0.23934955489319	0.582947003442603	0.999364673971431
s__Pyricularia_grisea	-0.185230983720434	0.188934376264151	0.340636811953792	0.980729901287285
s__Sordaria_macrospora	0.618767733246677	0.354588868888545	0.0990283356191273	0.800684374673322
s__Neurospora_crassa	-0.114309612493235	0.238249612031817	0.637491999035209	0.999364673971431
s__Thermothelomyces_thermophilus	-0.0668887994476286	0.218409305951783	0.763129937429036	0.999364673971431
