Representative_ASV	Beta	SE	P	FDR_BH
s__Giardia_intestinalis	-0.0131349712171269	0.291986478570544	0.96464357328795	0.999738844542588
s__Spironucleus_salmonicida	0.518768763875747	0.447075306891928	0.261938580848289	0.999738844542588
s__Trichomonas_vaginalis	0.000738219879762839	0.211423482059962	0.997254707480454	0.999738844542588
s__Entamoeba_nuttalli	0.0402438619773405	0.231853389531568	0.864249841576967	0.999738844542588
s__Entamoeba_dispar	-0.391604351427062	0.556616489075808	0.491241122376544	0.999738844542588
s__Entamoeba_invadens	-0.0357134959762821	0.492463368795774	0.943034409587045	0.999738844542588
s__Entamoeba_moshkovskii	-0.00742997865702346	0.222615747333896	0.973763653035251	0.999738844542588
s__Entamoeba_histolytica	0.628356823395036	0.6750389202979	0.364964925847478	0.999738844542588
s__Acanthamoeba_culbertsoni	-0.281912566263647	0.319776877533727	0.390292562017732	0.999738844542588
s__Acanthamoeba_quina	-0.147192032464339	0.344591782931117	0.674631801906628	0.999738844542588
s__Acanthamoeba_lugdunensis	-0.141681336338749	0.29993824923023	0.642671021184461	0.999738844542588
s__Acanthamoeba_rhysodes	-0.0385679475012898	0.302278907463842	0.899970092798003	0.999738844542588
s__Acanthamoeba_astronyxis	-0.104125757881211	0.232802305429938	0.660325702029267	0.999738844542588
s__Acanthamoeba_triangularis	-0.0508898518347005	0.286445355734379	0.861089789021066	0.999738844542588
s__Acanthamoeba_sp._ATCC_50496	-0.0224033281890402	0.259316938869248	0.932162935631257	0.999738844542588
s__Acanthamoeba_castellanii	0.0284686515644507	0.220851329003041	0.898946277573277	0.999738844542588
s__Acanthamoeba_palestinensis	-0.126925090122258	0.276588894531845	0.652122843084673	0.999738844542588
s__Acanthamoeba_lenticulata	0.738081438998486	0.290098721911182	0.0209565946890009	0.999738844542588
s__Acanthamoeba_mauritaniensis	-0.148327251499918	0.202024198999088	0.472829632913491	0.999738844542588
s__Naegleria_fowleri	0.0974200979965499	0.345001899995762	0.781064651188848	0.999738844542588
s__Trypanosoma_cruzi	-0.127768918041542	0.262872321777591	0.633138098245439	0.999738844542588
s__Endotrypanum_monterogeii	-0.17692660324434	0.328837906799857	0.597526576334992	0.999738844542588
s__Leptomonas_seymouri	-0.114653665029303	0.306480985985545	0.712957065726131	0.999738844542588
s__Leishmania_major	-0.057103494618509	0.304699498296332	0.853558374547844	0.999738844542588
s__Albugo_laibachii	0.301652675484435	0.477558459289821	0.536013980467185	0.999738844542588
s__Albugo_candida	-0.436182105420288	0.418369331056115	0.31174481323641	0.999738844542588
s__Saprolegnia_diclina	0.0527448932312041	0.506889284176087	0.918342644417415	0.999738844542588
s__Saprolegnia_parasitica	-0.883032821925507	0.32244647285095	0.0140001375884318	0.999738844542588
s__Aphanomyces_invadans	0.102334523863782	0.42293066308221	0.811701847314071	0.999738844542588
s__Aphanomyces_astaci	-0.428070385142312	0.335044201231156	0.218544308856957	0.999738844542588
s__Hyaloperonospora_arabidopsidis	-0.288830105920719	0.315161579382134	0.372248822871896	0.999738844542588
s__Phytophthora_ramorum	0.663950440438152	0.339936202563991	0.0674624603357241	0.999738844542588
s__Phytophthora_capsici	-0.375249817880961	0.402941440129407	0.364748343611473	0.999738844542588
s__Phytophthora_sojae	0.602228891923682	0.468452644437098	0.215830269318892	0.999738844542588
