Representative_ASV	Beta	SE	P	FDR_BH
s__Giardia_intestinalis	-0.251419125708676	0.285565971882589	0.39090676118002	0.92968167347039
s__Spironucleus_salmonicida	-0.043592848653435	0.464322295804018	0.9262982589423	0.957904236281539
s__Trichomonas_vaginalis	-0.427703658434726	0.184226241114535	0.032932266787333	0.671664526433139
s__Entamoeba_nuttalli	0.16056246871365	0.228767948714173	0.492266157622191	0.936007270326305
s__Entamoeba_dispar	-0.00750318506109743	0.564658680909976	0.989552721727183	0.992912832836613
s__Entamoeba_invadens	0.299242369788276	0.487162996108437	0.547180103129248	0.936007270326305
s__Entamoeba_moshkovskii	-0.392380951793413	0.201257005663966	0.0679100993650728	0.688618683023489
s__Entamoeba_histolytica	1.93694260007434	0.508145643093451	0.00139469894523688	0.486671534505446
s__Acanthamoeba_culbertsoni	-0.604495304664709	0.292296525058777	0.0541975605696326	0.671664526433139
s__Acanthamoeba_quina	-0.467206924970006	0.327380209826527	0.171658812055481	0.824799657925117
s__Acanthamoeba_lugdunensis	-0.453003097465968	0.281198276470013	0.125595200156952	0.811221456751461
s__Acanthamoeba_rhysodes	-0.558452633972188	0.270397451088977	0.0544889707087006	0.671664526433139
s__Acanthamoeba_astronyxis	-0.422430130132732	0.210565413427163	0.0610180787157422	0.688392326598805
s__Acanthamoeba_triangularis	-0.40249007261278	0.269581105272435	0.153758739339838	0.818401451560664
s__Acanthamoeba_sp._ATCC_50496	-0.40133065521833	0.240416952230025	0.113365542868284	0.792297776863196
s__Acanthamoeba_castellanii	-0.45347744569129	0.191641351956041	0.0301073284403135	0.671664526433139
s__Acanthamoeba_palestinensis	-0.599762646508332	0.23725375199262	0.021670577354492	0.671664526433139
s__Acanthamoeba_lenticulata	-0.599583760372549	0.308310108267454	0.0685404416913916	0.688618683023489
s__Acanthamoeba_mauritaniensis	-0.319789916562555	0.189979811850571	0.110592676063212	0.792297776863196
s__Naegleria_fowleri	-0.600416877716657	0.313653755846108	0.0725724495407304	0.688618683023489
s__Trypanosoma_cruzi	-0.400636774697325	0.246212085721691	0.122085342871427	0.810701546483295
s__Endotrypanum_monterogeii	-0.513273630608509	0.30737383592414	0.113253935023958	0.792297776863196
s__Leptomonas_seymouri	-0.536761092467652	0.278847745048736	0.0711388065327364	0.688618683023489
s__Leishmania_major	-0.486436345633448	0.281273451121548	0.101850312066645	0.766796616960349
s__Albugo_laibachii	-0.536825993218556	0.465255627667667	0.264534032875051	0.85749780267052
s__Albugo_candida	-0.413166186011247	0.419741361799326	0.338753729657109	0.87808532555856
s__Saprolegnia_diclina	-0.908965733755921	0.45661722981797	0.0628448506215817	0.688392326598805
s__Saprolegnia_parasitica	0.145063672213425	0.385488450206167	0.711340718264042	0.936007270326305
s__Aphanomyces_invadans	-0.0877643594432323	0.423123236822368	0.838145965662287	0.936007270326305
s__Aphanomyces_astaci	-0.195950851574412	0.347527062309732	0.580223550641564	0.936007270326305
s__Hyaloperonospora_arabidopsidis	-0.72105137089396	0.271386820699013	0.0166003261544523	0.670446991353771
s__Phytophthora_ramorum	-0.0540436578714836	0.375920207524818	0.887377543464933	0.942390167453325
s__Phytophthora_capsici	-0.520456908468823	0.393333244672436	0.203292284138531	0.841900103784294
s__Phytophthora_sojae	0.221247243593134	0.487752544349618	0.655849753220686	0.936007270326305
s__Phytophthora_cinnamomi	0.489172071165968	0.43433563599244	0.275706498823152	0.85749780267052
s__Phytophthora_infestans	0.177265540505714	0.414561312388919	0.674311226386308	0.936007270326305
s__Phytophthora_parasitica	-0.398367633347952	0.329167687368645	0.24275104358497	0.85749780267052
s__Phytopythium_vexans	-0.362126518079696	0.426739691231412	0.407900751172675	0.936007270326305
s__Pythium_aphanidermatum	0.597853437982602	0.41674521298947	0.16954822266253	0.821336062242255
s__Pythium_arrhenomanes	-0.507557408363944	0.286873659371058	0.0947835657071092	0.743097372742185
s__Globisporangium_iwayamae	-0.411751646904881	0.30295753167465	0.191871458483035	0.83663620207898
s__Globisporangium_ultimum	-0.451061336735191	0.235228937471182	0.0721291844624806	0.688618683023489
s__Globisporangium_irregulare	-0.205013231437883	0.325574028057143	0.537264332362987	0.936007270326305
s__Babesia_microti	0.0657914034058352	0.326757426847199	0.842817283312695	0.936007270326305
s__Cytauxzoon_felis	0.044456364374656	0.379345136035937	0.908081027120571	0.955545457063535
s__Theileria_annulata	0.11434025157515	0.528197851882594	0.831195906115175	0.936007270326305
s__Plasmodium_coatneyi	-0.129796794480285	0.223140003055236	0.568413977509165	0.936007270326305
s__Gregarina_niphandrodes	-0.0995555097688819	0.250989116201124	0.696558562505046	0.936007270326305
s__Cryptosporidium_baileyi	0.351143449766844	0.496531673048183	0.489028653092675	0.936007270326305
s__Cyclospora_cayetanensis	-0.32628556380953	0.234328216829119	0.181739237327567	0.831725647253295
s__Eimeria_falciformis	-0.495178553276252	0.229456321459978	0.0455188485199229	0.671664526433139
s__Neospora_caninum	-0.553221024992248	0.222853824661178	0.0237867519640986	0.671664526433139
s__Hammondia_hammondi	-0.411782654994211	0.248670040695189	0.116074670738491	0.797675934958696
s__Toxoplasma_gondii	-0.456976638228011	0.279636078599565	0.12060124343486	0.810701546483295
s__Sarcocystis_neurona	-0.382483275057454	0.202549394278742	0.0761668726730798	0.699291351325787
s__Vitrella_brassicaformis	-0.466098258056077	0.221703057951193	0.050728157003021	0.671664526433139
s__Chromera_velia	-0.511849583299992	0.291010026518254	0.0965845103484177	0.74593286673444
s__Allomyces_macrogynus	-0.306477669030505	0.4272901970859	0.482954226206663	0.936007270326305
s__Trachipleistophora_hominis	-0.22509243876965	0.225712254083339	0.332625313678397	0.877596251713985
s__Vavraia_culicis	-0.152514567649503	0.196341120804684	0.447960773552382	0.936007270326305
s__Spraguea_lophii	-0.0562939744997117	0.231203637051276	0.810545705453131	0.936007270326305
s__Encephalitozoon_intestinalis	0.090262832876052	0.215478638605143	0.680538077269111	0.936007270326305
s__Encephalitozoon_romaleae	-0.191298468512158	0.347974526742452	0.58964201080038	0.936007270326305
s__Nosema_ceranae	-0.328504141952392	0.209983920742224	0.136141153347895	0.818401451560664
s__Nosema_bombycis	-0.292592021529846	0.39001210843841	0.463384139506885	0.936007270326305
s__Hamiltosporidium_tvaerminnensis	0.185226066955789	0.384015901022694	0.635716601267027	0.936007270326305
s__Anncaliia_algerae	-0.145588054189502	0.557796641685196	0.797223749301504	0.936007270326305
s__Mitosporidium_daphniae	0.294709058882811	0.473725911501331	0.542124905144716	0.936007270326305
s__Nematocida_sp._1	0.522113587136244	0.38943438850218	0.197660507581194	0.841885035270386
s__Edhazardia_aedis	-0.283897385524992	0.480451462049246	0.562363966173839	0.936007270326305
s__Mucor_lusitanicus	-0.47150401168602	0.201031943361406	0.031397608681667	0.671664526433139
s__Rhizopus_delemar	-0.289461052646192	0.129991283141348	0.0397694178704645	0.671664526433139
s__Phycomyces_blakesleeanus	-0.353486878828989	0.183763353584052	0.0713159061007228	0.688618683023489
s__Spizellomyces_punctatus	0.020828021102557	0.429659198870566	0.961902113654825	0.975924834524138
