Representative_ASV	Beta	SE	P	FDR_BH
s__Giardia_intestinalis	0.158789246476714	0.268421792001512	0.561925992025513	0.827143863728713
s__Spironucleus_salmonicida	-0.692113734532292	0.465669549959823	0.155516315283472	0.585981350326703
s__Trichomonas_vaginalis	-0.506796195206079	0.18440558279114	0.0137176728172416	0.584742774533337
s__Entamoeba_nuttalli	0.115376275329027	0.22859113436589	0.620229784234827	0.870678865754828
s__Entamoeba_dispar	0.26281350364759	0.366710764724664	0.483303560540468	0.77431947562195
s__Entamoeba_invadens	0.365911612214983	0.363808998539809	0.328623978449769	0.710309624780482
s__Entamoeba_moshkovskii	-0.290610528835238	0.153640627794684	0.0757218239988796	0.584742774533337
s__Entamoeba_histolytica	1.23093585731893	0.605646175341251	0.058035498133503	0.584742774533337
s__Acanthamoeba_culbertsoni	-0.527364213005978	0.3178659277802	0.115434031551078	0.585981350326703
s__Acanthamoeba_quina	-0.315047085746476	0.172868397368873	0.0860225888782695	0.584742774533337
s__Acanthamoeba_lugdunensis	-0.265696076123937	0.188294567626152	0.176263896039359	0.593908901217133
s__Acanthamoeba_rhysodes	-0.424420911431671	0.200176519155187	0.0489993576150309	0.584742774533337
s__Acanthamoeba_astronyxis	-0.200232724349585	0.14304467655854	0.179560113182875	0.593908901217133
s__Acanthamoeba_triangularis	-0.234648709596556	0.159901932592237	0.16050997262251	0.585981350326703
s__Acanthamoeba_sp._ATCC_50496	-0.162401263390915	0.141693638042235	0.26761348216074	0.689607455695625
s__Acanthamoeba_castellanii	-0.306052652416083	0.164027136025527	0.0794113124394114	0.584742774533337
s__Acanthamoeba_palestinensis	-0.356339385191131	0.178276772719386	0.0618797676135796	0.584742774533337
s__Acanthamoeba_lenticulata	-0.266530166407136	0.297874239482923	0.383401827469838	0.712396937311542
s__Acanthamoeba_mauritaniensis	-0.294326802351697	0.165846132383672	0.0938554701422652	0.584742774533337
s__Naegleria_fowleri	-0.443677147242744	0.335113705720894	0.203043742793408	0.633239324490259
s__Trypanosoma_cruzi	-0.169299220094136	0.156865487050898	0.295545590650277	0.704304209977071
s__Endotrypanum_monterogeii	-0.289135629916296	0.180118055850551	0.12685210656149	0.585981350326703
s__Leptomonas_seymouri	-0.226039770249387	0.184796882118867	0.237947534880877	0.670988908234539
s__Leishmania_major	-0.252563102885323	0.157024383540014	0.126152592484213	0.585981350326703
s__Albugo_laibachii	-0.902776151232916	0.47038628787477	0.0719026206666419	0.584742774533337
s__Albugo_candida	-0.678433367048656	0.363191828180068	0.0791017533444585	0.584742774533337
s__Saprolegnia_diclina	0.378462949428817	0.493503851218231	0.453666431280462	0.75313724968189
s__Saprolegnia_parasitica	-0.0209435950246952	0.414014179937448	0.960244521698294	0.980993106868957
s__Aphanomyces_invadans	0.34131623692515	0.421370178322542	0.429124892428089	0.741557928143276
s__Aphanomyces_astaci	0.386488363820687	0.330327369809771	0.258136688700814	0.679786461180285
s__Hyaloperonospora_arabidopsidis	-0.392489893976973	0.290935600412721	0.195013361103529	0.622988629255057
s__Phytophthora_ramorum	0.145332144844468	0.400983764953485	0.72149056606368	0.92194794495921
s__Phytophthora_capsici	-0.588839735234832	0.374105174049778	0.133914065613206	0.585981350326703
s__Phytophthora_sojae	0.945375338817862	0.465589156855159	0.0582513682850065	0.584742774533337
s__Phytophthora_cinnamomi	-0.0910842666721013	0.482272363706513	0.852435167479797	0.957762340925383
s__Phytophthora_infestans	-0.0900206005189983	0.435187532728695	0.838580684719151	0.957762340925383
s__Phytophthora_parasitica	-0.290950931764481	0.186010462654666	0.136202299951827	0.585981350326703
s__Phytopythium_vexans	0.458279721854019	0.412001875349971	0.281481589102798	0.698973189746863
s__Pythium_aphanidermatum	0.542336679533609	0.455251043741851	0.249906622828408	0.678115316533047
s__Pythium_arrhenomanes	-0.123629607743718	0.227981578552477	0.594664261215082	0.852630352726005
s__Globisporangium_iwayamae	-0.210721606590338	0.220920782575789	0.353535042465771	0.710309624780482
s__Globisporangium_ultimum	-0.218418427351991	0.178631867294811	0.238113263570514	0.670988908234539
s__Globisporangium_irregulare	-0.139647532519219	0.215123191778368	0.524914470068668	0.806825622394233
s__Babesia_microti	-0.174253561836573	0.230208998536515	0.459451062363454	0.755314542021701
s__Cytauxzoon_felis	0.100666818013088	0.141594014741571	0.486753612679615	0.777425769532326
s__Theileria_annulata	0.199354542948863	0.253375079183526	0.442232260811081	0.748883555047653
s__Plasmodium_coatneyi	-0.169301295377066	0.223383235391385	0.458891290558438	0.755314542021701
s__Gregarina_niphandrodes	0.439529834546898	0.2285919981616	0.0714266514402372	0.584742774533337
s__Cryptosporidium_baileyi	-0.170638977329732	0.111041120545751	0.142765153997733	0.585981350326703
s__Cyclospora_cayetanensis	-0.161291631807524	0.193509624528646	0.416116816853942	0.741166083144811
s__Eimeria_falciformis	-0.23710241999562	0.157869605702929	0.151472787097576	0.585981350326703
s__Neospora_caninum	-0.229679409036738	0.242337516121142	0.356527276808827	0.710309624780482
s__Hammondia_hammondi	-0.21693394137671	0.200771150632928	0.295009035356197	0.704304209977071
s__Toxoplasma_gondii	-0.208674144997575	0.179142177914922	0.260164914648361	0.680342763527351
s__Sarcocystis_neurona	-0.16833917965209	0.20324816709602	0.419008571558948	0.741166083144811
s__Vitrella_brassicaformis	-0.252129028774235	0.148211286298164	0.10713309196007	0.584742774533337
s__Chromera_velia	-0.266535662487637	0.173030414378094	0.141870347786169	0.585981350326703
s__Allomyces_macrogynus	0.446077721641673	0.45261343703837	0.338169302198757	0.710309624780482
s__Trachipleistophora_hominis	-0.0900824781655006	0.248042406363521	0.720951634690911	0.92194794495921
s__Vavraia_culicis	-0.0580959520643828	0.214147944523543	0.789435620928596	0.946361971539148
s__Spraguea_lophii	-0.118235195321391	0.244654878046141	0.635067081733931	0.876256473551616
s__Encephalitozoon_intestinalis	0.232723947262911	0.148545968964575	0.135613721628834	0.585981350326703
s__Encephalitozoon_romaleae	0.59442834407784	0.345481045413638	0.103475280386642	0.584742774533337
s__Nosema_ceranae	0.107439179481532	0.22750315808858	0.642751273506426	0.876256473551616
s__Nosema_bombycis	-0.16168251637949	0.379232072686746	0.675208355492291	0.894726767031264
s__Hamiltosporidium_tvaerminnensis	0.0798653327604017	0.103529489366053	0.45104488636741	0.752534345356131
s__Anncaliia_algerae	-0.257839318499444	0.450200514970386	0.574331070513919	0.83397951516886
