Representative_ASV	Beta	SE	P	FDR_BH
s__Giardia_intestinalis	0.0286201916189254	0.25235053975272	0.911030601810873	0.993584697414653
s__Spironucleus_salmonicida	0.502297871251363	0.444425903680307	0.274079321898674	0.825171287913336
s__Trichomonas_vaginalis	-0.0124072571456084	0.20629162183376	0.952742135316955	0.993584697414653
s__Entamoeba_nuttalli	0.0655101062886285	0.213805772923092	0.763020893028261	0.993584697414653
s__Entamoeba_dispar	-0.264752849179415	0.340506431370076	0.447534050048633	0.882426704715709
s__Entamoeba_invadens	0.0632819245262263	0.348281001003612	0.857968692833238	0.993584697414653
s__Entamoeba_moshkovskii	-0.0522341332127395	0.156853684256609	0.743197024766352	0.993584697414653
s__Entamoeba_histolytica	0.710699905589571	0.604511261967694	0.255933592608173	0.825171287913336
s__Acanthamoeba_culbertsoni	-0.30240404374019	0.310428605688938	0.34364073012781	0.862309756585784
s__Acanthamoeba_quina	-0.232100972959989	0.166703887260909	0.181779329256461	0.756629800672322
s__Acanthamoeba_lugdunensis	-0.209500913251225	0.178170312233305	0.255861219158535	0.825171287913336
s__Acanthamoeba_rhysodes	-0.100609837733364	0.208124270178458	0.634970479404813	0.982895254106792
s__Acanthamoeba_astronyxis	-0.157398286862739	0.135352130846131	0.260942641906005	0.825171287913336
s__Acanthamoeba_triangularis	-0.118959353668352	0.155351304617849	0.454329830490168	0.889102416621488
s__Acanthamoeba_sp._ATCC_50496	-0.0850820839925144	0.135347280841287	0.537952790188786	0.914494475292883
s__Acanthamoeba_castellanii	-0.0124966483175348	0.167581734747253	0.941426935862582	0.993584697414653
s__Acanthamoeba_palestinensis	-0.186219469412491	0.178825161459828	0.312297569697607	0.842199102820033
s__Acanthamoeba_lenticulata	0.684336168237356	0.230156649471807	0.00852524644311266	0.74832266724522
s__Acanthamoeba_mauritaniensis	-0.181816262302173	0.162201784575832	0.277904681742518	0.829116831152026
s__Naegleria_fowleri	0.0659661112889857	0.32727234978808	0.842650262787794	0.993584697414653
s__Trypanosoma_cruzi	-0.189631899199952	0.14377683805707	0.204683407477154	0.760804363641497
s__Endotrypanum_monterogeii	-0.25618351213148	0.168873291490458	0.147637930663529	0.756629800672322
s__Leptomonas_seymouri	-0.185785415649699	0.173697997653512	0.299756847747994	0.840498701283591
s__Leishmania_major	-0.131522301654978	0.153634338449926	0.403862641383885	0.865793903037272
s__Albugo_laibachii	0.298752023176337	0.47755689931037	0.539896050669347	0.914494475292883
s__Albugo_candida	-0.498802002308684	0.350927161146661	0.173290802276785	0.756629800672322
s__Saprolegnia_diclina	-0.00324512495655699	0.467305853567865	0.994540114270646	0.999747160576207
s__Saprolegnia_parasitica	-0.87291946403454	0.322106955727919	0.0148604896733287	0.74832266724522
s__Aphanomyces_invadans	0.0624322995913604	0.399485777227768	0.877651901041469	0.993584697414653
s__Aphanomyces_astaci	-0.469155140485423	0.298722298591842	0.134714713482216	0.74832266724522
s__Hyaloperonospora_arabidopsidis	-0.332001359599945	0.273363030122011	0.241155575283098	0.82094625765653
s__Phytophthora_ramorum	0.654680772776043	0.339432158070277	0.0706301888002636	0.74832266724522
s__Phytophthora_capsici	-0.425886848235457	0.358191587924234	0.25078648923526	0.825171287913336
s__Phytophthora_sojae	0.626619652400675	0.458623931519387	0.189645554165578	0.756629800672322
s__Phytophthora_cinnamomi	0.0510868142369163	0.449271088852775	0.910799443951741	0.993584697414653
s__Phytophthora_infestans	-0.75051848385466	0.362512842134168	0.0539650265102842	0.74832266724522
s__Phytophthora_parasitica	-0.286209354572619	0.171707926219857	0.113862399591631	0.74832266724522
s__Phytopythium_vexans	0.0155588853262531	0.397247383144348	0.969213740326381	0.993584697414653
s__Pythium_aphanidermatum	0.351818635382169	0.432820476362884	0.42754095622136	0.87649411742088
s__Pythium_arrhenomanes	-0.207752008818719	0.208052499186433	0.332012147016832	0.857721310892845
s__Globisporangium_iwayamae	0.0252619939810626	0.211008767466072	0.906108325705952	0.993584697414653
s__Globisporangium_ultimum	-0.107335791674586	0.171490997495356	0.539695310659982	0.914494475292883
s__Globisporangium_irregulare	-0.250035983118913	0.193453485408232	0.213481155731428	0.780731743596981
s__Babesia_microti	-0.228628993345175	0.210720743976226	0.293075346561333	0.829116831152026
s__Cytauxzoon_felis	0.247620579038474	0.119521913769488	0.0538159459588991	0.74832266724522
s__Theileria_annulata	-0.200222911014178	0.235174316024032	0.406391351609545	0.865793903037272
s__Plasmodium_coatneyi	-0.309350467834036	0.19768332599003	0.136034873033118	0.749108381684065
s__Gregarina_niphandrodes	-0.200028662480845	0.229743700782253	0.39606840355761	0.865793903037272
s__Cryptosporidium_baileyi	0.0299153675187733	0.110081333198639	0.789081646286904	0.993584697414653
s__Cyclospora_cayetanensis	-0.115898162624922	0.181629546944369	0.531909601846789	0.914494475292883
s__Eimeria_falciformis	-0.175325845750984	0.150524345070459	0.260198298754543	0.825171287913336
s__Neospora_caninum	-0.181648954377461	0.227256530464054	0.435135929069455	0.879613965797784
s__Hammondia_hammondi	-0.263609791722259	0.182334896129246	0.166432491722005	0.756629800672322
s__Toxoplasma_gondii	-0.225670254710527	0.164429996142942	0.187764281937698	0.756629800672322
s__Sarcocystis_neurona	-0.186640504253346	0.187609779798829	0.333767527970911	0.857721310892845
s__Vitrella_brassicaformis	-0.0610748502377335	0.14852293575207	0.686052341014987	0.993584697414653
s__Chromera_velia	-0.149876470886136	0.168071260497131	0.384978697701401	0.865793903037272
s__Allomyces_macrogynus	-0.0265388782023178	0.433182779547109	0.951862796241727	0.993584697414653
s__Trachipleistophora_hominis	-0.0474072588445951	0.231523633468126	0.840189584783011	0.993584697414653
s__Vavraia_culicis	-0.0598966628957828	0.199263125636108	0.767371581623811	0.993584697414653
s__Spraguea_lophii	-0.166636487022728	0.225731026675359	0.470456900904922	0.89362135852378
s__Encephalitozoon_intestinalis	-0.0207968935013891	0.147849459519175	0.889789743024891	0.993584697414653
s__Encephalitozoon_romaleae	-0.334274037407661	0.338944899828001	0.337854995557823	0.859211802121167
s__Nosema_ceranae	0.143525856756045	0.210317360990551	0.50416360537595	0.901843447481355
s__Nosema_bombycis	-0.0577266967001632	0.354651995964201	0.872618730957351	0.993584697414653
s__Hamiltosporidium_tvaerminnensis	0.128663053234698	0.0929550576860308	0.18421777352006	0.756629800672322
s__Anncaliia_algerae	-0.0498470344916436	0.422965139687231	0.907566659504054	0.993584697414653
s__Mitosporidium_daphniae	-0.68815508131154	0.421917155237193	0.121271909951863	0.74832266724522
s__Nematocida_sp._1	0.339676492830987	0.341271435501193	0.333534693325997	0.857721310892845
s__Edhazardia_aedis	-0.514015085175748	0.393403291577285	0.208754364502546	0.769004531425821
s__Mucor_lusitanicus	-0.0764334318120184	0.150706749394725	0.61855353645318	0.977284574357132
s__Rhizopus_delemar	-0.0253787988051412	0.147607486424221	0.865519279497571	0.993584697414653
s__Phycomyces_blakesleeanus	-0.178490856617342	0.142401802346233	0.22701400942557	0.798729688800036
s__Spizellomyces_punctatus	-0.712811886047575	0.390001139941854	0.0851978670083657	0.74832266724522
s__Batrachochytrium_dendrobatidis	-0.206021005286998	0.242051973170365	0.406519433633154	0.865793903037272
s__Melampsora_larici-populina	-0.000813691777879007	0.158150192656054	0.995954751369686	0.999747160576207
s__Puccinia_graminis	-0.111322107206675	0.165186366600626	0.509423638591921	0.903933588076138
s__Coprinopsis_cinerea	-0.401894108211925	0.450518949964516	0.384809038929367	0.865793903037272
s__Phanerodontia_chrysosporium	-0.212204143474442	0.168151302882589	0.223994896706695	0.797475806949739
s__Tremella_mesenterica	-0.0671008211933471	0.232544554767002	0.77641424095162	0.993584697414653
s__Cryptococcus_neoformans	-0.0165294574675855	0.158820257940738	0.918326647893053	0.993584697414653
s__Malassezia_restricta	-0.196218171837647	0.58551930978586	0.741635626892083	0.993584697414653
s__Ustilago_maydis	-0.0211615934783022	0.121579173076905	0.863877296352522	0.993584697414653
s__Sporisorium_graminicola	-0.0135081378403655	0.131529839480743	0.919402672390549	0.993584697414653
s__Pneumocystis_jirovecii	-0.29585882972822	0.473091909145892	0.540031424496136	0.914494475292883
s__Schizosaccharomyces_pombe	0.0290184015032452	0.217486898351083	0.895423239229137	0.993584697414653
s__Komagataella_phaffii	0.195916299910281	0.266606748888695	0.472446295566978	0.89362135852378
s__Yarrowia_lipolytica	-0.138059841306419	0.143190200473052	0.348476245496452	0.862309756585784
s__Sugiyamaella_lignohabitans	-0.0933642441910798	0.123504940889019	0.460023529104404	0.88941274117671
s__Ogataea_parapolymorpha	0.0488157284929226	0.261450402320574	0.854097093639191	0.993584697414653
s__Brettanomyces_bruxellensis	-0.114058286320353	0.138658850246088	0.422134439785894	0.872794273194043
s__Pichia_kudriavzevii	-0.102587849227577	0.161138144940851	0.532835547499754	0.914494475292883
s__Scheffersomyces_stipitis	-0.139295613884308	0.163253487196571	0.405384322537894	0.865793903037272
s__Debaryomyces_hansenii	-0.473850794498271	0.681660917543805	0.496359322184224	0.900360672349489
s__Candida_dubliniensis	-0.116324343870781	0.153084253291318	0.457740606586042	0.88941274117671
s__Lachancea_thermotolerans	0.055917838333158	0.385328504000155	0.886324909291731	0.993584697414653
s__Zygotorulaspora_mrakii	-0.497504866013743	0.344967818379602	0.167422710519187	0.756629800672322
s__[Candida]_glabrata	-0.168510062773899	0.149541566319074	0.275463548700699	0.826390646102096
s__Zygosaccharomyces_rouxii	-0.0415940237544039	0.158683191847933	0.796378744572504	0.993584697414653
s__Torulaspora_delbrueckii	-0.745398377258549	0.376969695111696	0.0644504715890148	0.74832266724522
s__Eremothecium_cymbalariae	-0.0438764779276618	0.176227453075628	0.806362155495012	0.993584697414653
