Representative_ASV	Beta	SE	P	FDR_BH
s__Giardia_intestinalis	-0.34188864518679	0.238439138021815	0.169749759516523	0.547428587730303
s__Spironucleus_salmonicida	-0.00790591463393691	0.460816741272712	0.986511664474653	0.994080807680341
s__Trichomonas_vaginalis	-0.399221791546422	0.18218152974179	0.0426444705768327	0.377566857235098
s__Entamoeba_nuttalli	0.105818939372526	0.212853632559631	0.625455600287729	0.850390576422228
s__Entamoeba_dispar	-0.282348106597665	0.3396739201511	0.417364923253565	0.70731818096018
s__Entamoeba_invadens	0.0847522920328417	0.348012491086527	0.810507522966094	0.93283339059973
s__Entamoeba_moshkovskii	-0.295305283589361	0.140120856376687	0.050224534726466	0.38183273592752
s__Entamoeba_histolytica	1.75853258865285	0.461776187819386	0.00140562282534362	0.222471165106767
s__Acanthamoeba_culbertsoni	-0.560097103465532	0.288603133494624	0.0690612280947477	0.427384144544459
s__Acanthamoeba_quina	-0.283237553896096	0.161987746847098	0.0984083843461246	0.499221932605662
s__Acanthamoeba_lugdunensis	-0.306060680822269	0.169753578330132	0.0891474353031452	0.481151911088208
s__Acanthamoeba_rhysodes	-0.424028538469361	0.182577822125677	0.0328774574861017	0.362129596349827
s__Acanthamoeba_astronyxis	-0.307006317339422	0.119303057092878	0.0197378920041261	0.306960124956956
s__Acanthamoeba_triangularis	-0.255006151973201	0.145400393168609	0.0974702388734308	0.499221932605662
s__Acanthamoeba_sp._ATCC_50496	-0.265526684310804	0.12081965419209	0.0421138336180591	0.377566857235098
s__Acanthamoeba_castellanii	-0.364719295946988	0.142366107239375	0.0202110314523295	0.306960124956956
s__Acanthamoeba_palestinensis	-0.471291491379495	0.144750388245101	0.0046524022004569	0.238370002183241
s__Acanthamoeba_lenticulata	-0.483135673723433	0.258436626429802	0.0788852195822494	0.454840631932774
s__Acanthamoeba_mauritaniensis	-0.24723039315767	0.157030234550281	0.133817604745327	0.547428587730303
s__Naegleria_fowleri	-0.532266573183601	0.301161093184633	0.0951086868063116	0.493063455285352
s__Trypanosoma_cruzi	-0.266600315520769	0.1364044105521	0.0672945009680849	0.424925016801221
s__Endotrypanum_monterogeii	-0.341550328019707	0.159739230725581	0.0473188937276826	0.38183273592752
s__Leptomonas_seymouri	-0.382642299456794	0.153586150559915	0.0233557950288923	0.336665240538423
s__Leishmania_major	-0.325195597054432	0.135647815761588	0.0282774999443048	0.359520985224789
s__Albugo_laibachii	-0.530541246551008	0.465567889937968	0.270273498194383	0.590505129141887
