GO	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
mitochondrial genome maintenance (GO:0000002)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphopyruvate hydratase complex (GO:0000015)	0	0	0	0	0	0	1	0	0	0	12	3	5	0	8	16	4	12	4	12
tRNA binding (GO:0000049)	0	0	4	0	0	0	0	2	0	0	13	1	11	1	9	14	10	13	6	13
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfate assimilation (GO:0000103)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
histidine biosynthetic process (GO:0000105)	0	1	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	3
Golgi membrane (GO:0000139)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA strand exchange activity (GO:0000150)	4	2	0	0	0	0	7	0	0	0	0	4	0	0	6	3	0	6	5	6
rRNA modification (GO:0000154)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	1	2	0	2
phosphorelay sensor kinase activity (GO:0000155)	0	9	20	0	0	0	6	0	0	0	9	4	9	0	12	24	13	13	2	13
phosphorelay signal transduction system (GO:0000160)	2	16	9	0	0	0	15	5	0	0	46	6	51	0	33	49	42	49	14	48
tryptophan biosynthetic process (GO:0000162)	0	0	0	1	0	0	1	1	0	0	3	2	4	0	5	4	4	5	1	5
nucleotide binding (GO:0000166)	0	11	30	6	0	1	31	36	0	0	158	40	165	11	128	163	117	164	31	165
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	0	0	0	0	0	0	0	0	0	0	4	0	4	0	1	4	1	4	0	4
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spliceosomal complex assembly (GO:0000245)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lanosterol synthase activity (GO:0000250)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
polysaccharide biosynthetic process (GO:0000271)	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
alanine dehydrogenase activity (GO:0000286)	0	0	0	0	0	0	1	1	0	0	2	0	2	0	2	2	2	2	1	4
magnesium ion binding (GO:0000287)	0	9	3	0	0	0	12	13	0	0	44	8	40	1	38	54	33	57	8	57
xanthine phosphoribosyltransferase activity (GO:0000310)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mRNA splicing, via spliceosome (GO:0000398)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein peptidyl-prolyl isomerization (GO:0000413)	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	7	7	7	6	7
box C/D snoRNP assembly (GO:0000492)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mismatch base pair DNA N-glycosylase activity (GO:0000700)	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
