Representative_ASV	Beta	SE	P	FDR_BH
mitochondrial genome maintenance (GO:0000002)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
phosphopyruvate hydratase complex (GO:0000015)	0.977671536607965	0.332181803206245	0.00869415169770927	0.050927589844562
tRNA binding (GO:0000049)	0.885107883006654	0.528092128720715	0.111011220949603	0.228094850566534
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
sulfate assimilation (GO:0000103)	-1.17648763066484	0.297821928205777	0.000938138881810704	0.0112764293593647
histidine biosynthetic process (GO:0000105)	-1.53629904483511	0.557175817678793	0.0129687966523691	0.0618575942790915
Golgi membrane (GO:0000139)	-0.469334992550305	0.355066571250625	0.202781164589849	0.335272296887205
DNA strand exchange activity (GO:0000150)	-0.372360892903406	0.845694764330802	0.664960355858429	0.760497000705834
rRNA modification (GO:0000154)	-0.216558147437272	0.177665575097307	0.238612697292203	0.379381563684163
phosphorelay sensor kinase activity (GO:0000155)	1.33688747925487	0.662708902982079	0.0588274628885167	0.160705932709084
phosphorelay signal transduction system (GO:0000160)	1.81692811980612	0.717341535517015	0.0208322495877515	0.0763425731843821
tryptophan biosynthetic process (GO:0000162)	0.426169345811656	0.520634977325639	0.42374418429373	0.553630988609851
nucleotide binding (GO:0000166)	2.20167031161875	0.83079942862449	0.0162867347373415	0.0694207629584554
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	-0.0539822979629158	0.256217354156556	0.835496322466592	0.889518671040605
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
spliceosomal complex assembly (GO:0000245)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
lanosterol synthase activity (GO:0000250)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
polysaccharide biosynthetic process (GO:0000271)	-0.859202977678967	0.271155183481828	0.0053159765989633	0.0369352824968433
alanine dehydrogenase activity (GO:0000286)	0.510489384766712	0.292312163554537	0.0977869740489371	0.210645058793588
magnesium ion binding (GO:0000287)	1.66908505293357	0.652349701926944	0.0197424850581079	0.0748790135993042
xanthine phosphoribosyltransferase activity (GO:0000310)	-0.752110491614948	0.185771468308152	0.00075372426058532	0.0112764293593647
mRNA splicing, via spliceosome (GO:0000398)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
protein peptidyl-prolyl isomerization (GO:0000413)	0.319876305520122	0.457052123363483	0.492956351804331	0.619157298713486
box C/D snoRNP assembly (GO:0000492)	-0.540768555360102	0.299911805859285	0.0881406175736946	0.197658623738024
mismatch base pair DNA N-glycosylase activity (GO:0000700)	-1.7028143264603	0.595141687295719	0.0103786890346633	0.0544206259377437
conjugation (GO:0000746)	-0.0485334272215378	0.593833054571925	0.935764098291174	0.96164937140048
adenyl-nucleotide exchange factor activity (GO:0000774)	0.490070353723435	0.361269965291922	0.191704947251076	0.332509879647609
cell morphogenesis (GO:0000902)	1.25297311734178	0.434673294359119	0.00991148819751738	0.0538175302885973
6,7-dimethyl-8-ribityllumazine synthase activity (GO:0000906)	0.220186414010798	0.304005082834536	0.478199859982102	0.605686229397773
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	-0.33518143470665	0.46560138038502	0.480837152217572	0.607507658109848
DNA-binding transcription activator activity (GO:0001216)	0.972349249735664	0.450068897734917	0.0444686184944114	0.133628198575706
ossification (GO:0001503)	-0.705555664121145	0.23724641181641	0.00813320310486079	0.0486373638410083
RNA methylation (GO:0001510)	-0.469334992550305	0.355066571250625	0.202781164589849	0.335272296887205
selenocysteine incorporation (GO:0001514)	-0.628210328740793	0.196557838381702	0.00500567200631192	0.0356324319035298
pseudouridine synthesis (GO:0001522)	1.2366147684294	0.533293741502493	0.0323693295236004	0.104310815247635
lipopolysaccharide binding (GO:0001530)	-0.35855826261705	0.140639457810602	0.0201213988290975	0.0748790135993042
cornified envelope (GO:0001533)	-1.7138833373816	0.523197664989268	0.00419979525196972	0.0325687347926943
cellular glucose homeostasis (GO:0001678)	-0.469334992550305	0.355066571250625	0.202781164589849	0.335272296887205
tRNA wobble uridine modification (GO:0002098)	0.651143470838028	0.412535699072057	0.131887535437989	0.259159527936517
aminoacyl-tRNA editing activity (GO:0002161)	0.484822006826659	0.673961266520031	0.4811541518474	0.607507658109848
tRNA threonylcarbamoyladenosine modification (GO:0002949)	0.541147733756012	0.359920757715336	0.150048220140407	0.279191889487258
5-deoxynucleotidase activity (GO:0002953)	-0.751691175996201	0.18944856604453	0.000902308695564518	0.0112764293593647
amino acid transmembrane transport (GO:0003333)	0.184934824149891	0.283396022758351	0.522283151853494	0.645204880295889
nucleic acid binding (GO:0003676)	-1.23022731597033	0.444647331457219	0.0127096145393685	0.0613532396639395
DNA binding (GO:0003677)	-0.155843148727297	0.655869469290252	0.814864820940717	0.874524566759591
DNA helicase activity (GO:0003678)	0.373901268562016	0.761144616234322	0.629195834720402	0.728606351959464
chromatin binding (GO:0003682)	-0.752110491614948	0.185771468308152	0.00075372426058532	0.0112764293593647
damaged DNA binding (GO:0003684)	0.235898640983	0.357841408090486	0.518095794907956	0.642674040742377
DNA replication origin binding (GO:0003688)	0.365865973766165	0.300519026197062	0.239154688365363	0.379740997906429
single-stranded DNA binding (GO:0003697)	0.876610220969622	0.775280771750565	0.273022563526752	0.421274866956555
DNA-binding transcription factor activity (GO:0003700)	1.47038649489506	0.828661630948478	0.0929104131022128	0.204165112520767
RNA binding (GO:0003723)	0.516960756374393	0.729493620971831	0.487614568390908	0.613730587650127
RNA helicase activity (GO:0003724)	-0.114140517656313	0.227775598788941	0.622366848770554	0.726403900781867
double-stranded RNA binding (GO:0003725)	0.282042539298085	0.341426421133068	0.419578856590539	0.551184465160467
mRNA binding (GO:0003729)	-0.285138422327128	0.395587326479064	0.480291474450961	0.607507658109848
structural constituent of ribosome (GO:0003735)	2.69142917216395	0.883554335558644	0.00695073466758174	0.0451609895699095
translation initiation factor activity (GO:0003743)	0.722319751091776	0.438987495896502	0.117232058255254	0.238431360444695
translation elongation factor activity (GO:0003746)	1.15721033978386	0.50886798504564	0.0354352252863012	0.112382957240459
translation release factor activity (GO:0003747)	0.669444591698825	0.330198963059196	0.0576922715797702	0.158686751576393
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	1.28813667066272	0.765087435751783	0.109512341303138	0.22617497293191
motor activity (GO:0003774)	1.41339680309861	0.74413843008284	0.0736612766394998	0.192062591151147
actin binding (GO:0003779)	-1.1067326784203	0.764276752527784	0.164790221903052	0.295638577205176
lysozyme activity (GO:0003796)	-0.497995267394022	0.324468938637574	0.142222759688655	0.26963999549805
catalytic activity (GO:0003824)	-1.38611539755758	0.589135781331288	0.0302078914669521	0.100303551224521
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	0.0974122426592286	0.366401673217405	0.793366833254463	0.85603854001065
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	-0.50196483785776	0.179348086103782	0.0118664308588689	0.058661395943026
1,4-alpha-glucan branching enzyme activity (GO:0003844)	-0.752110491614948	0.185771468308152	0.00075372426058532	0.0112764293593647
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity (GO:0003848)	-0.0178032161715194	0.465551659201979	0.969916375840925	0.98253404065171
3-deoxy-7-phosphoheptulonate synthase activity (GO:0003849)	1.37828174439335	0.360490048895962	0.0012448802525763	0.013855056144414
2-isopropylmalate synthase activity (GO:0003852)	-1.17648763066484	0.297821928205777	0.000938138881810704	0.0112764293593647
3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)	-1.10424908130023	0.244012572349172	0.000261926482371388	0.0087454342169558
3-dehydroquinate dehydratase activity (GO:0003855)	1.52902620465792	0.562598349723944	0.0141078767864403	0.0642335905200806
3-dehydroquinate synthase activity (GO:0003856)	-0.343008015789744	0.268344351115347	0.217403125215984	0.352656621470462
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	-1.62057891223778	0.561452810259328	0.00982972542044102	0.0538175302885973
3-isopropylmalate dehydrogenase activity (GO:0003862)	-0.568056059218393	0.272536146725511	0.0516494301551373	0.149596662762591
3-methyl-2-oxobutanoate hydroxymethyltransferase activity (GO:0003864)	-0.521711345384112	0.672968447266252	0.448264077784563	0.578125988730735
3-phosphoshikimate 1-carboxyvinyltransferase activity (GO:0003866)	-0.253492563883293	0.31628826901616	0.43331834949354	0.562802708283927
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity (GO:0003871)	-0.985151953845665	0.363129542878472	0.0142539881183831	0.0643586875249926
6-phosphofructokinase activity (GO:0003872)	-1.72220152794827	0.669694442039925	0.019210257589579	0.0747718065366507
ATP phosphoribosyltransferase activity (GO:0003879)	-0.699081996338066	0.255084330129073	0.0134393099745284	0.0623708516964602
CTP synthase activity (GO:0003883)	0.883332871892599	0.356929302350876	0.0235052414069273	0.0833430683514058
DNA-directed DNA polymerase activity (GO:0003887)	1.11387042360031	0.682938138780158	0.120263406370356	0.242138382675323
DNA primase activity (GO:0003896)	0.255894741536916	0.293364202345059	0.39454438582718	0.526935946404744
DNA-directed 5-3 RNA polymerase activity (GO:0003899)	1.55180807488202	0.679115328907423	0.0346604800907581	0.110509010793345
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906)	0.209791389278456	0.433485028725503	0.634246671671785	0.733042787836044
methylated-DNA-[protein]-cysteine S-methyltransferase activity (GO:0003908)	0.628081706502682	0.369271011580185	0.106178917573699	0.220046653316528
DNA ligase (ATP) activity (GO:0003910)	-1.17648763066484	0.297821928205777	0.000938138881810704	0.0112764293593647
DNA ligase (NAD+) activity (GO:0003911)	0.662578775430453	0.382772251064085	0.10055695411917	0.212130440373735
DNA topoisomerase activity (GO:0003916)	0.531169919490251	0.717377116529726	0.468586234868176	0.595897885636178
DNA topoisomerase type I (single strand cut, ATP-independent) activity (GO:0003917)	0.552477633481551	0.51214097625775	0.294938719145512	0.433099651633226
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	1.66186999438248	0.577113742593902	0.00997453301727741	0.0538175302885973
FMN adenylyltransferase activity (GO:0003919)	-0.783193912287225	0.602558906135441	0.210076291922192	0.342156778984383
GMP reductase activity (GO:0003920)	-0.119316800922637	0.302684375807579	0.698067868312112	0.781992150709374
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	0.126904089248008	0.308937553451117	0.686085637176749	0.77434266280418
GTPase activity (GO:0003924)	1.93829109973757	0.769489792447374	0.0214463168620706	0.0778805826834103
GTP cyclohydrolase I activity (GO:0003934)	0.257037873808417	0.482761667650741	0.600938118244285	0.712354652987801
