Representative_ASV	Beta	SE	P	FDR_BH
mitochondrial genome maintenance (GO:0000002)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
phosphopyruvate hydratase complex (GO:0000015)	0.306036400472424	0.378858271602647	0.429760287699086	0.8381437589295
tRNA binding (GO:0000049)	-0.278255266908434	0.537667708693689	0.611093100804577	0.901568853343623
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
sulfate assimilation (GO:0000103)	0.0252755799567726	0.38814264446768	0.948796790741168	0.981259768061517
histidine biosynthetic process (GO:0000105)	-0.136909925299607	0.633076194612641	0.831215946776517	0.967018589852056
Golgi membrane (GO:0000139)	-0.618233320727458	0.323462336732998	0.0720229649934573	0.488769870510228
DNA strand exchange activity (GO:0000150)	-0.185807183210072	0.809890925435964	0.821127274302966	0.962302435279788
rRNA modification (GO:0000154)	-0.0652980232380499	0.175665157688904	0.714441980938178	0.923976334419546
phosphorelay sensor kinase activity (GO:0000155)	0.238355819069291	0.697751130398762	0.736603244250204	0.928120264131976
phosphorelay signal transduction system (GO:0000160)	0.730046609716668	0.77817276252202	0.360583635047135	0.798198028225887
tryptophan biosynthetic process (GO:0000162)	0.648525300293301	0.482163238164024	0.195317582603571	0.63648221133638
nucleotide binding (GO:0000166)	0.804476105281297	0.914993571157521	0.390871368726351	0.829679198307717
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	0.113032689824854	0.243262402798188	0.647750898747869	0.905764458018765
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
spliceosomal complex assembly (GO:0000245)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
lanosterol synthase activity (GO:0000250)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
polysaccharide biosynthetic process (GO:0000271)	0.185799950892059	0.319861875067476	0.56852675983223	0.891617202989968
alanine dehydrogenase activity (GO:0000286)	0.569864372203768	0.269980669054125	0.0490445943268255	0.488769870510228
magnesium ion binding (GO:0000287)	0.82232444477095	0.700379911494127	0.255651075093895	0.709524654848895
xanthine phosphoribosyltransferase activity (GO:0000310)	-0.415838231012038	0.224490688941579	0.0804454082532084	0.488769870510228
mRNA splicing, via spliceosome (GO:0000398)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
protein peptidyl-prolyl isomerization (GO:0000413)	0.0479284394977937	0.441747908188572	0.914801569267512	0.981259768061517
box C/D snoRNP assembly (GO:0000492)	-0.553228778570542	0.282192127978804	0.0656052962518568	0.488769870510228
mismatch base pair DNA N-glycosylase activity (GO:0000700)	-0.846116918995801	0.655082374760376	0.212828837012097	0.650821394802686
conjugation (GO:0000746)	-0.556322449348094	0.55120344618094	0.326212883008127	0.782509099139824
