Representative_ASV	Beta	SE	P	FDR_BH
mitochondrial genome maintenance (GO:0000002)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
phosphopyruvate hydratase complex (GO:0000015)	-0.000552773818176294	0.38566411639654	0.998872155150799	0.998872155150799
tRNA binding (GO:0000049)	0.549634033574869	0.525932325187751	0.309824781753269	0.693395595533002
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
sulfate assimilation (GO:0000103)	-0.268905451326609	0.382979078146831	0.491571539119224	0.778565890400137
histidine biosynthetic process (GO:0000105)	-0.640728982050241	0.615645511572131	0.311772868148284	0.693395595533002
Golgi membrane (GO:0000139)	-0.283152648966436	0.348436102492812	0.427043174693506	0.735550165735014
DNA strand exchange activity (GO:0000150)	-0.393229144162311	0.80576101879518	0.631425796496783	0.853853708861991
rRNA modification (GO:0000154)	0.14071378894935	0.17319095413636	0.427133124528319	0.735550165735014
phosphorelay sensor kinase activity (GO:0000155)	0.665957896608637	0.682183304461097	0.341896067651069	0.702140793183246
phosphorelay signal transduction system (GO:0000160)	1.47596735520487	0.717032452724773	0.054322868019985	0.51822291555573
tryptophan biosynthetic process (GO:0000162)	-0.639990138816443	0.482796407263682	0.201554529124732	0.65591475679444
nucleotide binding (GO:0000166)	-0.381996741941427	0.930086570874733	0.686132379824309	0.879244264977419
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	0.366050126582331	0.229002963696344	0.127348087481962	0.568447873728197
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
spliceosomal complex assembly (GO:0000245)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
lanosterol synthase activity (GO:0000250)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
polysaccharide biosynthetic process (GO:0000271)	0.202106298754531	0.319312091320762	0.534730276242142	0.796463187166114
alanine dehydrogenase activity (GO:0000286)	-0.046451893626709	0.301348795161771	0.879209283895905	0.95128678798907
magnesium ion binding (GO:0000287)	0.806111207157088	0.701426268470376	0.265496892333055	0.66353317948851
xanthine phosphoribosyltransferase activity (GO:0000310)	-0.389173454225163	0.227131228158237	0.103803190979107	0.555106870866939
mRNA splicing, via spliceosome (GO:0000398)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
protein peptidyl-prolyl isomerization (GO:0000413)	0.54410081059213	0.422873326332767	0.214509923792814	0.66353317948851
box C/D snoRNP assembly (GO:0000492)	-0.331906055584122	0.300858364552616	0.28447288209692	0.66353317948851
mismatch base pair DNA N-glycosylase activity (GO:0000700)	-0.967461485278587	0.645683300168812	0.151374260302452	0.587919939344136
conjugation (GO:0000746)	-1.38632706669237	0.462868245909028	0.00776807972841544	0.292477902453626
adenyl-nucleotide exchange factor activity (GO:0000774)	0.446218171632515	0.346193183849107	0.213742617913872	0.66353317948851
cell morphogenesis (GO:0000902)	0.537345777390337	0.485040542308397	0.282516846622752	0.66353317948851
6,7-dimethyl-8-ribityllumazine synthase activity (GO:0000906)	0.129556918972128	0.292608800003869	0.663210657033368	0.868263631038194
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	-0.191592845738141	0.44823481408742	0.674129616129279	0.873172196753656
DNA-binding transcription activator activity (GO:0001216)	0.36574999864376	0.47402321171509	0.450370738364067	0.761386255293402
ossification (GO:0001503)	-0.290322037179989	0.26777701169082	0.292588153644712	0.673737472568859
RNA methylation (GO:0001510)	-0.283152648966436	0.348436102492812	0.427043174693506	0.735550165735014
selenocysteine incorporation (GO:0001514)	-0.12609210838904	0.2328652081403	0.594815442757206	0.826865335107751
pseudouridine synthesis (GO:0001522)	0.0203851865052941	0.579735541201593	0.972336852609072	0.991305256010266
lipopolysaccharide binding (GO:0001530)	-0.0551203220138397	0.155981217260901	0.727910029097571	0.892420260597966
cornified envelope (GO:0001533)	-0.743711946819338	0.605700482222822	0.235316756381419	0.66353317948851
cellular glucose homeostasis (GO:0001678)	-0.283152648966436	0.348436102492812	0.427043174693506	0.735550165735014
tRNA wobble uridine modification (GO:0002098)	0.648124855518682	0.391109881036138	0.114817120110195	0.555106870866939
aminoacyl-tRNA editing activity (GO:0002161)	-0.22280910423028	0.649976043463189	0.735722727472593	0.892420260597966
tRNA threonylcarbamoyladenosine modification (GO:0002949)	0.590248372971387	0.336650626740314	0.09656409915067	0.555106870866939
5-deoxynucleotidase activity (GO:0002953)	-0.388283107394691	0.229892839978928	0.108471667369092	0.555106870866939
amino acid transmembrane transport (GO:0003333)	-0.266417392492851	0.266215924240913	0.330208768031033	0.702140793183246
nucleic acid binding (GO:0003676)	0.227583190322587	0.503541020769112	0.656692783015562	0.867148484619562
DNA binding (GO:0003677)	-0.961376515529287	0.584235265853323	0.117209691828032	0.556861856036735
DNA helicase activity (GO:0003678)	-1.37884380853704	0.654710172237681	0.0495011739780025	0.486563087251763
chromatin binding (GO:0003682)	-0.389173454225163	0.227131228158237	0.103803190979107	0.555106870866939
damaged DNA binding (GO:0003684)	0.306811610722233	0.337801159669064	0.375740817627864	0.730809810337689
DNA replication origin binding (GO:0003688)	0.0531461600783329	0.297983182458315	0.860437816785489	0.945250349758377
single-stranded DNA binding (GO:0003697)	0.142265636201304	0.764649999105068	0.854483655412298	0.942283810830809
DNA-binding transcription factor activity (GO:0003700)	1.55965833324403	0.773977428004503	0.0590760333468791	0.53040228676796
RNA binding (GO:0003723)	1.18731213599183	0.647657411333897	0.0833588144187458	0.555106870866939
RNA helicase activity (GO:0003724)	-0.333145506906678	0.204218324505816	0.120194847513397	0.562156446346707
double-stranded RNA binding (GO:0003725)	-0.496257474068254	0.310516287916805	0.127411112068906	0.568447873728197
mRNA binding (GO:0003729)	-0.460916437273782	0.367032989538541	0.225248820599719	0.66353317948851
structural constituent of ribosome (GO:0003735)	1.09636269850536	1.00490974706795	0.289659624295446	0.669559362313703
translation initiation factor activity (GO:0003743)	0.613149162146474	0.425272916083101	0.166538076321055	0.597325443679449
translation elongation factor activity (GO:0003746)	0.151941893187148	0.549599498093352	0.785344700246273	0.90942613650869
translation release factor activity (GO:0003747)	-0.502782780372904	0.328376908263905	0.143126863409567	0.585164931354759
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	-0.991289165497539	0.749647402777565	0.202612156435878	0.65644154187581
motor activity (GO:0003774)	1.3902091159484	0.705356923088465	0.064307603268092	0.53040228676796
actin binding (GO:0003779)	-0.20550340644043	0.768846787780771	0.7922859919004	0.910042230238282
lysozyme activity (GO:0003796)	-0.875064223496169	0.256518340755978	0.00311253089353541	0.237674449920898
catalytic activity (GO:0003824)	0.35246308786685	0.63724029595221	0.586993671590847	0.823298008462308
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	-0.370399228574209	0.339153978661597	0.289179859849866	0.669559362313703
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	-0.096315669642447	0.203700428580262	0.642017293653875	0.858403545018864
1,4-alpha-glucan branching enzyme activity (GO:0003844)	-0.389173454225163	0.227131228158237	0.103803190979107	0.555106870866939
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity (GO:0003848)	0.304939513181022	0.438271507178386	0.495454252581572	0.778995415041377
3-deoxy-7-phosphoheptulonate synthase activity (GO:0003849)	-0.0827956079578576	0.462509301857792	0.859926333715799	0.945250349758377
2-isopropylmalate synthase activity (GO:0003852)	-0.268905451326609	0.382979078146831	0.491571539119224	0.778565890400137
3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)	-0.318208261267956	0.331969440687055	0.350486252836895	0.702140793183246
3-dehydroquinate dehydratase activity (GO:0003855)	1.05496759067791	0.586851225137568	0.0890248030239109	0.555106870866939
3-dehydroquinate synthase activity (GO:0003856)	0.106335083778799	0.266172542082522	0.694227623590079	0.881163256130174
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	-0.925886914754983	0.609922574292565	0.14637238523383	0.586546127891776
3-isopropylmalate dehydrogenase activity (GO:0003862)	-0.795370072795947	0.220815700399572	0.00203827712885553	0.237674449920898
3-methyl-2-oxobutanoate hydroxymethyltransferase activity (GO:0003864)	-0.0878706799262909	0.652271518278914	0.894332249291923	0.958637805849453
3-phosphoshikimate 1-carboxyvinyltransferase activity (GO:0003866)	0.205727942410564	0.303203092790684	0.506075521322248	0.782586585708936
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity (GO:0003871)	-0.49883890457405	0.394000418019987	0.221623108426148	0.66353317948851
6-phosphofructokinase activity (GO:0003872)	-1.16835406334395	0.694432847438563	0.109745627352737	0.555106870866939
ATP phosphoribosyltransferase activity (GO:0003879)	-0.689322463128723	0.23983557626535	0.0100930163305033	0.295352758147131
CTP synthase activity (GO:0003883)	0.168179394436869	0.392184451888961	0.673137128483614	0.872827215142722
DNA-directed DNA polymerase activity (GO:0003887)	1.04514663293062	0.65304491551901	0.126909609849496	0.568447873728197
DNA primase activity (GO:0003896)	0.231297854350537	0.280455451512499	0.420324677730236	0.735550165735014
DNA-directed 5-3 RNA polymerase activity (GO:0003899)	0.195896364557817	0.73437124834802	0.792690694725026	0.910042230238282
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906)	0.196239192417359	0.413621897433638	0.640890317841268	0.858403545018864
methylated-DNA-[protein]-cysteine S-methyltransferase activity (GO:0003908)	0.165169380515266	0.377513531720122	0.666939375878306	0.868263631038194
DNA ligase (ATP) activity (GO:0003910)	-0.268905451326609	0.382979078146831	0.491571539119224	0.778565890400137
DNA ligase (NAD+) activity (GO:0003911)	0.0115669462444152	0.394354251902311	0.976923085164105	0.993453086605122
DNA topoisomerase activity (GO:0003916)	-0.173745495244705	0.693469516363589	0.805003206408108	0.918039709774711
DNA topoisomerase type I (single strand cut, ATP-independent) activity (GO:0003917)	-0.0978710672462307	0.503568687178942	0.848074632555914	0.938660873234078
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	0.637674541927896	0.648166098454179	0.338247333269052	0.702140793183246
FMN adenylyltransferase activity (GO:0003919)	-0.313395769904784	0.596618972372924	0.605794965493347	0.838847469076454
GMP reductase activity (GO:0003920)	0.00479499722926074	0.289983936309889	0.986989175609298	0.994400254066897
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	0.565858448565841	0.264344698494482	0.0462466860313477	0.486563087251763
GTPase activity (GO:0003924)	1.56065883398558	0.770354357592645	0.0578597993944106	0.53040228676796
GTP cyclohydrolase I activity (GO:0003934)	-0.551266222804027	0.445578990165777	0.231914133707835	0.66353317948851
GTP cyclohydrolase II activity (GO:0003935)	0.61504983164221	0.247848816635944	0.0231790610079429	0.422139868659809
IMP dehydrogenase activity (GO:0003938)	0.436147513441282	0.54873149056623	0.437068566240643	0.745712389612507
L-serine ammonia-lyase activity (GO:0003941)	0.158599996241829	0.189453806023106	0.413489151144745	0.735550165735014
