Representative_ASV	Beta	SE	P	FDR_BH
09101 Carbohydrate metabolism	-1.46041775326482	0.283871655639772	6.79585559368712e-05	0.00346588635278043
09102 Energy metabolism	-0.182907094094498	0.810172938730104	0.82392929553913	0.908444532108962
09103 Lipid metabolism	1.10613403959353	0.725391461979356	0.144667297242754	0.392135688275913
09104 Nucleotide metabolism	0.164947468092473	0.841589147259108	0.846809575979756	0.908444532108962
09105 Amino acid metabolism	-2.02804642861437	0.492022763422741	0.000640321678704059	0.0163282028069535
09106 Metabolism of other amino acids	-0.686694271802344	0.851883407200903	0.43071274467663	0.757460344086487
09107 Glycan biosynthesis and metabolism	-1.37148868899312	0.683766273663353	0.0601482113366015	0.224845464789297
09108 Metabolism of cofactors and vitamins	0.131852474366533	0.711268631619145	0.855006618455494	0.908444532108962
09109 Metabolism of terpenoids and polyketides	0.697265787372433	0.547688142263625	0.219177365828724	0.508092984421134
09110 Biosynthesis of other secondary metabolites	0.183342988921389	0.676668958551167	0.789512683831953	0.908444532108962
09111 Xenobiotics biodegradation and metabolism	1.15487803383837	0.660023353348959	0.0971892863925298	0.309790850376189
09121 Transcription	0.0154738172379527	0.509869888938038	0.976123040734966	0.976123040734966
09122 Translation	1.66600350363135	0.659145089101813	0.0210656827652392	0.149272999731473
09123 Folding, sorting and degradation	0.378504000491839	0.652123236691471	0.568828688403782	0.789876886954278
09124 Replication and repair	-0.547614772657874	0.859761317997056	0.532183007949782	0.789876886954278
09131 Membrane transport	-1.18995578984141	0.743124756933003	0.126717200775345	0.380151602326035
09132 Signal transduction	0.257083258816019	0.718282724145709	0.724570581799421	0.885856204523763
09141 Transport and catabolism	-0.180904071059071	0.515128793125773	0.729528639019569	0.885856204523763
09142 Cell motility	1.13961355251427	0.805526093817116	0.174210010966884	0.444235527965554
09143 Cell growth and death	-0.614951124577232	0.849014275091563	0.478183943678122	0.789876886954278
09144 Cellular community - eukaryotes	-0.494462058126059	0.735345290093962	0.509855742477603	0.789876886954278
09145 Cellular community - prokaryotes	0.0669290748318614	0.742083204403477	0.929131629345376	0.964174065878551
09149 Aging	0.40348049411507	0.645836837765773	0.539980576657785	0.789876886954278
09151 Immune system	1.17187538953589	0.585384465539524	0.0606007822794532	0.224845464789297
09152 Endocrine system	-0.171198816698824	0.850586636126322	0.84274326921783	0.908444532108962
09153 Circulatory system	0.0748481944314255	0.333123603930883	0.824754469845958	0.908444532108962
09154 Digestive system	-0.293351665698025	0.523712152507598	0.582289467860645	0.789876886954278
09155 Excretory system	-0.702016857661731	0.462105831587585	0.146089766220438	0.392135688275913
09156 Nervous system	0.269048125240987	0.520340203705031	0.611408255674642	0.799533872805301
09157 Sensory system	-0.656950782023417	0.265256729480489	0.0234153725068977	0.149272999731473
09158 Development and regeneration	-0.161800131700985	0.330030535548493	0.629873743210954	0.803089022593966
09159 Environmental adaptation	0.602102526128935	0.525170439700165	0.266605391057555	0.522956728612896
09161 Cancer: overview	0.91392665260631	0.75287588560029	0.240468340677173	0.51434512109183
09162 Cancer: specific types	0.491120567485137	0.851352021735977	0.571171185766478	0.789876886954278
09163 Immune disease	-0.269904658158956	0.230097277037584	0.256084472574749	0.522412324052488
09164 Neurodegenerative disease	0.722695399769525	0.841487183811286	0.401726363988759	0.73171587726524
09165 Substance dependence	-0.787475296898381	0.309896522887331	0.0204774736952022	0.149272999731473
09166 Cardiovascular disease	1.25836381114808	0.62285749270681	0.0584878178544818	0.224845464789297
09167 Endocrine and metabolic disease	1.06858819217065	0.536346189368761	0.061722284451964	0.224845464789297
09171 Infectious disease: bacterial	1.79218338946123	0.766067223476308	0.0310398349301561	0.175892397937551
09172 Infectious disease: viral	-0.0499282777299889	0.717219258365676	0.945268692037795	0.964174065878551
09174 Infectious disease: parasitic	-0.176077688955926	0.319670373601594	0.588535719691423	0.789876886954278
09175 Drug resistance: antimicrobial	-0.947900885733105	0.732438807130564	0.211965168191248	0.508092984421134
09176 Drug resistance: antineoplastic	0.393915028869457	0.380868394790599	0.314713365877446	0.594458579990731
09181 Protein families: metabolism	-0.988898679665787	0.303605452637464	0.00437560225027812	0.0743852382547281
09182 Protein families: genetic information processing	-0.700436929935273	0.279709967386695	0.0221161645286246	0.149272999731473
09183 Protein families: signaling and cellular processes	-0.717053036005332	0.39978356858034	0.0896944508930803	0.304961133036473
09191 Unclassified: metabolism	-0.792341025751236	0.654992945803904	0.242044762866744	0.51434512109183
09192 Unclassified: genetic information processing	0.556211223811023	0.866550483825803	0.529048967953089	0.789876886954278
09193 Unclassified: signaling and cellular processes	1.36872124469865	0.653635229939803	0.0506809641187804	0.224845464789297
09194 Poorly characterized	-1.87633145353262	0.732804283913286	0.0196638452517364	0.149272999731473
