Representative_ASV	Beta	SE	P	FDR_BH
09101 Carbohydrate metabolism	-0.422099273422394	0.413833693823588	0.321255293774494	0.698220397228473
09102 Energy metabolism	0.255715873569074	0.771598664011392	0.744161752717794	0.896725646091975
09103 Lipid metabolism	0.157886777310506	0.734375168140397	0.832188531381176	0.941160849107439
09104 Nucleotide metabolism	0.81863949655323	0.780174072729552	0.307923551927511	0.698220397228473
09105 Amino acid metabolism	-0.0524332910953795	0.654277837076853	0.937010845096291	0.975256185712466
09106 Metabolism of other amino acids	1.78283584086207	0.712494032560755	0.0222040693993015	0.433089116159913
09107 Glycan biosynthesis and metabolism	1.30541936134519	0.65259388755562	0.0607799777883023	0.433089116159913
09108 Metabolism of cofactors and vitamins	-0.457922710702741	0.670522989732605	0.503344655632514	0.81336509474333
09109 Metabolism of terpenoids and polyketides	-0.0214756958382411	0.545453160426804	0.969027044804205	0.988407585700289
09110 Biosynthesis of other secondary metabolites	-0.349864506454834	0.641537777779637	0.592205142970847	0.885344464084187
09111 Xenobiotics biodegradation and metabolism	1.19349958681744	0.620255236909162	0.0702862691980162	0.433089116159913
09121 Transcription	-0.740724360413398	0.453982974785682	0.120132795812573	0.43762661331723
09122 Translation	0.106556521985494	0.731477489639287	0.885798446218766	0.941160849107439
09123 Folding, sorting and degradation	0.16225826980337	0.626714523995206	0.798647647209948	0.925705227447895
09124 Replication and repair	0.861049931550308	0.804135491000362	0.298418042525988	0.698220397228473
09131 Membrane transport	1.09041669307449	0.712785858071801	0.143451604254319	0.469797254298035
09132 Signal transduction	-0.532233911798935	0.676091922543048	0.44139533343524	0.785302941417634
09141 Transport and catabolism	-0.210307916282169	0.490584129712261	0.673236082286581	0.896725646091975
09142 Cell motility	1.34386550576665	0.745519502374162	0.0882223240607164	0.433089116159913
09143 Cell growth and death	1.39989456367861	0.752460507504905	0.0792445421891288	0.433089116159913
09144 Cellular community - eukaryotes	-1.51882064482026	0.613409134144609	0.0234458799268766	0.433089116159913
09145 Cellular community - prokaryotes	1.00964605001202	0.666872974704389	0.147387373897423	0.469797254298035
09149 Aging	-0.307887477834529	0.618489811491252	0.624648232540635	0.885344464084187
09151 Immune system	-0.409607844061264	0.609869435871199	0.510346726113462	0.81336509474333
09152 Endocrine system	-0.862335290693496	0.78648091644386	0.287335920341725	0.698220397228473
09153 Circulatory system	-0.233367612019281	0.313435097179804	0.466154995852848	0.792463492949842
09154 Digestive system	-0.158515621598032	0.502537892852333	0.756062799646175	0.896725646091975
09155 Excretory system	-0.767511488722378	0.43187022035946	0.0924401924708869	0.433089116159913
09156 Nervous system	0.0786116245975309	0.499702223534442	0.876746302786335	0.941160849107439
09157 Sensory system	-0.491868641756904	0.269085109468221	0.0841843374220166	0.433089116159913
09158 Development and regeneration	-0.517026465985966	0.292557583091065	0.0941334861699833	0.433089116159913
09159 Environmental adaptation	0.420052834245399	0.509418239322124	0.420406919825566	0.785302941417634
09161 Cancer: overview	-0.690749183881005	0.729059512183739	0.35595549662628	0.698220397228473
09162 Cancer: specific types	-1.27967633782046	0.762093180160805	0.110395264903507	0.433089116159913
09163 Immune disease	-0.220614323928273	0.221717612615782	0.332913532237759	0.698220397228473
09164 Neurodegenerative disease	-1.45048042205107	0.744240043239998	0.0670622013320079	0.433089116159913
09165 Substance dependence	-0.373091333220688	0.333181377250204	0.277525566479674	0.698220397228473
09166 Cardiovascular disease	-0.0045321850250959	0.658094498453155	0.994580901653487	0.994580901653487
09167 Endocrine and metabolic disease	-0.184881935031364	0.563565999102284	0.746653600793092	0.896725646091975
09171 Infectious disease: bacterial	-0.320359739738991	0.831095939513839	0.704409182611417	0.896725646091975
09172 Infectious disease: viral	-1.36024116002773	0.604517310393983	0.0371856449518339	0.433089116159913
09174 Infectious disease: parasitic	-0.49022163539952	0.284971152466988	0.102532540018975	0.433089116159913
09175 Drug resistance: antimicrobial	0.75413165645913	0.708529702007388	0.301235555007596	0.698220397228473
09176 Drug resistance: antineoplastic	0.133305288790123	0.372642840684064	0.724706214924564	0.896725646091975
09181 Protein families: metabolism	-0.0590931909147576	0.364863981994544	0.873141910984566	0.941160849107439
09182 Protein families: genetic information processing	-0.237167314842829	0.304753220195035	0.446544809825713	0.785302941417634
09183 Protein families: signaling and cellular processes	0.210286908857727	0.411071382506563	0.615178652809232	0.885344464084187
09191 Unclassified: metabolism	-0.252433645964115	0.646995504950121	0.70099461610982	0.896725646091975
09192 Unclassified: genetic information processing	0.830170486331395	0.812822451014231	0.320623707077765	0.698220397228473
09193 Unclassified: signaling and cellular processes	0.659965469677939	0.677717274088232	0.343058608195015	0.698220397228473
09194 Poorly characterized	0.403336420058393	0.810938358461588	0.624949033471191	0.885344464084187
