Representative_ASV	Beta	SE	P	FDR_BH
09101 Carbohydrate metabolism	-0.521568195506691	0.407484443100849	0.216806554759515	0.976073693994715
09102 Energy metabolism	0.14174773210504	0.77322769242217	0.856596460037832	0.981338241607456
09103 Lipid metabolism	0.969205569309113	0.698931437399341	0.182469968560436	0.976073693994715
09104 Nucleotide metabolism	0.258024671511666	0.801376676652182	0.751179548259769	0.976073693994715
09105 Amino acid metabolism	-0.19761824684943	0.652734719985702	0.765547995289973	0.976073693994715
09106 Metabolism of other amino acids	0.0742239409739037	0.826997711869501	0.929476157460885	0.981338241607456
09107 Glycan biosynthesis and metabolism	-0.668222676695924	0.70409185956385	0.355161323979462	0.976073693994715
09108 Metabolism of cofactors and vitamins	-0.546821239629384	0.666812449749913	0.422913032828825	0.976073693994715
09109 Metabolism of terpenoids and polyketides	0.691392769908544	0.520564968043936	0.200721698559673	0.976073693994715
09110 Biosynthesis of other secondary metabolites	0.348158623861392	0.641589333488835	0.594026613767717	0.976073693994715
09111 Xenobiotics biodegradation and metabolism	0.516564579141988	0.670095364678607	0.450777800818104	0.976073693994715
09121 Transcription	-0.357691407337705	0.479034861891957	0.464891694117553	0.976073693994715
09122 Translation	0.273872211392589	0.729056316430373	0.711565257375651	0.976073693994715
09123 Folding, sorting and degradation	-0.429553296901833	0.619663502493178	0.497029467250951	0.976073693994715
09124 Replication and repair	-0.0386352066715084	0.829301054013536	0.96335484934757	0.981338241607456
09131 Membrane transport	-0.031209727953281	0.757671166866872	0.967596577110542	0.981338241607456
09132 Signal transduction	-0.802830096266671	0.661082527731785	0.240280873785731	0.976073693994715
09141 Transport and catabolism	0.217573957912608	0.490408060380381	0.662576053396716	0.976073693994715
09142 Cell motility	0.812570056165414	0.787051188261063	0.31554699267298	0.976073693994715
09143 Cell growth and death	-0.0256599002354303	0.821603751320772	0.975428633097458	0.981338241607456
09144 Cellular community - eukaryotes	-0.643409548420005	0.693850531833882	0.366037256752185	0.976073693994715
09145 Cellular community - prokaryotes	0.0167937961677348	0.708051130990889	0.981338241607456	0.981338241607456
09149 Aging	0.166958521062136	0.621488052794115	0.791259095080008	0.981338241607456
09151 Immune system	0.553586537851682	0.603519936594351	0.371132124142222	0.976073693994715
09152 Endocrine system	-0.693647741548663	0.795697288161166	0.394825014465704	0.976073693994715
09153 Circulatory system	0.107923759403273	0.317206643748719	0.737620347307717	0.976073693994715
09154 Digestive system	0.179536314701232	0.502144950384429	0.724846399651836	0.976073693994715
09155 Excretory system	-0.0408103556406003	0.468129989686699	0.931493004017612	0.981338241607456
09156 Nervous system	1.27604529737025	0.399480899715557	0.00502551170926259	0.234114348169692
09157 Sensory system	-0.446168854982767	0.273474602117778	0.120160553793248	0.976073693994715
09158 Development and regeneration	-0.255751134591686	0.311138289486144	0.421840444214858	0.976073693994715
09159 Environmental adaptation	1.24768507034328	0.42758048721024	0.00918095483018401	0.234114348169692
09161 Cancer: overview	0.418635104815382	0.740472033591079	0.578806870046276	0.976073693994715
09162 Cancer: specific types	-0.355395671543146	0.815319082755094	0.668093708836553	0.976073693994715
09163 Immune disease	-0.225012933992644	0.221471901259017	0.323097547830029	0.976073693994715
09164 Neurodegenerative disease	0.357121463292241	0.8146722609779	0.666339552363081	0.976073693994715
09165 Substance dependence	-0.179126351603655	0.341994788436553	0.606828502905669	0.976073693994715
09166 Cardiovascular disease	0.236768741361622	0.655724863707363	0.722243250460857	0.976073693994715
09167 Endocrine and metabolic disease	0.505896941839878	0.552527980705895	0.371978513949167	0.976073693994715
09171 Infectious disease: bacterial	0.606895834734095	0.822167734332811	0.469929342389802	0.976073693994715
09172 Infectious disease: viral	-0.903120468252644	0.650323451464485	0.181862096108992	0.976073693994715
09174 Infectious disease: parasitic	-0.258205766968058	0.301422652047176	0.402913606552285	0.976073693994715
09175 Drug resistance: antimicrobial	-0.357897653119022	0.725598676972865	0.627803482931572	0.976073693994715
09176 Drug resistance: antineoplastic	0.0199715910718795	0.373935511107128	0.957994191373028	0.981338241607456
09181 Protein families: metabolism	-0.33868771573958	0.356296201124544	0.354408251747276	0.976073693994715
09182 Protein families: genetic information processing	-0.543430975019069	0.28212217256654	0.0700180853942309	0.976073693994715
09183 Protein families: signaling and cellular processes	-0.642071462133157	0.385400159202278	0.113023102368526	0.976073693994715
09191 Unclassified: metabolism	-0.239082173525911	0.647277192964617	0.716164362258793	0.976073693994715
09192 Unclassified: genetic information processing	0.168068971961013	0.83510418248097	0.842755876508622	0.981338241607456
09193 Unclassified: signaling and cellular processes	-0.0981340856090415	0.694955505656674	0.889273055788834	0.981338241607456
09194 Poorly characterized	-0.325459171520452	0.812880166700052	0.693590275232732	0.976073693994715
