IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
C2 domain (IPR000008)	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAS domain (IPR000014)	1	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphofructokinase domain (IPR000023)	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
SsrA-binding protein (IPR000037)	0	0	0	0	0	0	0	2	0	0	5	0	5	0	0	5	2	5	0	5
"IQ motif, EF-hand binding site (IPR000048)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Type I restriction modification DNA specificity domain (IPR000055)	0	0	0	0	0	0	1	2	0	0	7	0	5	0	3	7	6	8	2	7
Ribulose-phosphate 3-epimerase-like (IPR000056)	0	0	0	0	0	0	0	3	0	0	5	0	5	0	6	5	5	5	0	5
"Endopeptidase, NLPC/P60 domain (IPR000064)"	2	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1
Flagellar M-ring protein FliF (IPR000067)	0	0	0	0	0	0	0	4	0	0	8	0	6	0	6	8	7	8	7	8
Alpha/beta hydrolase fold-1 (IPR000073)	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Bacterial DNA recombination protein RuvA (IPR000085)	0	0	2	0	0	0	0	0	0	0	1	1	2	0	2	2	0	2	1	2
NUDIX hydrolase domain (IPR000086)	0	2	0	0	0	0	2	0	0	2	3	2	2	0	2	4	2	3	0	2
Biotin/lipoyl attachment (IPR000089)	0	0	0	0	0	0	1	2	0	0	2	0	2	0	0	4	0	2	4	2
Flagellar motor switch protein FliG (IPR000090)	0	0	0	0	0	0	0	4	0	0	8	0	7	0	4	10	10	10	4	10
Polyprenyl synthetase (IPR000092)	0	0	0	0	0	0	1	2	0	0	4	1	3	0	5	4	2	4	0	4
DNA recombination protein RecR (IPR000093)	0	0	0	0	0	0	0	0	0	0	3	1	3	0	1	3	2	3	0	3
