IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693	ENTRY_AC	ENTRY_TYPE	ENTRY_NAME
IPR000008	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000008	Domain	C2 domain
IPR000014	1	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IPR000014	Domain	PAS domain
IPR000023	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	IPR000023	Domain	Phosphofructokinase domain
IPR000037	0	0	0	0	0	0	0	2	0	0	5	0	5	0	0	5	2	5	0	5	IPR000037	Family	SsrA-binding protein
IPR000048	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	IPR000048	Binding_site	IQ motif, EF-hand binding site
IPR000055	0	0	0	0	0	0	1	2	0	0	7	0	5	0	3	7	6	8	2	7	IPR000055	Domain	Type I restriction modification DNA specificity domain
IPR000056	0	0	0	0	0	0	0	3	0	0	5	0	5	0	6	5	5	5	0	5	IPR000056	Family	Ribulose-phosphate 3-epimerase-like
IPR000064	2	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	IPR000064	Domain	Endopeptidase, NLPC/P60 domain
IPR000067	0	0	0	0	0	0	0	4	0	0	8	0	6	0	6	8	7	8	7	8	IPR000067	Family	Flagellar M-ring protein FliF
IPR000073	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	IPR000073	Domain	Alpha/beta hydrolase fold-1
IPR000085	0	0	2	0	0	0	0	0	0	0	1	1	2	0	2	2	0	2	1	2	IPR000085	Family	Bacterial DNA recombination protein RuvA
IPR000086	0	2	0	0	0	0	2	0	0	2	3	2	2	0	2	4	2	3	0	2	IPR000086	Domain	NUDIX hydrolase domain
IPR000089	0	0	0	0	0	0	1	2	0	0	2	0	2	0	0	4	0	2	4	2	IPR000089	Domain	Biotin/lipoyl attachment
