Representative_ASV	Beta	SE	P	FDR_BH
C2 domain (IPR000008)	-0.0724631425463283	0.433459141165553	0.869096819016091	0.917331908772335
PAS domain (IPR000014)	-0.989946790516689	0.603426428903048	0.118250133438292	0.329283529817331
Phosphofructokinase domain (IPR000023)	-1.19916702691098	0.494064851205358	0.0259379746599041	0.1304898582831
SsrA-binding protein (IPR000037)	0.589746524081208	0.434108352912425	0.191080698599031	0.439942042757053
IQ motif, EF-hand binding site (IPR000048)	-0.39670844570314	0.294753379273554	0.195043099990727	0.440544862274899
Type I restriction modification DNA specificity domain (IPR000055)	1.22413422727424	0.378075871165179	0.00456647496137466	0.0536778824383152
Ribulose-phosphate 3-epimerase-like (IPR000056)	0.831620858466531	0.44312244490807	0.0768631781137501	0.246765131249367
Endopeptidase, NLPC/P60 domain (IPR000064)	-0.0822147203550528	0.520960218213445	0.876360404005342	0.923619401935054
Flagellar M-ring protein FliF (IPR000067)	1.20265971291771	0.490393120922084	0.0246190321446102	0.12580673145227
Alpha/beta hydrolase fold-1 (IPR000073)	-0.778583703855634	0.45983447535584	0.10765572182748	0.309713799241504
Bacterial DNA recombination protein RuvA (IPR000085)	0.578928921368833	0.37631749198203	0.14134328219714	0.369111366870734
NUDIX hydrolase domain (IPR000086)	-0.522771285402527	0.634505517030929	0.420777800111598	0.622651308539179
Biotin/lipoyl attachment (IPR000089)	0.725723189497011	0.463697728722567	0.134975346920717	0.356654483670255
Flagellar motor switch protein FliG (IPR000090)	1.21357771877582	0.479557050813172	0.0209298909932991	0.116182811129033
Polyprenyl synthetase (IPR000092)	1.02368469983578	0.351300345380835	0.00926120703792633	0.0686358831267172
DNA recombination protein RecR (IPR000093)	0.322851312608941	0.241707697206687	0.198288878637094	0.442834720537081
Ribonuclease P (IPR000100)	0.468323130782553	0.37397258716458	0.226490753617797	0.477172024884787
Gamma-glutamyltranspeptidase (IPR000101)	0.486035138316176	0.311538595812414	0.136142422856716	0.359514330843918
Ribosomal protein S1 (IPR000110)	-0.272902653191493	0.169883560388242	0.125583863824298	0.341192291145962
Ribosomal protein L16 (IPR000114)	1.04894930665626	0.466474261475449	0.0372942535532046	0.15567414303065
Phosphoribosylglycinamide synthetase (IPR000115)	-0.0768663729143047	0.517910675315785	0.883664286144414	0.925795513225904
Histone-like DNA-binding protein (IPR000119)	0.353902823109491	0.39541496426187	0.382590987084379	0.586489910526765
Amidase (IPR000120)	0.553617653202491	0.368971343412571	0.150838589524594	0.383517061255277
PEP-utilising enzyme, C-terminal (IPR000121)	-0.00753787350154069	0.179369187771977	0.966941938986524	0.977079047710709
ATP synthase, F1 complex, gamma subunit (IPR000131)	1.26733486763018	0.484814771210972	0.0175718142208715	0.105108694091278
Fructose-1,6-bisphosphatase class 1 (IPR000146)	0.113634927390149	0.212471938775087	0.599317316374907	0.74813609516193
Cell division protein FtsZ (IPR000158)	0.153626492019926	0.298853216033497	0.61346793940727	0.750206900526595
GGDEF domain (IPR000160)	-0.783663365970788	0.212187319728254	0.00166343460597055	0.0320664825632777
Prohibitin (IPR000163)	0.714628775386862	0.34036888649378	0.0501324815372577	0.187574832867734
Glucose-methanol-choline oxidoreductase, N-terminal (IPR000172)	-1.32242644157583	0.438137445780631	0.00738554754685317	0.0616576912326856
Sodium:neurotransmitter symporter (IPR000175)	1.81727497513995	0.37928564650661	0.000146144189688328	0.0314934754114364
Translation initiation factor IF-2, bacterial-like (IPR000178)	0.315336648562145	0.227683249191493	0.18298557140517	0.428279143669605
GNAT domain (IPR000182)	1.4520785605193	0.406971416609194	0.00219814402659325	0.0402388737219198
Ornithine/DAP/Arg decarboxylase (IPR000183)	0.829156892106349	0.403084290068807	0.0544717306585581	0.200012649110775
Bacterial surface antigen (D15) (IPR000184)	0.790833855301246	0.583483415131287	0.192065622620072	0.440544862274899
Protein translocase subunit SecA (IPR000185)	1.05266254967336	0.661454427725632	0.128920502541967	0.347049860779625
Aminotransferase class V domain (IPR000192)	0.785088508150389	0.496673366819515	0.131360031146143	0.349496795540021
ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain (IPR000194)	0.344430054074021	0.511089370464423	0.508928733420696	0.698726694217279
Ribosomal protein L7/L12 (IPR000206)	0.336444672125078	0.285340568289824	0.25371013825031	0.499438705327915
Peptidase S8/S53 domain (IPR000209)	-0.0904279881694617	0.31190212349838	0.775187560721856	0.871785016540462
DNA helicase, UvrD/REP type (IPR000212)	-0.040037016968853	0.78614435569715	0.959943539283051	0.97093263775326
Zinc finger, DNA glycosylase/AP lyase-type (IPR000214)	-0.260456646017954	0.273060520509333	0.352798416156995	0.569770785575711
Ribosomal protein L14P (IPR000218)	1.10955397331525	0.395785884770875	0.0117502887837979	0.0825049250531242
Peptidase S26A, signal peptidase I (IPR000223)	0.756142839539871	0.455879712554714	0.114510549788154	0.321839591972989
Ribosomal protein S5/S7 (IPR000235)	0.162101968734059	0.615607905978756	0.795294476321108	0.871785016540462
Ribosome-binding factor A (IPR000238)	0.403573488363212	0.359640043733929	0.276541180934464	0.520302173758613
Ribosomal protein L9 (IPR000244)	0.0362152398064744	0.255769191993121	0.888973846516047	0.929979793555638
V-ATPase proteolipid subunit (IPR000245)	-1.0717827426579	1.07285149828136	0.331034172273436	0.569770785575711
Uroporphyrinogen decarboxylase (URO-D) (IPR000257)	0.151871444974259	0.348615236793711	0.668275774684325	0.797680146477969
FMN-dependent dehydrogenase (IPR000262)	-0.286853623088605	0.238401215316091	0.24447128702002	0.491142931431505
Ribosomal protein S17/S11 (IPR000266)	0.93230781009587	0.47242778258356	0.0639997063347262	0.223209502109847
Ribosomal protein L34 (IPR000271)	-0.272821336839331	0.302761366764971	0.379428971656892	0.584493246403137
G protein-coupled receptor, rhodopsin-like (IPR000276)	-0.377934021018135	0.274976675189916	0.18618237832317	0.432894444335835
Cys/Met metabolism, pyridoxal phosphate-dependent enzyme (IPR000277)	-0.378904177169689	0.77654328310296	0.631484886254595	0.767371748597632
Helix-turn-helix protein RpiR (IPR000281)	-0.421221721604202	0.212953111798888	0.0634433978210663	0.221999546335926
D-alanine--D-alanine ligase/VANA/B/C, conserved site (IPR000291)	0.704189707616645	0.322461005048305	0.0424556892306235	0.170829770424169
Formate/nitrite transporter (IPR000292)	-0.854680813547913	0.270095098043248	0.00536645925549022	0.0536778824383152
Peptidyl-prolyl cis-trans isomerase, PpiC-type (IPR000297)	0.653631368097812	0.335813450546517	0.067385754946567	0.229100389848874
Cytochrome c oxidase subunit III-like (IPR000298)	-0.189541506272571	0.332304524674541	0.575468239666732	0.74813609516193
Pyrroline-5-carboxylate reductase (IPR000304)	0.325058247147165	0.311756804444356	0.31090529030567	0.554012326128718
GIY-YIG endonuclease (IPR000305)	0.354080995246494	0.343843328866	0.316755523514443	0.559733406343647
Ribosomal protein S16 (IPR000307)	0.0366913452889247	0.525248130511539	0.945079089032902	0.964580103457315
Glycosyl transferase, family 3 (IPR000312)	0.181892950002763	0.546551043197297	0.743128961371834	0.847890751998372
Aspartate-semialdehyde dehydrogenase, conserved site (IPR000319)	-0.207552361681199	0.162657301617455	0.218172221912022	0.464725461139571
Glycoside hydrolase family 31 (IPR000322)	-0.0864305799077719	0.375242595548814	0.820430828653391	0.882884329946468
Phosphatidic acid phosphatase type 2/haloperoxidase (IPR000326)	0.713516980765363	0.324162437840476	0.0410178002333956	0.167749750038409
SNF2, N-terminal (IPR000330)	0.240127290508152	0.436704299230939	0.589172145619928	0.74813609516193
Dual specificity phosphatase, catalytic domain (IPR000340)	-0.260456646017954	0.273060520509333	0.352798416156995	0.569770785575711
Glutamyl-tRNA reductase (IPR000343)	0.169869601007507	0.239324888223669	0.486930449721723	0.676407480271807
Peptide chain release factor class I (IPR000352)	0.945910321982627	0.317975374187096	0.00811811949901297	0.0658094242826168
Ribonucleotide reductase small subunit family (IPR000358)	0.522513671529554	0.490476684908304	0.300814212935548	0.541134174625934
Fumarate lyase family (IPR000362)	1.61067837739912	0.458244435143201	0.00247357246739917	0.0441807111008287
GPCR fungal pheromone mating factor, STE2 (IPR000366)	-2.03485828700629	1.05482255797645	0.069637754706246	0.233280977653388
Phosphatidate cytidylyltransferase (IPR000374)	-0.283126312469139	0.308565396344856	0.370982322484144	0.584493246403137
DNA topoisomerase, type IA (IPR000380)	0.743336038321278	0.50685668730397	0.159749196248052	0.391842881022548
