Representative_ASV	Beta	SE	P	FDR_BH
C2 domain (IPR000008)	-0.620350174961405	0.387121156247771	0.126454599277984	0.719070155704038
PAS domain (IPR000014)	-0.585112764511878	0.601561873471011	0.343614774428452	0.831300774872257
Phosphofructokinase domain (IPR000023)	-0.544303543320365	0.527608563624614	0.315902777928269	0.829260223830661
SsrA-binding protein (IPR000037)	0.654092779488794	0.406576050595836	0.125061766005944	0.719070155704038
IQ motif, EF-hand binding site (IPR000048)	-0.43839690388987	0.276295822404574	0.129992701290432	0.719070155704038
Type I restriction modification DNA specificity domain (IPR000055)	0.876676335580774	0.403901620489658	0.04358977701601	0.687429738653897
Ribulose-phosphate 3-epimerase-like (IPR000056)	0.330806596974089	0.455598063860602	0.477117831144526	0.938387221079327
Endopeptidase, NLPC/P60 domain (IPR000064)	-0.135113955941985	0.496287313610443	0.788528599346604	0.995574708535332
Flagellar M-ring protein FliF (IPR000067)	0.82771168160466	0.503888197932122	0.117809640120748	0.719070155704038
Alpha/beta hydrolase fold-1 (IPR000073)	-0.499712478958931	0.457373950354916	0.28899096286262	0.829260223830661
Bacterial DNA recombination protein RuvA (IPR000085)	-0.259888014673004	0.376910242361523	0.499288100398006	0.938387221079327
NUDIX hydrolase domain (IPR000086)	-0.244599834985399	0.613885966055948	0.694988824818413	0.963218171913363
Biotin/lipoyl attachment (IPR000089)	1.21013737760204	0.375410609388095	0.00471247431785466	0.687429738653897
Flagellar motor switch protein FliG (IPR000090)	0.812245605038575	0.49707301631635	0.119614966961976	0.719070155704038
Polyprenyl synthetase (IPR000092)	0.290878428894651	0.400728075473487	0.477248372667902	0.938387221079327
DNA recombination protein RecR (IPR000093)	-0.14323501824537	0.239362358808416	0.557027205133954	0.938387221079327
Ribonuclease P (IPR000100)	0.468173222575289	0.355217775317358	0.204035225718548	0.777382397396256
Gamma-glutamyltranspeptidase (IPR000101)	0.00813791221252122	0.316639065085052	0.979778688160825	0.999848737548154
Ribosomal protein S1 (IPR000110)	0.015030888264913	0.173250116223058	0.931821462223284	0.999848737548154
Ribosomal protein L16 (IPR000114)	0.909528075308401	0.455722011127314	0.0613149180165131	0.687429738653897
Phosphoribosylglycinamide synthetase (IPR000115)	0.514710699916138	0.47924019809882	0.297003833483768	0.829260223830661
Histone-like DNA-binding protein (IPR000119)	0.298998348055569	0.379007255019065	0.440438952820074	0.910026721175298
Amidase (IPR000120)	0.10306932141757	0.372547959283925	0.785192596673533	0.994515531755532
PEP-utilising enzyme, C-terminal (IPR000121)	-0.230057949673331	0.162296674509081	0.173410828407666	0.764573062580451
ATP synthase, F1 complex, gamma subunit (IPR000131)	0.616245870017208	0.523443159402216	0.254411720006106	0.802797696834743
Fructose-1,6-bisphosphatase class 1 (IPR000146)	-0.00411280908780638	0.204287088363984	0.984159169376583	0.999848737548154
Cell division protein FtsZ (IPR000158)	-0.247478070487227	0.281186232622864	0.390393137050962	0.879732887477752
GGDEF domain (IPR000160)	0.0268420283548525	0.268288866400184	0.921411346833073	0.999848737548154
Prohibitin (IPR000163)	0.308667496033795	0.354893975714795	0.395889848079972	0.887897928428267
Glucose-methanol-choline oxidoreductase, N-terminal (IPR000172)	0.517116427155443	0.498240596956139	0.313065843823552	0.829260223830661
Sodium:neurotransmitter symporter (IPR000175)	0.0584133897607628	0.545600575103187	0.915923624826805	0.999848737548154
Translation initiation factor IF-2, bacterial-like (IPR000178)	0.295300895831908	0.217615728804741	0.191560768084707	0.777382397396256
GNAT domain (IPR000182)	0.31631025892316	0.501755894322534	0.536350704842878	0.938387221079327
Ornithine/DAP/Arg decarboxylase (IPR000183)	-0.283483757959193	0.42207393800085	0.510338791316239	0.938387221079327
Bacterial surface antigen (D15) (IPR000184)	-0.268050241173092	0.580894810242806	0.650007813040243	0.941228717396333
Protein translocase subunit SecA (IPR000185)	1.58156487364331	0.561428329161844	0.011412068897339	0.687429738653897
Aminotransferase class V domain (IPR000192)	-0.295086231807461	0.500805259451832	0.563034247993367	0.938387221079327
ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain (IPR000194)	0.38315611441407	0.485329485625732	0.440109992844047	0.910026721175298
Ribosomal protein L7/L12 (IPR000206)	0.034772357935563	0.282395063963465	0.903365672982757	0.999848737548154
Peptidase S8/S53 domain (IPR000209)	0.0708630150778334	0.297761479272468	0.81458009633979	0.999848737548154
DNA helicase, UvrD/REP type (IPR000212)	-0.62294331864515	0.735474759971307	0.408118803271223	0.892366862876965
Zinc finger, DNA glycosylase/AP lyase-type (IPR000214)	-0.449276086802226	0.245086109180927	0.0833751210355641	0.687429738653897
Ribosomal protein L14P (IPR000218)	0.338187800914368	0.445459079794411	0.457566891596105	0.923539250068259
Peptidase S26A, signal peptidase I (IPR000223)	-0.283127227051243	0.462140447833865	0.547774973233358	0.938387221079327
Ribosomal protein S5/S7 (IPR000235)	-0.244260215506346	0.585559008279188	0.681508714955959	0.951688659903925
Ribosome-binding factor A (IPR000238)	0.364308747846991	0.344326814912378	0.304033961313615	0.829260223830661
Ribosomal protein L9 (IPR000244)	0.109822456513629	0.242747857310462	0.656376016259436	0.943257306650003
V-ATPase proteolipid subunit (IPR000245)	-2.67731289961271	0.840994073462634	0.00514561140620821	0.687429738653897
Uroporphyrinogen decarboxylase (URO-D) (IPR000257)	0.536328365408676	0.309483861623216	0.100197265728247	0.701310928959519
FMN-dependent dehydrogenase (IPR000262)	0.000900849092846367	0.236389288612881	0.997001290280022	0.999848737548154
Ribosomal protein S17/S11 (IPR000266)	0.0435710571839147	0.496928969259603	0.931098595199594	0.999848737548154
Ribosomal protein L34 (IPR000271)	-0.206058901290999	0.291236443664742	0.488296867859853	0.938387221079327
G protein-coupled receptor, rhodopsin-like (IPR000276)	0.0482123682414921	0.275497731015768	0.863032332647355	0.999848737548154
Cys/Met metabolism, pyridoxal phosphate-dependent enzyme (IPR000277)	-0.730088563604638	0.72552957050913	0.327615838939197	0.829260223830661
Helix-turn-helix protein RpiR (IPR000281)	-0.393782741749937	0.204016811716612	0.0694994914662531	0.687429738653897
D-alanine--D-alanine ligase/VANA/B/C, conserved site (IPR000291)	0.66164292656811	0.308823278608656	0.0460775886739136	0.687429738653897
Formate/nitrite transporter (IPR000292)	0.0914679056500359	0.3207034878596	0.778738912368217	0.991185992603124
Peptidyl-prolyl cis-trans isomerase, PpiC-type (IPR000297)	0.634725521859646	0.319121193751252	0.0621225933433891	0.687429738653897
Cytochrome c oxidase subunit III-like (IPR000298)	-0.513808863970525	0.296036394373266	0.0997167431149029	0.701310928959519
Pyrroline-5-carboxylate reductase (IPR000304)	-0.0489609055893961	0.306028865180058	0.874672306487349	0.999848737548154
GIY-YIG endonuclease (IPR000305)	0.454385085319418	0.320087004660284	0.17282065201514	0.764573062580451
Ribosomal protein S16 (IPR000307)	0.186677494729272	0.499187267800321	0.712800543824814	0.965866220181081
Glycosyl transferase, family 3 (IPR000312)	0.46541536100458	0.511343408979431	0.374754331852797	0.86096339085346
Aspartate-semialdehyde dehydrogenase, conserved site (IPR000319)	0.133968418813647	0.158924440923004	0.410307800662599	0.892366862876965
Glycoside hydrolase family 31 (IPR000322)	-0.442847963662275	0.34295305432565	0.212944278793055	0.777382397396256
Phosphatidic acid phosphatase type 2/haloperoxidase (IPR000326)	-0.0724101921261309	0.34795235377679	0.837484490535183	0.999848737548154
SNF2, N-terminal (IPR000330)	-0.811805296526514	0.37396406098314	0.0435645841734975	0.687429738653897
Dual specificity phosphatase, catalytic domain (IPR000340)	-0.449276086802226	0.245086109180927	0.0833751210355641	0.687429738653897
Glutamyl-tRNA reductase (IPR000343)	-0.0391654677471553	0.231290126001066	0.867421791228152	0.999848737548154
Peptide chain release factor class I (IPR000352)	0.305525116289587	0.363396642518985	0.411518726587036	0.893221708293464
Ribonucleotide reductase small subunit family (IPR000358)	0.308585585354244	0.476894891980496	0.525751698372358	0.938387221079327
Fumarate lyase family (IPR000362)	1.03378723819758	0.512709901162303	0.0589396026860107	0.687429738653897
GPCR fungal pheromone mating factor, STE2 (IPR000366)	-2.20092744784779	0.976078479744798	0.0368331774765875	0.687429738653897
Phosphatidate cytidylyltransferase (IPR000374)	0.457353212117412	0.28120342112869	0.121240451499757	0.719070155704038
DNA topoisomerase, type IA (IPR000380)	-0.157401565690115	0.51023559270041	0.761252704663227	0.991185992603124
MoaA/NifB/PqqE, iron-sulphur binding, conserved site (IPR000385)	-0.37234738945559	0.294683648273642	0.222512427479682	0.777382397396256
Tyrosine-specific protein phosphatases domain (IPR000387)	-0.449276086802226	0.245086109180927	0.0833751210355641	0.687429738653897
RNA polymerase sigma factor 54 (IPR000394)	0.875134202635962	0.452306778645174	0.0688858048804235	0.687429738653897
Heat shock protein Hsp33 (IPR000397)	-0.394597615312129	0.20588764963361	0.0713095714737528	0.687429738653897
TPP-binding enzyme, conserved site (IPR000399)	-0.504307018236831	0.526216346584057	0.350575720281669	0.83606691232077
ABC-2 transporter (IPR000412)	-0.212434011321648	0.554073632769269	0.705910962895406	0.965866220181081
Nitroreductase-like (IPR000415)	-0.0965716558814999	0.642193435124317	0.882138831285113	0.999848737548154
Hydroxyethylthiazole kinase (IPR000417)	0.830225112735654	0.506774672031732	0.118730444753695	0.719070155704038
3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB (IPR000422)	0.39508065622897	0.495841781686188	0.435958626575028	0.908682516811587
Primosome PriB/single-strand DNA-binding (IPR000424)	-0.00529841015314233	0.465019783234389	0.991034479431739	0.999848737548154
Copper ion binding protein (IPR000428)	0.580283600982345	0.426930704978876	0.190870726649295	0.777382397396256
DNA mismatch repair protein MutS, C-terminal (IPR000432)	-0.133788389856267	0.372966082969131	0.723981524479627	0.96949973012886
Acetyl-CoA carboxylase carboxyl transferase, beta subunit (IPR000438)	0.0926250498412351	0.355419870685257	0.797353309965785	0.997128587736132
NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 (IPR000440)	-0.0646367982692684	0.387942280131812	0.869530761723173	0.999848737548154
Helix-hairpin-helix motif (IPR000445)	0.158066654272786	0.508932796998315	0.759684126423781	0.991185992603124
Chorismate synthase (IPR000453)	0.39520910408311	0.413783298395809	0.352173668526601	0.837202089810153
ATP synthase, F0 complex, subunit C (IPR000454)	-0.698560492631649	0.453618142361036	0.140961824143954	0.745521924207679
Ribosomal protein L17 (IPR000456)	0.534617504068898	0.447076996502746	0.247288176258413	0.790911881984864
CDP-alcohol phosphatidyltransferase (IPR000462)	0.118219173727184	0.40509036480486	0.773750224624916	0.991185992603124
Ribosomal protein L36 (IPR000473)	0.289669997030736	0.360099974621643	0.431653890978774	0.904915547029648
Reverse transcriptase domain (IPR000477)	-0.0183392418490928	0.42721525192714	0.966232015268292	0.999848737548154
Pterin-binding domain (IPR000489)	-0.0769167868287818	0.494560288207325	0.878137805736314	0.999848737548154
RNA recognition motif domain (IPR000504)	-0.135415223662024	0.274602798737445	0.627882015336883	0.938387221079327
Ketol-acid reductoisomerase, C-terminal (IPR000506)	-0.0736522788622137	0.197791165896654	0.713962557194292	0.965866220181081
ABC transporter type 1, transmembrane domain MetI-like (IPR000515)	-0.964212816963402	0.609540877232637	0.131091647986227	0.72202555728518
Nickel-dependent hydrogenase b-type cytochrome subunit (IPR000516)	-0.0273592357950747	0.470165099359778	0.95423787101525	0.999848737548154
Metallothionein, family 14, prokaryote (IPR000518)	-0.102315765420733	0.17275131376536	0.56103544262158	0.938387221079327
ABC transporter, permease protein, BtuC-like (IPR000522)	-0.59775340769096	0.668706853194945	0.383174933420116	0.870548637186597
Magnesium chelatase ChlI-like, catalytic domain (IPR000523)	-0.165929604466369	0.245969470931447	0.508506073908648	0.938387221079327
Transcription regulator HTH, GntR (IPR000524)	0.427505005720601	0.482082092067581	0.386887803619791	0.875088626747484
Initiator Rep protein (IPR000525)	0.229575249615425	0.455616828238707	0.620458467034338	0.938387221079327
Flagellar L-ring protein (IPR000527)	0.180302635472162	0.416994438227375	0.670596485636112	0.948117698247825
Ribosomal protein S6 (IPR000529)	0.00383655474401014	0.265787991174051	0.988642011861592	0.999848737548154
TonB-dependent receptor-like, beta-barrel (IPR000531)	1.02618529225087	0.548852734469408	0.0778830845457454	0.687429738653897
Semialdehyde dehydrogenase, NAD-binding (IPR000534)	0.17906236124847	0.404315651821243	0.6631306529531	0.945959333728253
UbiA prenyltransferase family (IPR000537)	0.222038916349456	0.294337827928174	0.46038457636673	0.927108731420371
Flagellar motor protein MotA, conserved site (IPR000540)	0.0909716126614186	0.18149563974572	0.622281626424567	0.938387221079327
Octanoyltransferase (IPR000544)	-0.324346278998077	0.157338645510215	0.0540053046727229	0.687429738653897
7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK (IPR000550)	0.492487484473395	0.421545201974773	0.25793087591385	0.805753056016291
MerR-type HTH domain (IPR000551)	0.336315999616588	0.714972581279502	0.643725805548671	0.939773198393086
DNA topoisomerase, type IIA, subunit B (IPR000565)	0.0218512464530274	0.426106486129216	0.95966626151536	0.999848737548154
ATP synthase, F0 complex, subunit A (IPR000568)	-0.0118867631503353	0.567828632047844	0.983528842253778	0.999848737548154
HECT domain (IPR000569)	-0.513808863970525	0.296036394373266	0.0997167431149029	0.701310928959519
Oxidoreductase, molybdopterin-binding domain (IPR000572)	0.000252618468511337	0.277820912517262	0.999284497119642	0.999848737548154
Aconitase A/isopropylmalate dehydratase small subunit, swivel domain (IPR000573)	-0.339414857935415	0.261679553701837	0.210989549681949	0.777382397396256
Dihydroxy-acid/6-phosphogluconate dehydratase (IPR000581)	0.0483855791741434	0.568398823456222	0.933100826533838	0.999848737548154
Creatinase, N-terminal (IPR000587)	0.00538486578312262	0.191272281119352	0.977850007747404	0.999848737548154
Ribosomal protein S15 (IPR000589)	-0.340207487898228	0.474303661950598	0.482407894156083	0.938387221079327
THIF-type NAD/FAD binding fold (IPR000594)	0.382475106577556	0.29129653305612	0.205673527487084	0.777382397396256
Cyclic nucleotide-binding domain (IPR000595)	0.205757705935779	0.270346315394031	0.456459495132194	0.923149603650757
Ribosomal protein L3 (IPR000597)	0.165440514731644	0.240845588944558	0.500890954183181	0.938387221079327
ROK family (IPR000600)	-0.947338437029433	0.564270691946145	0.110452078606322	0.719070155704038
EamA domain (IPR000620)	0.663810736853381	0.353468297024536	0.0766813953081702	0.687429738653897
Shikimate kinase/Threonine synthase-like 1 (IPR000623)	-0.0736522788622137	0.197791165896654	0.713962557194292	0.965866220181081
ATP-dependent RNA helicase DEAD-box, conserved site (IPR000629)	-0.339631349148696	0.35693634759949	0.35394454183768	0.839349687984607
Ribosomal protein S8 (IPR000630)	-0.255005532842703	0.413812461384559	0.545454794495863	0.938387221079327
ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase (IPR000631)	-0.149352181796739	0.510063533303176	0.773015367712507	0.991185992603124
Serine/threonine dehydratase, pyridoxal-phosphate-binding site (IPR000634)	0.0669503635271265	0.304335803273677	0.828355793388675	0.999848737548154
Elongation factor EFG, domain V-like (IPR000640)	-0.414690819380375	0.382171327568458	0.292200865910333	0.829260223830661
CbxX/CfxQ (IPR000641)	-1.0427388998364	0.634194077374824	0.117487335103033	0.719070155704038
Peptidase M41 (IPR000642)	0.385534918718613	0.268621813227729	0.168369767469855	0.764573062580451
CBS domain (IPR000644)	0.487256135467884	0.575466062437945	0.408270356018028	0.892366862876965
Triosephosphate isomerase (IPR000652)	-0.225955633425167	0.504987866510079	0.659889842508394	0.943557930572521
DegT/DnrJ/EryC1/StrS aminotransferase (IPR000653)	-0.11243807321853	0.507226433804679	0.827064389358333	0.999848737548154
Peptidase S13, D-Ala-D-Ala carboxypeptidase C (IPR000667)	0.0914679056500359	0.3207034878596	0.778738912368217	0.991185992603124
Peptidase A31 family (IPR000671)	0.808739483465612	0.558396054025108	0.164721866944602	0.764573062580451
Tetrahydrofolate dehydrogenase/cyclohydrolase (IPR000672)	0.0896813531432036	0.396288645178318	0.823515601483501	0.999848737548154
Protein-L-isoaspartate(D-aspartate) O-methyltransferase (IPR000682)	0.880890767109984	0.396203889602752	0.0392379553859255	0.687429738653897
Gfo/Idh/MocA-like oxidoreductase, N-terminal (IPR000683)	-0.561326144774628	0.480877376951789	0.258322193881922	0.805753056016291
Ribulose bisphosphate carboxylase, large subunit, C-terminal (IPR000685)	0.0268420283548525	0.268288866400184	0.921411346833073	0.999848737548154
Hydrogenase maturation factor HypA/HybF (IPR000688)	-0.328549284796944	0.468127586746724	0.491756804617128	0.938387221079327
PAS-associated, C-terminal (IPR000700)	-0.552709192529086	0.328550181848077	0.109783112292541	0.718955870876286
Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit (IPR000701)	-0.347677909696962	0.185493804758784	0.0772085243526569	0.687429738653897
Ribosomal protein L6 (IPR000702)	0.147023393753933	0.385198679976469	0.707165625509489	0.965866220181081
ATPase, OSCP/delta subunit (IPR000711)	-0.121458000094637	0.121309782441494	0.329990048100367	0.829260223830661
Mur ligase, N-terminal catalytic domain (IPR000713)	0.278452786136344	0.275261548061231	0.325138293907904	0.829260223830661
Glycosyl transferase, family 4 (IPR000715)	0.741177414162092	0.682815512777113	0.292036667948256	0.829260223830661
Proteasome component (PCI) domain (IPR000717)	-0.65098040075769	0.911356182114507	0.484203543850454	0.938387221079327
Protein kinase domain (IPR000719)	-1.2272949680371	0.587532973269518	0.051190926396789	0.687429738653897
RNA polymerase, alpha subunit (IPR000722)	0.0400819941182823	0.21911376117967	0.856899313586411	0.999848737548154
Target SNARE coiled-coil homology domain (IPR000727)	0.0268420283548525	0.268288866400184	0.921411346833073	0.999848737548154
Sterol-sensing domain (IPR000731)	-0.117061333920391	0.297918711834286	0.698985455003851	0.9656017311633
GrpE nucleotide exchange factor (IPR000740)	0.436832548400314	0.381412249787397	0.267083815915458	0.812793383107442
Pseudouridine synthase, RsuA/RluB/E/F (IPR000748)	-0.121458000094637	0.121309782441494	0.329990048100367	0.829260223830661
Ribosomal protein S9 (IPR000754)	0.536231623715979	0.388581713955269	0.184496529009154	0.777382397396256
Inositol monophosphatase-like (IPR000760)	0.126482993994812	0.243000112266205	0.609054641346217	0.938387221079327
Catalase-peroxidase haem (IPR000763)	-0.236198243421836	0.288441939291845	0.423566642166785	0.895040423233352
Fructose-bisphosphate aldolase, class-II (IPR000771)	0.271508008586335	0.556599357409989	0.631581466370323	0.938387221079327
MCP methyltransferase, CheR-type (IPR000780)	0.180174380788662	0.397106987106529	0.655454864542098	0.942299688312894
