Representative_ASV	Beta	SE	P	FDR_BH
C2 domain (IPR000008)	-0.05416858918227	0.413617531098992	0.897257198604534	0.960683610018134
PAS domain (IPR000014)	0.594774489857892	0.601035247185136	0.335494678560815	0.813489379646826
Phosphofructokinase domain (IPR000023)	-0.835299816462908	0.506031119995415	0.116141628421812	0.651252393886582
SsrA-binding protein (IPR000037)	1.00937464923573	0.363965330322787	0.0125336489248417	0.281244471377004
IQ motif, EF-hand binding site (IPR000048)	-0.548815066022938	0.265110326641405	0.0530997929144648	0.45824218219974
Type I restriction modification DNA specificity domain (IPR000055)	0.606819487817255	0.430554477724018	0.17576283133676	0.651252393886582
Ribulose-phosphate 3-epimerase-like (IPR000056)	0.899440359176858	0.410737329497474	0.0419504308941336	0.449788039317728
Endopeptidase, NLPC/P60 domain (IPR000064)	0.375207598256498	0.48938140073935	0.453200260986981	0.813489379646826
Flagellar M-ring protein FliF (IPR000067)	0.816799863387729	0.504876458998176	0.123090334173042	0.651252393886582
Alpha/beta hydrolase fold-1 (IPR000073)	0.687173471725791	0.443655392401349	0.138810846966592	0.651252393886582
Bacterial DNA recombination protein RuvA (IPR000085)	-0.0879770367158128	0.381292085147316	0.820123672859743	0.933730066200851
NUDIX hydrolase domain (IPR000086)	-0.320275427060922	0.611948634276141	0.607100786000597	0.886023522990195
Biotin/lipoyl attachment (IPR000089)	0.011697295814177	0.471468857666049	0.980479240137369	0.995059162406744
Flagellar motor switch protein FliG (IPR000090)	0.995349626450767	0.47821953047655	0.0519496301023262	0.45824218219974
Polyprenyl synthetase (IPR000092)	0.278777964584192	0.401205609200212	0.496021337149511	0.813489379646826
DNA recombination protein RecR (IPR000093)	0.310690244223144	0.230372396742298	0.194176324472297	0.660916366040941
Ribonuclease P (IPR000100)	0.945774623615004	0.297763006982237	0.00522812487698152	0.191092663564885
Gamma-glutamyltranspeptidase (IPR000101)	-0.227685595629603	0.312063993690114	0.475015843809796	0.813489379646826
Ribosomal protein S1 (IPR000110)	0.166505719281445	0.168783658854243	0.336961908260974	0.813489379646826
Ribosomal protein L16 (IPR000114)	0.190313850852275	0.501625573267918	0.708833867758163	0.886023522990195
Phosphoribosylglycinamide synthetase (IPR000115)	-0.433032461754966	0.48370623581553	0.382475345968034	0.813489379646826
Histone-like DNA-binding protein (IPR000119)	0.397911200630262	0.373920942103222	0.301324905018073	0.796687033972077
Amidase (IPR000120)	0.420668627402944	0.359931850519844	0.257752449907104	0.735123160763973
PEP-utilising enzyme, C-terminal (IPR000121)	0.127247298343137	0.168466708760875	0.459823629498997	0.813489379646826
ATP synthase, F1 complex, gamma subunit (IPR000131)	0.74696149774393	0.51389994883629	0.163293955463576	0.651252393886582
Fructose-1,6-bisphosphatase class 1 (IPR000146)	0.384537545569825	0.183082502918151	0.0500559580674679	0.45824218219974
Cell division protein FtsZ (IPR000158)	0.637291442374976	0.244754703319604	0.017955456030875	0.326820124579145
GGDEF domain (IPR000160)	-0.181034207705868	0.264949428627829	0.503131960106962	0.813489379646826
Prohibitin (IPR000163)	0.554708487136866	0.337858396487005	0.117979301286458	0.651252393886582
Glucose-methanol-choline oxidoreductase, N-terminal (IPR000172)	-0.664625451616241	0.488425410687337	0.190388295384179	0.652737882558048
Sodium:neurotransmitter symporter (IPR000175)	1.10428014527898	0.479711560372984	0.0334945239343882	0.433880733481229
Translation initiation factor IF-2, bacterial-like (IPR000178)	0.213601143396525	0.22285970527526	0.350530974978157	0.813489379646826
GNAT domain (IPR000182)	0.140188717866533	0.506187322488	0.784973629576811	0.921160255405439
Ornithine/DAP/Arg decarboxylase (IPR000183)	0.595992764490128	0.403580573685512	0.1570211539921	0.651252393886582
Bacterial surface antigen (D15) (IPR000184)	-0.508803854271372	0.571881282351796	0.385362800015238	0.813489379646826
Protein translocase subunit SecA (IPR000185)	-0.0123606211263486	0.673911736007932	0.985568121704955	0.995059162406744
Aminotransferase class V domain (IPR000192)	-0.214403988576516	0.503080132560515	0.675027770626747	0.886023522990195
ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain (IPR000194)	0.00224967586061095	0.49366027005144	0.996414072785243	0.997353988432283
Ribosomal protein L7/L12 (IPR000206)	0.562175535747267	0.249512110884022	0.0369643039121649	0.449788039317728
Peptidase S8/S53 domain (IPR000209)	-0.673888622391627	0.252411685898976	0.015620717500896	0.303887444593118
DNA helicase, UvrD/REP type (IPR000212)	-1.67713400073903	0.637351121081843	0.0169408209994272	0.319315652704759
Zinc finger, DNA glycosylase/AP lyase-type (IPR000214)	-0.182474155301655	0.263498028799425	0.497456840448614	0.813489379646826
Ribosomal protein L14P (IPR000218)	-0.415995812094005	0.44178468391103	0.358851163883559	0.813489379646826
Peptidase S26A, signal peptidase I (IPR000223)	0.161453510012244	0.465380493923221	0.73266843000581	0.890053249464724
Ribosomal protein S5/S7 (IPR000235)	-0.416030650712078	0.580153709983235	0.482512430972245	0.813489379646826
Ribosome-binding factor A (IPR000238)	-0.0598366491259645	0.354591912359818	0.86787668991341	0.950584979835427
Ribosomal protein L9 (IPR000244)	-0.178537954463405	0.240469745254468	0.467390887118654	0.813489379646826
V-ATPase proteolipid subunit (IPR000245)	-2.14796764984707	0.92150595061773	0.0315829971024945	0.423241877372472
Uroporphyrinogen decarboxylase (URO-D) (IPR000257)	0.441736584509512	0.317679222936678	0.181328227059972	0.651252393886582
FMN-dependent dehydrogenase (IPR000262)	-0.626645778913154	0.184564653407791	0.00322515586546842	0.182371813672687
Ribosomal protein S17/S11 (IPR000266)	-0.207057207757101	0.494633251260712	0.680455291365576	0.886023522990195
Ribosomal protein L34 (IPR000271)	0.166678381002535	0.292633120537606	0.576001740875395	0.86901344707062
G protein-coupled receptor, rhodopsin-like (IPR000276)	-0.0565108850704578	0.275410093076071	0.839727675800257	0.93966156900839
Cys/Met metabolism, pyridoxal phosphate-dependent enzyme (IPR000277)	0.0762871571884598	0.745441197422011	0.919619654250608	0.96955854717421
Helix-turn-helix protein RpiR (IPR000281)	-0.148425102648207	0.221390342424387	0.511099265348387	0.820739108043358
D-alanine--D-alanine ligase/VANA/B/C, conserved site (IPR000291)	-0.155611567083639	0.344016239592308	0.656429622468806	0.886023522990195
Formate/nitrite transporter (IPR000292)	-0.132564799734482	0.31990502409057	0.683486432182312	0.886023522990195
Peptidyl-prolyl cis-trans isomerase, PpiC-type (IPR000297)	-0.184365946429581	0.349759896954656	0.604545850812065	0.886023522990195
Cytochrome c oxidase subunit III-like (IPR000298)	-0.13407457242543	0.31828528433249	0.678566896459849	0.886023522990195
Pyrroline-5-carboxylate reductase (IPR000304)	0.833459727853889	0.234935930526571	0.00230015469807236	0.182371813672687
GIY-YIG endonuclease (IPR000305)	0.269952119061585	0.331477675561179	0.426065215405584	0.813489379646826
