sample_names	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
Achromobacter	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acidiphilium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidipropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acidobacteria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Acidovorax	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acinetobacter	1	3	2	3	3	1	3	1	0	1	1	1	4	0	1	5	0	0	0	1
Actinobacteria	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Actinomadura	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
Actinomyces	0	0	2	2	0	0	0	0	0	2	1	0	5	2	3	17	0	0	1	1
Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Afipia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter	0	2	9	0	2	0	0	0	0	0	0	0	0	2	0	1	0	2	0	1
Agrobacterium	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrococcus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Alcanivorax	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alishewanella	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella	0	0	1	3	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0
Altererythrobacter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
