Representative_ASV	Beta	SE	P	FDR_BH
Achromobacter	-0.636437518310164	0.439717566428701	0.164983800972008	0.452416516727927
Acidimicrobiales	0.171870991741408	0.144768683410088	0.250576349514151	0.483889316978333
Acidiphilium	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Acidipropionibacterium	0.163801782330399	0.140165916979515	0.25779858197991	0.483889316978333
Acidobacteria	-0.53825761382324	0.468996950853935	0.26612693818104	0.494235742336217
Acidovorax	-0.454640714501295	0.647338831705979	0.491461197996828	0.668615815879405
Acinetobacter	-0.581615192372839	0.60011626758489	0.34530338514049	0.561118000853296
Actinobacteria	-0.0796522255388296	0.333197771871507	0.813764478672552	0.870759384437208
Actinomadura	-0.511043459971454	0.560057812716178	0.373574349427142	0.589976396279459
Actinomyces	-0.914620989205268	0.770642924588226	0.250723491810956	0.483889316978333
Actinomycetales	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Aeromonas	0.168252749748378	0.156797204238587	0.29742031567952	0.527245105068241
Afipia	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Aggregatibacter	-0.760368236407554	0.744209929916177	0.320453683111085	0.546897180043954
Agrobacterium	-0.269465218942172	0.326413134089413	0.41987564303328	0.599090856523094
Agrococcus	0.194294153582413	0.188598508110647	0.316561134836325	0.546897180043954
Alcanivorax	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Alishewanella	0.323744931578057	0.241794011299522	0.197258939857403	0.480818665902421
Alloprevotella	-0.918465512616245	0.729883924035773	0.224335442333823	0.483889316978333
Altererythrobacter	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Amycolatopsis	-0.385394012730501	0.430198880085893	0.382156923070015	0.589976396279459
Anaerobacillus	0.165373693188721	0.13755473527434	0.244848752250187	0.483889316978333
Anaplasma	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Angustibacter	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Anoxybacillus	0.690259299032902	0.488484707667547	0.174696719078569	0.46312907858164
Aotus	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Aquabacter	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Aquabacterium	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Aquamicrobium	0.216513033710996	0.309932314256147	0.493741234184243	0.669124220844283
Aquisalimonas	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Arachnia	-0.56781972300644	0.405244845561849	0.178166962250368	0.46312907858164
Armatimonadetes	-0.25017269028915	0.376786673812285	0.515129027547855	0.674407631926754
Arthrobacter	0.164006848238847	0.595606320249331	0.786174850241438	0.846464332621916
Arvicanthis	-0.323063257675573	0.562092518471748	0.572574000895079	0.674407631926754
Asinibacterium	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Aspergillus	0.804256192365211	0.554420437328605	0.164087990518804	0.452416516727927
Asticcacaulis	0.0803166598355245	0.220310602426024	0.719686842585013	0.791881134004199
Atopococcus	0.795958693759769	0.569229929750275	0.179012943851495	0.46312907858164
Atopostipes	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Azospirillum	-1.09878783990138	0.779020877914747	0.175448049831307	0.46312907858164
Bacillus	-0.024343079111944	0.852364867968549	0.977530213760178	0.985957198361559
Bacteriophage	0.378424211289135	0.248095408341134	0.144558530981826	0.438752159414015
Bacteroidaceae	0.171870991741408	0.144768683410088	0.250576349514151	0.483889316978333
Bacteroidales	0.166734161892296	0.151741055148486	0.286332681147105	0.516311467387361
Bacteroides	-1.44819068913405	0.779338740702606	0.0795696507181552	0.438752159414015
Bifidobacteriaceae	0.207953848744759	0.209919447963254	0.334993999172223	0.546897180043954
Blastocatellia	-0.636437518310164	0.439717566428701	0.164983800972008	0.452416516727927
Blastococcus	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Blastomyces	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Bordetella	-0.207403727025707	0.474904914862414	0.667503283433734	0.753355795772478
Bos	-0.389877129569668	0.785338045899118	0.625588557043783	0.712927219228467
Bosea	-0.0464437233032135	0.205870334392954	0.82405650291136	0.871216363017733
Brachybacterium	-0.324430373045879	0.523746270294801	0.543387154132737	0.674407631926754
Bradyrhizobiaceae	-0.0287051973185868	0.299693824056638	0.924752227288062	0.946320792356005
Bradyrhizobium	-0.0619293626135284	0.767941114105835	0.936615455034182	0.955674490456389
Brevibacterium	-0.591815182733371	0.496263826924226	0.2485333074955	0.483889316978333
Brevilactibacter	-0.636437518310164	0.439717566428701	0.164983800972008	0.452416516727927
Brevundimonas	-0.592104575989883	0.454837043300491	0.209400920798459	0.483889316978333
Brooklawnia	-0.636437518310164	0.439717566428701	0.164983800972008	0.452416516727927
Bryobacterales	0.171683816640721	0.159555290742872	0.296132222249681	0.527245105068241
Burkholderia	-0.48387994404222	0.950604297335095	0.616918715524963	0.709962193932007
Burkholderiaceae	0.0424446105984082	0.33540828798973	0.900702519198925	0.927116082811797
Burkholderiales	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Caldimonas	0.171870991741408	0.144768683410088	0.250576349514151	0.483889316978333
Campylobacter	-0.184562565035538	0.884208530547079	0.837001370214086	0.882244687522955
Candidatus	-0.834017427198616	0.68380115662001	0.238327825424908	0.483889316978333
Capnocytophaga	0.44326389575413	0.273264227000948	0.122164660503042	0.438752159414015
Capra	0.105036121098304	0.526113471472567	0.843995992494295	0.885577937204149
Carpinus	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Caulobacter	0.294736929327084	0.505229992502367	0.566881462772451	0.674407631926754
Caulobacteraceae	0.11930463953671	0.324488884698834	0.717407356627291	0.791855289862199
Caulobacterales	-0.246059193151357	0.477538506369303	0.612637590502134	0.70820175397881
Cellulomonas	-0.505237180453585	0.538491991933385	0.36053882283108	0.583175699602346
Cellulosimicrobium	0.207953848744759	0.209919447963254	0.334993999172223	0.546897180043954
Ceratitis	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Chelatococcus	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Chiloscyllium	0.0128062769185082	0.267908448424648	0.962401265971934	0.976308798717193
Chlamydia	-0.137815391356756	0.473306999692252	0.774245792717254	0.837276289080442
Chlorocebus	0.346908028480496	0.59641264328429	0.568010959416372	0.674407631926754
Chloroflexi	0.510868627280977	0.252759323785664	0.0583909565387277	0.438752159414015
Chloroflexia	0.19871391321065	0.196524947378728	0.325350130230217	0.546897180043954
Chryseobacterium	-0.354021663077829	0.4023633537783	0.390533391969524	0.589976396279459
Cinara	-0.59081726338972	0.743251130510113	0.437022821184553	0.613580040943112
Citrobacter	-0.0990848227797706	0.819954884448717	0.905155057286571	0.928974927215165
Cloacibacterium	-0.323190439710945	0.489000227021053	0.517033705529211	0.674407631926754
Cloning	0.359655899946125	0.216239947541579	0.11358049591493	0.438752159414015
Clostridioides	-0.281530670022029	0.504501281462596	0.583693637089225	0.680652713017668
Clostridium	-0.507456410442258	0.408927507862984	0.230556783385915	0.483889316978333
Coccidioides	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Colletotrichum	0.420019867647895	0.284982737025717	0.157797901950893	0.452416516727927
Colobus	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Comamonas	0.416600703439127	0.243916539462634	0.10483130795326	0.438752159414015
Conexibacter	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Corallococcus	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Corynebacterium	-1.99769475205842	0.760002159857497	0.0170438411150495	0.438752159414015
Crenalkalicoccus	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Cupriavidus	0.988222140452545	0.538545551400434	0.0830895612018558	0.438752159414015
Curtobacterium	0.171870991741408	0.144768683410088	0.250576349514151	0.483889316978333
Curvibacter	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Cutibacterium	-1.36152897555453	0.719732175896222	0.074730552796908	0.438752159414015
Cytobacillus	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Cytophagaceae	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Dechloromonas	-0.25017269028915	0.376786673812285	0.515129027547855	0.674407631926754
Deinococcus	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Delftia	-0.110638002984107	0.440230350164651	0.804414652704971	0.863454260242951
Dellaglioa	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Deltaproteobacteria	0.408866381014679	0.261155564572647	0.134852096473581	0.438752159414015
Denitratisoma	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Dermabacter	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Dermacoccus	0.163801782330399	0.140165916979515	0.25779858197991	0.483889316978333
Devosia	-0.607735435788156	0.506368938877893	0.24562645391212	0.483889316978333
Diaphorobacter	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Didymella	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Didymosphaeria	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Dietzia	0.188964663253072	0.154811499091587	0.237982736612014	0.483889316978333
Diploscapter	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Dokdonella	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Dolosigranulum	0.270719922388383	0.214335068041432	0.222681236809232	0.483889316978333
Echinococcus	0.323744931578057	0.241794011299522	0.197258939857403	0.480818665902421
Edwardsiella	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Emericellopsis	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Enhydrobacter	0.165373693188721	0.13755473527434	0.244848752250187	0.483889316978333
Enterobacter	0.563485397636483	0.240756717993316	0.030975665073904	0.438752159414015
Enterobacteria	0.932084549688129	0.471076154833326	0.0633674081718548	0.438752159414015
Enterococcus	0.181166867571425	0.568641232876609	0.753699949021371	0.824139196593461
Eremomyces	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Erythrobacter	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Escherichia	0.310946970905469	0.551033607232554	0.579515965940877	0.679335847250289
Euryarchaeota	-0.56781972300644	0.405244845561849	0.178166962250368	0.46312907858164
Exiguobacterium	-0.319958433825516	0.377406621887886	0.407691797877758	0.589976396279459
Fannyhessea	0.165373693188721	0.13755473527434	0.244848752250187	0.483889316978333
Francisella	0.290106454843844	0.242513615617539	0.247120059576232	0.483889316978333
Frankiales	0.163801782330399	0.140165916979515	0.25779858197991	0.483889316978333
Fulvimarina	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Fusobacterium	0.378424211289135	0.248095408341134	0.144558530981826	0.438752159414015
Gammaproteobacteria	0.381417849285333	0.232898783504237	0.118847132767732	0.438752159414015
Gardnerella	0.268317161308941	0.215767170021521	0.229618509903435	0.483889316978333
Gemella	0.00566364043109212	0.478920007260003	0.990694637566187	0.993525193673519
Gemmatimonadaceae	-0.529017678289131	0.473950236868193	0.279021042910503	0.512755947966421
Gemmatimonadetes	-0.863527648180138	0.574266742435269	0.150000738261202	0.438752159414015
Gemmatimonas	0.207953848744759	0.209919447963254	0.334993999172223	0.546897180043954
Geobacillus	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Geodermatophilus	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Glaesserella	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Glutamicibacter	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Gordonia	-0.317588966745449	0.375802933815691	0.40915124758913	0.589976396279459
Gorilla	0.271221622351432	0.233621719836817	0.260830368873201	0.486975848268583
Granulicella	0.165373693188721	0.13755473527434	0.244848752250187	0.483889316978333
Haemophilus	-1.24392373203743	0.77683158635938	0.126719017451046	0.438752159414015
Halomonas	-0.222105348323986	0.394764341547085	0.580628929273751	0.679335847250289
Helicobacter	7.46750182472491	0.556122626334943	8.0952223638641e-11	2.8414230497163e-08
Histoplasma	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Homo	0.466719611550072	0.592157267648706	0.44085520911933	0.616476219428405
Hydrobacter	0.19871391321065	0.196524947378728	0.325350130230217	0.546897180043954
Hydrocarboniphaga	-0.288866988303157	0.343799053578424	0.41180688629193	0.589976396279459
Hydrogenophaga	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Hydrogenophilus	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Hyphomicrobiales	-0.38069602730352	0.445804147791074	0.404352683284897	0.589976396279459
Hyphomicrobium	-0.385394012730501	0.430198880085893	0.382156923070015	0.589976396279459
Intrasporangium	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Isoptericola	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Janibacter	-0.927778907514225	0.720042541572087	0.213886390584722	0.483889316978333
Jimgerdemannia	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Kingella	0.272793533209753	0.231778659306056	0.254542319709303	0.483889316978333
Klebsiella	0.223755331615516	0.669601078563667	0.742119065262729	0.814011849710056
Kocuria	0.253804347718067	0.185979928975593	0.189169782701715	0.474275669487872
Kosakonia	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Kytococcus	0.163801782330399	0.140165916979515	0.25779858197991	0.483889316978333
Labeo	-0.323063257675573	0.562092518471748	0.572574000895079	0.674407631926754
Lacticaseibacillus	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Lactobacillus	0.0641533820838757	0.472228772905143	0.893445802185926	0.922351401668412
Lactococcus	0.446439041814274	0.774517855230197	0.571476932455261	0.674407631926754
Lancefieldella	0.165373693188721	0.13755473527434	0.244848752250187	0.483889316978333
Lautropia	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Lawsonella	-1.41482106668908	0.527977614930853	0.015296527500578	0.438752159414015
Leclercia	0.19871391321065	0.196524947378728	0.325350130230217	0.546897180043954
Leptotrichia	0.424669912850136	0.246130273387393	0.101584395511405	0.438752159414015
Leucobacter	0.451512834319377	0.278370634411956	0.122191113857789	0.438752159414015
Leuconostoc	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Limosilactobacillus	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Listeria	0.353857857595216	0.205598657778396	0.102373319559196	0.438752159414015
Lupinus	0.303527582689856	0.285391776598628	0.301594543055216	0.531958214132568
Lysinibacillus	0.353332929832454	0.21312712664986	0.114672619815354	0.438752159414015
Lysobacter	0.165373693188721	0.13755473527434	0.244848752250187	0.483889316978333
Macaca	0.19871391321065	0.196524947378728	0.325350130230217	0.546897180043954
Malassezia	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Mammaliicoccus	-0.106807035867395	0.182787698018584	0.566255236781147	0.674407631926754
Mangrovihabitans	0.163801782330399	0.140165916979515	0.25779858197991	0.483889316978333
Marchantia	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Marinobacter	0.310686476527756	0.188864941030224	0.117315823620382	0.438752159414015
Massilia	-0.731815524055486	0.461783267033314	0.130432159045198	0.438752159414015
Medicago	0.287657704426646	0.156266203900185	0.082193413472099	0.438752159414015
Megasphaera	-0.472219774443365	0.341300855373341	0.183404392942587	0.46312907858164
Melaminivora	0.358994687444328	0.200241427905131	0.0898255168951306	0.438752159414015
Mesorhizobium	0.131385584688943	0.567662162806188	0.819575637175801	0.871216363017733
Methylobacterium	0.315675760156348	0.390316214852647	0.429208845918895	0.607758158944179
Methylobrevis	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Methylocella	0.207953848744759	0.209919447963254	0.334993999172223	0.546897180043954
Methylopila	-0.310536002853332	0.362809217453804	0.403292011681548	0.589976396279459
Methylorubrum	0.224927144888436	0.56678815498743	0.696147380331813	0.773252311697678
Microbacter	0.160897321287908	0.106667111818971	0.148802689695647	0.438752159414015
Microbacterium	-0.333882648709417	0.441019568265221	0.458804132101986	0.631530393599204
Micrococcaceae	-0.500100981981787	0.42411181723618	0.253681477523383	0.483889316978333
Micrococcus	-1.29838174184088	0.742216475675244	0.0972641617440041	0.438752159414015
Microvirga	-0.215828893021506	0.278533750797353	0.448473619979936	0.619741104775423
Miltoncostaea	-0.362532976438009	0.595473826369929	0.550254520204641	0.674407631926754
