Representative_ASV	Beta	SE	P	FDR_BH
Achromobacter	0.479739284334818	0.428534089503332	0.277648131585409	0.587075266183606
Acidimicrobiales	-0.0971900844912567	0.141564028360511	0.501118812089483	0.653876219492224
Acidiphilium	0.202925787690582	0.1552965166363	0.207764505629369	0.587075266183606
Acidipropionibacterium	-0.0825041233632203	0.137319318444058	0.555451039984657	0.673687924833758
Acidobacteria	0.658426710501019	0.436719776933837	0.148991256601956	0.587075266183606
Acidovorax	-1.20905905799697	0.557288605657726	0.0436746553343064	0.587075266183606
Acinetobacter	-0.357901584228863	0.581130287753547	0.545689097677021	0.673687924833758
Actinobacteria	0.308708381823195	0.309927641998279	0.332420728362847	0.597736791907743
Actinomadura	0.0850834275138049	0.546109981008959	0.877925350368161	0.90102864906206
Actinomyces	0.189481571481534	0.762061062008896	0.806451305080922	0.853509800642575
Actinomycetales	0.142504453467736	0.102637460392057	0.181951783435575	0.587075266183606
Aeromonas	0.155891333265792	0.149845720892998	0.311952575305249	0.597736791907743
Afipia	-0.341430485934198	0.343776974746078	0.333789432598131	0.597736791907743
Aggregatibacter	-0.99373584418673	0.69164263637227	0.16793637363412	0.587075266183606
Agrobacterium	0.369342521776892	0.30503901563796	0.241629278674068	0.587075266183606
Agrococcus	0.203286688243735	0.178831694309531	0.270550962180498	0.587075266183606
Alcanivorax	0.221323575178845	0.168106234935866	0.204501200744667	0.587075266183606
Alishewanella	0.235765164398366	0.235400197158513	0.32983555580412	0.597736791907743
Alloprevotella	-0.359244990316285	0.721292286309746	0.624473974892213	0.717580100403738
Altererythrobacter	0.221323575178845	0.168106234935866	0.204501200744667	0.587075266183606
Amycolatopsis	-0.409551274922422	0.408172959055921	0.328977804542679	0.597736791907743
Anaerobacillus	0.150651450327215	0.13168190139166	0.267587179307652	0.587075266183606
Anaplasma	0.202925787690582	0.1552965166363	0.207764505629369	0.587075266183606
Angustibacter	0.142504453467736	0.102637460392057	0.181951783435575	0.587075266183606
Anoxybacillus	-0.568923444126516	0.472490701571751	0.244148616257105	0.587075266183606
Aotus	-0.158595521100742	0.189584376092077	0.413817779013053	0.597736791907743
Aquabacter	0.202925787690582	0.1552965166363	0.207764505629369	0.587075266183606
Aquabacterium	-0.341430485934198	0.343776974746078	0.333789432598131	0.597736791907743
Aquamicrobium	0.515544838495181	0.27389201932829	0.07606535926727	0.587075266183606
Aquisalimonas	0.221323575178845	0.168106234935866	0.204501200744667	0.587075266183606
Arachnia	-0.372824705982042	0.397518852729387	0.360721456390395	0.597736791907743
Armatimonadetes	-0.231569257067387	0.359688781871444	0.527820878340851	0.673687924833758
Arthrobacter	-0.420771895121587	0.560663419215226	0.462658536008089	0.636240410740037
Arvicanthis	-0.890477363109927	0.498734781164647	0.0910447910929885	0.587075266183606
Asinibacterium	0.202925787690582	0.1552965166363	0.207764505629369	0.587075266183606
Aspergillus	-0.949647503988191	0.51216862611662	0.0801748340334627	0.587075266183606
Asticcacaulis	0.391606138268502	0.189670325600048	0.0536685881707262	0.587075266183606
Atopococcus	-0.692429575363668	0.547953974203884	0.222472344470477	0.587075266183606
Atopostipes	-0.341430485934198	0.343776974746078	0.333789432598131	0.597736791907743
Azospirillum	0.552891024368962	0.772210913190399	0.483186924177572	0.653876219492224
Bacillus	-0.264824378273899	0.810723306057484	0.747698783266264	0.802575758184889
Bacteriophage	-0.220236859733598	0.246082978556563	0.382615108240548	0.597736791907743
Bacteroidaceae	-0.0971900844912567	0.141564028360511	0.501118812089483	0.653876219492224
Bacteroidales	-0.0878410541658724	0.148087324450075	0.560446934619536	0.673687924833758
Bacteroides	0.45601887873279	0.804475402760944	0.577815381852887	0.687502369594451
Bifidobacteriaceae	-0.162860884237355	0.202022144522747	0.430676719768892	0.602261070274427
Blastocatellia	0.479739284334818	0.428534089503332	0.277648131585409	0.587075266183606
Blastococcus	0.202925787690582	0.1552965166363	0.207764505629369	0.587075266183606
Blastomyces	-0.158595521100742	0.189584376092077	0.413817779013053	0.597736791907743
Bordetella	-0.247580114931059	0.451670169322514	0.590327277758964	0.69763386687911
Bos	-1.2227102134641	0.697047913911542	0.096418159625967	0.587075266183606
Bosea	0.331184804045657	0.180509527684068	0.0831299035110953	0.587075266183606
Brachybacterium	-0.127477140635538	0.504024472457755	0.803197011304029	0.853509800642575
Bradyrhizobiaceae	0.490816028278744	0.26151714349335	0.0768526269269385	0.587075266183606
Bradyrhizobium	0.869020518830683	0.703488491503982	0.23259953206981	0.587075266183606
Brevibacterium	0.956710423728685	0.437001044999968	0.0419968079996448	0.587075266183606
Brevilactibacter	0.479739284334818	0.428534089503332	0.277648131585409	0.587075266183606
Brevundimonas	0.156212602485179	0.452356391093026	0.733848445643219	0.792556321294677
Brooklawnia	0.479739284334818	0.428534089503332	0.277648131585409	0.587075266183606
Bryobacterales	0.162135875009855	0.152303564257677	0.301149224523351	0.597736791907743
Burkholderia	2.1261602304045	0.763554291750252	0.0122347194848087	0.587075266183606
Burkholderiaceae	0.620308678687674	0.284759701519395	0.0429169668859298	0.587075266183606
Burkholderiales	0.221323575178845	0.168106234935866	0.204501200744667	0.587075266183606
Caldimonas	-0.0971900844912567	0.141564028360511	0.501118812089483	0.653876219492224
Campylobacter	-1.38203676549791	0.779147005889207	0.0930175667051146	0.587075266183606
Candidatus	1.21074385144574	0.61581508840176	0.0649059093411871	0.587075266183606
Capnocytophaga	-0.102228634007308	0.278038566553077	0.717401146522412	0.782011808786853
Capra	-0.526463762691739	0.48687118788061	0.293829505138596	0.597736791907743
Carpinus	-0.158595521100742	0.189584376092077	0.413817779013053	0.597736791907743
Caulobacter	0.959483271450025	0.430733143640458	0.0389071273898453	0.587075266183606
Caulobacteraceae	0.549954096705551	0.282371209509878	0.0672300472449303	0.587075266183606
Caulobacterales	0.0946041120504402	0.458347931749392	0.838793291387311	0.874453776801768
