Representative_ASV	Beta	SE	P	FDR_BH
Achromobacter	-0.339824880006187	0.435903609213663	0.445763879675119	0.646844378042554
Acidimicrobiales	0.184227363712935	0.136673358625715	0.194398552582838	0.636842743656764
Acidiphilium	-0.180098034090015	0.15685267660653	0.26591765409509	0.636842743656764
Acidipropionibacterium	-0.0632009535313975	0.137887088221484	0.652184399358044	0.770763381059507
Acidobacteria	-0.488731068478021	0.448930990736021	0.290667743096862	0.636842743656764
Acidovorax	0.0861891886712929	0.625595975823921	0.891950612172576	0.929004940274701
Acinetobacter	-0.475279051369295	0.576436696511151	0.420440930384693	0.646844378042554
Actinobacteria	0.301804856048814	0.310305160985502	0.343638655412489	0.636842743656764
Actinomadura	-0.312464102068939	0.541492555555303	0.571058151659736	0.725354392408816
Actinomyces	-0.912625508919202	0.732434489544717	0.228732595534136	0.636842743656764
Actinomycetales	0.160926603450003	0.101113307323831	0.128895500528459	0.636842743656764
Aeromonas	0.176544629881068	0.148567497325197	0.250153127409227	0.636842743656764
Afipia	0.3133104526734	0.345261437782301	0.376153467324678	0.636842743656764
Aggregatibacter	1.05589780134831	0.686506551607203	0.141424017731711	0.636842743656764
Agrobacterium	0.285279642654032	0.310009663199253	0.369622441164373	0.636842743656764
Agrococcus	-0.109447716596952	0.183333427721481	0.557951151868654	0.720003140830505
Alcanivorax	0.174265432705497	0.171154640267466	0.322085607460512	0.636842743656764
Alishewanella	0.185096624620138	0.237903225317778	0.4466563840047	0.646844378042554
Alloprevotella	-0.599116634740822	0.712384194965638	0.411380217524011	0.646844378042554
Altererythrobacter	0.174265432705497	0.171154640267466	0.322085607460512	0.636842743656764
Amycolatopsis	0.364401044414567	0.410544156963288	0.386460126492566	0.636842743656764
Anaerobacillus	-0.0655850183331851	0.135506597139553	0.634222901850642	0.770763381059507
Anaplasma	-0.180098034090015	0.15685267660653	0.26591765409509	0.636842743656764
Angustibacter	0.160926603450003	0.101113307323831	0.128895500528459	0.636842743656764
Anoxybacillus	-0.405439335831139	0.481764532475806	0.411069594849875	0.646844378042554
Aotus	0.176184229048307	0.188719647831243	0.362877696602557	0.636842743656764
Aquabacter	-0.180098034090015	0.15685267660653	0.26591765409509	0.636842743656764
Aquabacterium	0.3133104526734	0.345261437782301	0.376153467324678	0.636842743656764
Aquamicrobium	-0.193511146439923	0.296145891714956	0.521738202885397	0.704845832558736
Aquisalimonas	0.174265432705497	0.171154640267466	0.322085607460512	0.636842743656764
Arachnia	-0.305134772380416	0.400712789984585	0.456232024117642	0.646844378042554
Armatimonadetes	0.441481886351346	0.348607262412186	0.221508030035573	0.636842743656764
Arthrobacter	-0.162203610056472	0.568082614797785	0.778499181283197	0.861997516184233
Arvicanthis	-0.500586674106742	0.528079212855327	0.355714592029863	0.636842743656764
Asinibacterium	-0.180098034090015	0.15685267660653	0.26591765409509	0.636842743656764
Aspergillus	0.130689406639536	0.558094540439489	0.817495259162057	0.8883617212566
Asticcacaulis	-0.0385877711565743	0.210741196584927	0.856762287915355	0.914053383155896
