Representative_ASV	Beta	SE	P	FDR_BH	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
s__Caldisericum_exile	-0.0280199879251598	0.240560545798401	0.908563524995622	0.981997444859346	Bacteria	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	NA	NA
s__Candidatus_Endomicrobium_trichonymphae	0.115032526169816	0.267310747986322	0.672062021051259	0.981997444859346	Bacteria	Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	NA	NA
s__Elusimicrobium_minutum	0.27608566320101	0.214868224048407	0.215113924927212	0.824881106019135	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	NA	NA
s__Aminobacterium_colombiense	0.100616991602508	0.21030879808583	0.638107219962996	0.981997444859346	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminobacterium	NA	NA
s__Thermodesulfovibrio_yellowstonii	0.0746970627858468	0.212728439262911	0.729561163350857	0.981997444859346	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	NA	NA
s__Dissulfurispira_thermophila	0.0603170516514961	0.412246228295957	0.885300340874559	0.981997444859346	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	NA	NA
s__Thermodesulfobacterium_geofontis	-0.229005808748992	0.204109909226813	0.276618380043336	0.829855140130007	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	NA	NA
s__Thermodesulfatator_indicus	-0.107515809200558	0.192249277471417	0.582881941135701	0.981997444859346	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	NA	NA
s__Candidatus_Chazhemtobacterium_aquaticus	0.206716175511937	0.329306998956555	0.538063234390423	0.981997444859346	Bacteria	Candidatus_Chazhemtobacteraceae	Candidatus_Chazhemtobacterium	Candidatus_Chazhemtobacterium_aquaticus	NA	NA	NA	NA
s__Candidatus_Babela_massiliensis	0.45001317232922	0.238165039090429	0.0750423752558653	0.824881106019135	Bacteria	Candidatus_Babeliae	Candidatus_Babeliales	Candidatus_Babeliaceae	Candidatus_Babela	Candidatus_Babela_massiliensis	NA	NA
s__Candidatus_Saccharimonas_aalborgensis	-0.157577689727966	0.201966631510957	0.445402788192773	0.975784816879353	Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharimonas	Candidatus_Saccharimonas_aalborgensis	NA	NA	NA	NA
s__Kiritimatiella_glycovorans	0.27608566320101	0.214868224048407	0.215113924927212	0.824881106019135	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	NA	NA
s__Fibrobacter_succinogenes	0.294809209862502	0.216158921555912	0.189427096785703	0.824881106019135	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	NA	NA
s__Melioribacter_roseus	-0.0184588850178293	0.238858369889697	0.939253644236825	0.982401825012274	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	NA	NA
s__Ignavibacterium_album	0.333391519763643	0.214447097655896	0.137434342063194	0.824881106019135	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	NA	NA
s__Atribacter_laminatus	0.131499564864111	0.345336012343269	0.707817857232092	0.981997444859346	Bacteria	Atribacterota	Atribacteria	Atribacterales	Atribacteraceae	Atribacter	NA	NA
s__Geovibrio_thiophilus	0.29817650369914	0.262774870698048	0.271377159620108	0.827054200746995	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Geovibrio	NA	NA
s__Calditerrivibrio_nitroreducens	-0.036981132032072	0.242320742620082	0.880401697579418	0.981997444859346	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Calditerrivibrio	NA	NA
s__Flexistipes_sinusarabici	0.222540142533752	0.232851060874185	0.351874868520709	0.89159173450485	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Flexistipes	NA	NA
s__Deferribacter_desulfuricans	-0.139076157081737	0.363739552247621	0.706678104643711	0.981997444859346	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	NA	NA
s__Thermotomaculum_hydrothermale	-0.0150743783473436	0.19234245654878	0.938396342551822	0.982401825012274	Bacteria	Acidobacteria	Holophagae	Thermotomaculales	Thermotomaculaceae	Thermotomaculum	NA	NA
s__Granulicella_tundricola	0.207539296168548	0.359862211968349	0.57127205104484	0.981997444859346	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	NA	NA
s__Candidatus_Solibacter_usitatus	-0.297891238854451	0.20081930448752	0.155272416252321	0.824881106019135	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Solibacteraceae	Candidatus_Solibacter	NA	NA
s__Dictyoglomus_thermophilum	-0.594541287968157	0.479632791600963	0.231050970562712	0.824881106019135	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	NA	NA
s__Persephonella_marina	0.318579046150525	0.223652195861119	0.171426263470381	0.824881106019135	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	NA	NA
s__Sulfurihydrogenibium_sp._YO3AOP1	-0.547572429249953	0.426737102775574	0.215711408403404	0.824881106019135	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	NA	NA
s__Hydrogenobacter_thermophilus	0.286015713950074	0.21516755797492	0.200362211961554	0.824881106019135	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	NA	NA
s__Hydrogenobaculum_sp._Y04AAS1	0.0389542353731655	0.247482908921198	0.876680456578202	0.981997444859346	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	NA	NA
s__Aquifex_aeolicus	-0.187776700339373	0.434921175538403	0.671051199685013	0.981997444859346	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	NA	NA
s__Chlamydia_gallinacea	0.723385157765587	0.290563936763469	0.0227956711325972	0.824881106019135	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	NA	NA
s__Candidatus_Protochlamydia_naegleriophila	0.243719547976796	0.212307393591069	0.266015228892799	0.824881106019135	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	NA	NA
s__Neochlamydia_sp._S13	0.298855639012333	0.216841897736528	0.185027534251812	0.824881106019135	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Neochlamydia	NA	NA
s__Simkania_negevensis	0.373215076009219	0.314516189886223	0.250798962183326	0.824881106019135	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Simkaniaceae	Simkania	NA	NA
s__Humisphaera_borealis	0.194302781104242	0.233377630258222	0.4159986198482	0.953192045632382	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Humisphaera	NA	NA
s__Candidatus_Kuenenia_stuttgartiensis	-0.0395646861484068	0.194581943122548	0.841156667363658	0.981997444859346	Bacteria	Planctomycetes	Candidatus_Brocadiae	Candidatus_Brocadiales	Candidatus_Brocadiaceae	Candidatus_Kuenenia	NA	NA
s__Paludisphaera_borealis	0.124497049395027	0.270193108854916	0.65048152125793	0.981997444859346	Bacteria	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Paludisphaera	NA	NA
s__Isosphaera_pallida	0.368045841451994	0.259811145929172	0.173677325515674	0.824881106019135	Bacteria	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	NA	NA
