Representative_ASV	Beta	SE	P	FDR_BH	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
s__Caldisericum_exile	-0.285520088669188	0.151806391288201	0.0762761767541858	0.665059908539099	Bacteria	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	NA	NA
s__Candidatus_Endomicrobium_trichonymphae	-0.0927756366892192	0.231312290663257	0.693079609717247	0.997158512959798	Bacteria	Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	NA	NA
s__Elusimicrobium_minutum	-0.0092385836776288	0.133081970761361	0.945420517897888	0.997158512959798	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	NA	NA
s__Aminobacterium_colombiense	0.0661456260062877	0.195966286291523	0.739617386517844	0.997158512959798	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminobacterium	NA	NA
s__Thermodesulfovibrio_yellowstonii	-0.135766874321721	0.16840171374864	0.43064595474951	0.957454703126953	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	NA	NA
s__Dissulfurispira_thermophila	0.0866236137822046	0.47399161199571	0.857034076471759	0.997158512959798	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	NA	NA
s__Thermodesulfobacterium_geofontis	-0.369113683241526	0.173190349346976	0.0471068954273834	0.665059908539099	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	NA	NA
s__Thermodesulfatator_indicus	-0.251432525727245	0.165133459283833	0.145233136127456	0.783279835294147	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	NA	NA
s__Candidatus_Chazhemtobacterium_aquaticus	-0.0224573585916741	0.332890069237389	0.946957799004131	0.997158512959798	Bacteria	Candidatus_Chazhemtobacteraceae	Candidatus_Chazhemtobacterium	Candidatus_Chazhemtobacterium_aquaticus	NA	NA	NA	NA
s__Candidatus_Babela_massiliensis	0.234839393467914	0.221425523768473	0.302905316383648	0.957454703126953	Bacteria	Candidatus_Babeliae	Candidatus_Babeliales	Candidatus_Babeliaceae	Candidatus_Babela	Candidatus_Babela_massiliensis	NA	NA
s__Candidatus_Saccharimonas_aalborgensis	-0.292739724390165	0.17624973185489	0.114044432279572	0.710926331093433	Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharimonas	Candidatus_Saccharimonas_aalborgensis	NA	NA	NA	NA
s__Kiritimatiella_glycovorans	-0.0092385836776288	0.133081970761361	0.945420517897888	0.997158512959798	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	NA	NA
s__Fibrobacter_succinogenes	0.0167382051206381	0.145113895802458	0.909448462250032	0.997158512959798	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	NA	NA
s__Melioribacter_roseus	-0.278357514919187	0.147912688946204	0.0761207752649	0.665059908539099	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	NA	NA
s__Ignavibacterium_album	0.202215557468707	0.210871476007419	0.350287778537717	0.957454703126953	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	NA	NA
