#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Fornicata|o__Diplomonadida|f__Hexamitidae|g__Giardia|s__Giardia_intestinalis	0	39	22	25	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Fornicata|o__Diplomonadida|f__Hexamitidae|g__Spironucleus|s__Spironucleus_salmonicida	17	30	30	75	29	34	28	22	10	20	0	17	10	11	23	0	22	0	18
k__Eukaryota|p__Parabasalia|o__Trichomonadida|f__Trichomonadidae|g__Trichomonas|s__Trichomonas_vaginalis	614	956	951	1042	701	544	665	208	228	336	151	162	208	208	171	104	238	146	126
k__Eukaryota|p__Evosea|o__Mastigamoebida|f__Entamoebidae|g__Entamoeba|s__Entamoeba_nuttalli	0	23	15	19	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Evosea|o__Mastigamoebida|f__Entamoebidae|g__Entamoeba|s__Entamoeba_dispar	37	91	61	79	63	51	38	0	0	0	0	0	0	33	0	0	0	0	0
k__Eukaryota|p__Evosea|o__Mastigamoebida|f__Entamoebidae|g__Entamoeba|s__Entamoeba_invadens	30	73	43	50	45	38	27	0	0	19	0	0	0	13	0	0	0	0	0
k__Eukaryota|p__Evosea|o__Mastigamoebida|f__Entamoebidae|g__Entamoeba|s__Entamoeba_moshkovskii	44	58	62	48	38	37	28	16	13	22	18	14	14	17	12	19	25	16	16
k__Eukaryota|p__Evosea|o__Mastigamoebida|f__Entamoebidae|g__Entamoeba|s__Entamoeba_histolytica	81	302	86	139	56	87	108	0	0	55	0	0	0	0	45	28	54	29	21
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_culbertsoni	46	86	66	88	44	42	48	21	18	20	33	10	17	17	18	15	16	15	0
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_quina	69	146	120	165	87	89	82	60	69	37	88	56	81	74	96	89	145	60	72
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_lugdunensis	70	150	106	137	79	78	83	33	51	34	78	65	66	37	66	64	90	45	37
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_rhysodes	73	122	86	93	75	63	70	42	40	57	35	38	62	50	34	36	41	38	26
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_astronyxis	76	180	144	133	105	91	70	30	42	71	56	37	48	53	45	47	77	45	36
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_triangularis	259	460	400	451	241	198	257	116	119	163	229	268	161	143	127	213	261	141	169
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_sp._ATCC_50496	93	184	126	156	96	88	80	43	40	62	90	64	46	52	44	56	81	53	72
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_castellanii	118	323	256	297	146	142	149	66	56	50	62	81	68	73	89	73	88	82	52
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_palestinensis	137	245	183	193	168	106	118	76	73	52	107	87	80	94	74	61	93	60	71
k__Eukaryota|p__Discosea|o__Longamoebia|f__Acanthamoebidae|g__Acanthamoeba|s__Acanthamoeba_lenticulata	145	262	598	206	269	526	475	249	120	166	108	183	135	74	322	87	144	89	154
