genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	source			1	1667867	+	1667867				
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.1	HP0001	217	633	-	417	nusB	Transcription termination protein NusB	PLF_209_00034893	PGF_10450086
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.2	HP0002	635	1105	-	471	ribH	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	PLF_209_00000466	PGF_00426932
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.3	HP0003	1115	1945	-	831		2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	PLF_209_00000482	PGF_00039342
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.4	HP0004	1932	2597	-	666		Carbonic anhydrase, beta class (EC 4.2.1.1)	PLF_209_00000700	PGF_00416525
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.5	HP0005	2719	3402	+	684		Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	PLF_209_00000396	PGF_00777371
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.6	HP0006	3403	4233	+	831	panC	Pantoate--beta-alanine ligase (EC 6.3.2.1)	PLF_209_00000492	PGF_00523822
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.1		4247	4322	-	76		tRNA-Glu-TTC		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.2		4385	4461	-	77		tRNA-Asp-GTC		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.3		4502	4577	-	76		tRNA-Val-TAC		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.4		4619	4693	-	75		tRNA-Glu-TTC		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.5		4704	4779	-	76		tRNA-Lys-TTT		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.7	HP0009	5241	7145	-	1905	omp1	Outer membrane protein	PLF_209_00004130	PGF_01870587
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.8	HP0010	7603	9243	-	1641	groEL	Heat shock protein 60 kDa family chaperone GroEL	PLF_209_00000313	PGF_01212739
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.9	HP0011	9268	9624	-	357	groES	Heat shock protein 10 kDa family chaperone GroES	PLF_209_00000557	PGF_09581668
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.10	HP0012	9911	11590	+	1680	dnaG	DNA primase DnaG	PLF_209_00000169	PGF_00421679
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.11	HP0013	11587	12639	+	1053		Possible RNA methyltransferase aq_898	PLF_209_00000493	PGF_00035074
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.12	HP0014	12728	13555	+	828		Uncharacterized protein HP0014	PLF_209_00000786	PGF_12773133
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.13	HP0015	13702	13983	+	282		hypothetical protein	PLF_209_00001088	PGF_01867878
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.14	HP0016	13983	14246	+	264		hypothetical protein	PLF_209_00001048	PGF_01867541
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.15	HP0017	14248	16611	+	2364		ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4	PLF_209_00000540	PGF_00022673
